gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.15661058;0.082924955;-0.0022143866;-2.46;-53.1;21.96;1.0414777;9.510069;0.22505496;
-0.07414377;-0.13576481;0.053985216;-2.3999999;-52.5;22.26;1.2066777;9.574712;0.30645782;
-0.14011721;0.16966783;0.16760615;-2.6399999;-52.98;20.76;0.22266077;9.548376;-0.08140286;
-0.22502749;0.07498371;0.110795684;-2.8799999;-53.699997;20.46;0.9768343;10.609007;0.9600749;
0.04314236;0.118966006;-0.28443414;-1.02;-53.94;21.06;-0.6512229;10.7550535;0.059855044;
0.12194397;0.2790127;-0.13293955;-0.59999996;-54.3;19.5;-1.1228806;10.999262;1.2018893;
0.5593235;0.14034629;-0.34063372;0.71999997;-54.96;20.58;-0.521936;11.763012;0.6607997;
0.40355286;-0.16264287;-0.34185547;1.14;-53.699997;21.48;-2.7246015;10.307338;-1.7429788;
0.1091158;-0.13026701;0.37102428;2.34;-54.12;20.82;0.5482722;11.12376;0.11492168;
-0.42233697;0.21975878;-0.4713589;1.68;-54.899998;20.52;-0.9552865;10.015245;-0.6368576;
0.54771703;-1.4417948;0.21586451;1.4399999;-54.539997;20.58;0.34237084;9.569923;0.7469909;
-0.17982346;-0.40332377;-0.14760031;2.1;-54.239998;20.88;0.80445176;9.328109;-0.009576807;
0.17386752;-1.1430815;0.62514424;1.86;-54.059998;22.68;1.30484;8.810962;0.557849;
-0.24457517;-0.32635477;0.2757293;-1.26;-52.92;23.519999;2.480393;9.069535;1.2090719;
1.2795336;-1.4656185;0.65629834;-1.92;-52.92;24.3;2.7605145;8.202834;-1.0989386;
-0.050320026;-0.68554354;0.7735845;-2.7;-51.059998;26.82;4.072537;8.430284;-1.3215994;
0.3730096;-1.0630583;0.7467064;-4.62;-49.68;27.72;5.3226094;8.67928;0.21787235;
1.0437397;-1.0746647;0.69295025;-5.3399997;-49.68;30.48;4.225766;7.4797854;-1.1923125;
1.1750757;-1.0282389;0.8517752;-5.2799997;-47.879997;32.64;4.7548847;7.1613564;-2.0829554;
-8.399397E-4;-0.923781;0.76136714;-5.22;-46.2;35.579998;3.9671922;6.8046207;-4.534618;
-2.0820577;0.12507465;1.1083386;-5.7599998;-45.84;35.76;5.1095257;10.486903;-0.93134445;
-0.47548223;0.41279218;-0.34307718;-7.08;-46.68;32.399998;5.1430445;11.176433;3.0334535;
1.1188761;0.13423763;-0.14210252;-6.66;-47.399998;31.32;3.205836;8.636185;-2.8993783;
0.20135646;-0.10399981;-0.07735081;-6.0;-47.76;32.219997;4.3143516;9.9434185;-4.048595;
-0.23480132;0.24480425;-0.3748422;-4.8599997;-47.7;32.1;3.490746;8.715194;-1.7286136;
0.25755605;-0.0056505036;-0.1530981;-5.22;-46.98;31.8;3.205836;8.449437;-1.6017209;
0.30214924;0.34987307;-0.36140314;-4.62;-46.559998;32.7;4.307169;8.66731;-1.0103531;
0.24167356;0.52580225;-0.76518506;-5.52;-47.7;33.48;5.269937;7.4175363;-1.4532804;
-0.48708868;0.34193182;-0.7120398;-5.2799997;-46.44;33.36;5.3752823;6.998551;-2.9999347;
-1.3294718;1.1427761;-0.52816933;-4.2;-47.039997;32.46;5.2531776;7.1876926;-0.90979666;
-1.0777954;0.46043968;-0.41577014;-4.3199997;-48.899998;28.26;3.371036;8.607454;0.1364695;
-0.45104763;0.76342887;-0.18913916;-4.68;-50.28;25.8;3.4524388;9.608231;-0.7661445;
-0.46509752;0.39813143;-0.29481885;-3.1799998;-51.12;24.3;1.0103531;9.565135;0.557849;
-0.36125043;0.40485093;0.08819367;-3.6;-51.66;23.46;1.8171991;10.568306;-0.50038815;
-0.8505535;0.40424007;-0.17447838;-2.1;-52.32;22.38;1.0223241;10.118196;1.0366893;
