gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.025503624;0.048258353;0.48006374;1.02;-40.559998;-6.6;-0.48602295;8.631396;4.88896;
-0.00992656;0.14294247;0.18929186;0.53999996;-41.1;-4.56;0.8331822;10.127772;3.976769;
0.25579983;0.61453044;0.048181996;-0.48;-40.92;-5.58;-0.36631286;10.2379055;4.9395375;
0.744492;0.40011674;-0.21265747;0.42;-41.28;-5.94;-0.56982;11.255442;4.2999864;
0.95462966;0.6200282;-0.56818104;1.1999999;-41.28;-4.02;-2.2361844;11.174039;3.9959226;
1.6479617;0.17654006;-0.71723217;2.46;-41.579998;-0.35999998;-5.291485;13.386281;0.7038953;
2.2582161;-0.27183503;-1.7465401;3.84;-41.82;1.62;-8.075942;12.397475;-0.36391866;
2.6271787;-1.0311406;-0.71051264;8.16;-41.76;7.56;-12.612954;5.8373632;-4.3406878;
-0.053297993;-0.9663888;1.0695487;10.2;-39.719997;12.3;3.9193082;6.929119;-3.643975;
1.5294539;-2.1398609;3.7042105;8.94;-39.059998;11.28;6.419154;-3.1244333;2.087744;
-0.6721045;-2.0286834;4.972367;1.26;-37.92;12.36;28.851028;3.6750996;0.23942018;
-4.2444444;-0.729984;-0.22853996;-7.5;-39.059998;8.099999;12.612954;15.83106;8.198046;
1.0859656;1.5558738;-1.3134366;-9.179999;-40.26;1.5;5.1334677;4.1252093;13.225869;
4.469548;0.65668017;-0.6622543;-6.42;-39.12;3.78;10.216358;4.855441;-2.0757728;
-0.4185954;1.7427986;-2.172924;-3.84;-37.86;12.54;14.104542;7.771878;-3.6511576;
-2.3226624;1.7079792;-1.8656588;0.29999998;-39.3;12.3;8.897153;5.614702;3.1531637;
-0.9390526;1.1728612;-1.0593166;2.34;-40.2;8.639999;6.479009;6.9458785;2.60968;
-1.8535179;1.4477507;-0.7520515;4.38;-41.76;7.2599998;2.5498247;8.952219;2.291251;
-0.0025961774;0.24190263;-0.77037746;4.98;-42.239998;4.02;-9.036016;11.044752;-0.033518825;
-0.5493206;-0.6010914;-0.019624045;5.8199997;-42.18;4.5;-10.908282;14.238617;-6.143821;
-2.9481883;-0.5338962;-0.5260313;6.3599997;-42.3;1.62;-9.996092;7.6234374;3.086126;
1.1788172;-0.44593164;0.44463354;7.3799996;-40.62;-4.2;-3.2800562;9.893141;2.0111294;
-0.32146785;0.30298916;0.15997034;5.16;-42.54;-2.34;-1.9416976;9.802161;2.0949266;
0.58261275;-0.33292156;-0.20593795;5.94;-41.76;-3.4199998;1.1707647;10.032004;5.4638677;
0.02855795;0.21319197;-0.014737124;6.06;-41.52;-1.26;-1.3215994;8.437466;3.6583402;
0.14889841;-0.16371189;-0.5828418;6.48;-42.059998;-1.92;0.25857377;8.901941;3.6774938;
-0.046578474;0.02687807;-0.17111863;7.02;-41.34;-1.0799999;-1.0941502;8.221988;2.4995465;
-0.104610674;-0.0983493;0.061010167;7.7999997;-41.399998;-1.5;-0.878672;8.210017;3.2082303;
-0.065515295;-0.29443705;0.12637275;7.56;-41.28;-2.34;-0.7230489;8.985738;3.311181;
-0.11438452;-0.11301007;0.07322747;7.02;-40.8;-2.04;0.5291186;10.130167;5.0568533;
-0.09728029;0.12705997;-0.11369729;6.18;-41.399998;-1.9799999;0.4333505;9.44303;4.134786;
-0.16203201;0.12644911;0.002977968;6.12;-41.76;-1.68;0.24181437;9.05517;4.10845;
0.2405282;-0.23273966;-0.035506543;6.66;-41.04;-2.52;-0.1364695;8.703222;4.2425256;
-0.11804971;-0.017715093;0.034742963;7.2599998;-41.76;-2.52;-0.16998832;8.887576;3.1387985;
-0.20112738;-0.02443461;0.16241379;6.7799997;-41.16;-3.0;-0.8762778;8.372823;4.745308;
0.0041233404;-0.057421334;0.22960897;6.7799997;-41.04;-3.0;0.09816227;9.184457;4.285621;
-0.16081028;0.052534413;0.26137397;5.52;-41.94;-2.58;0.44771573;9.074324;4.6495395;
0.1470658;-0.065973446;0.25282186;6.12;-41.28;-3.24;0.58418524;8.739136;3.8522706;
-0.22006421;-0.089186326;0.20212004;5.1;-41.219997;-3.4199998;0.61530983;8.8684225;3.289633;
-0.59330285;0.16798794;0.0884991;4.7999997;-42.18;-3.4199998;0.61052144;8.81575;4.19943;
-0.056963183;-0.08552113;0.14469871;4.44;-41.04;-5.46;0.4237737;8.753501;4.9371433;
-0.21395555;-0.004276057;0.039629884;3.6;-41.399998;-4.8599997;0.78529817;9.392753;4.0653543;
-0.14187345;-0.005497787;0.04512767;3.8999999;-40.68;-6.12;0.1388637;8.775048;4.76925;
0.0096211275;-0.14966199;0.06772968;3.84;-40.68;-5.16;0.37349546;9.064747;4.185065;
-0.34529158;0.13988814;0.0041996986;3.54;-40.92;-5.4;0.033518825;8.585907;4.450821;
0.07192938;-0.11789699;0.09582949;3.8999999;-41.82;-6.54;0.641646;8.617031;5.028123;
-0.09056077;0.031154128;0.09094256;3.06;-40.62;-6.06;0.33039984;8.686463;4.201824;
-0.59574634;0.31887165;0.27786732;3.1799998;-40.739998;-7.56;0.7278373;8.430284;4.185065;
-0.047800206;-0.096516706;0.12148582;2.7;-40.86;-8.4;0.89782566;8.32015;5.3513403;
0.09819659;-0.05497787;0.2167808;2.8799999;-39.96;-8.46;0.7589619;8.578724;4.4364557;
