gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.104228884;0.16050485;0.13400856;2.76;-54.48;15.78;0.9672575;9.05517;2.3199813;
-0.11140655;0.2454151;0.15661058;3.36;-54.84;16.02;1.3192052;9.610625;2.6527755;
-0.043600507;0.10247265;0.1175152;2.22;-55.379997;15.059999;0.4381389;9.464579;2.4875755;
-0.18287778;0.36942077;0.3038291;2.76;-55.14;15.0;0.6560113;10.254665;3.323152;
-0.103465304;0.69989884;0.057039544;1.92;-56.399998;15.059999;0.6440403;11.248259;2.8491;
0.3730096;0.590554;-0.12560916;0.78;-54.6;14.7;-0.7493851;10.2379055;1.1923125;
-0.17921259;0.17821993;0.06498079;1.26;-55.68;14.28;0.19153613;10.31452;2.4229321;
0.035811976;0.4531093;-0.47807842;2.46;-55.559998;14.58;1.4221559;10.774207;3.8115692;
0.12194397;0.16661349;-0.26671904;2.6399999;-55.379997;13.92;-1.6807296;9.105449;1.5705963;
0.17447838;-0.33124167;0.10285444;2.28;-56.34;12.96;2.1021092;10.563518;4.414908;
0.87086475;-0.7496844;-0.29298624;3.54;-54.96;14.5199995;-1.0654198;8.27466;1.5490485;
0.26855165;-0.4173737;0.13034338;2.46;-55.5;14.94;2.3247697;9.490914;1.8986019;
0.2569452;-0.64828074;0.33437237;1.8;-55.02;15.36;0.8690952;8.511686;1.4197617;
0.6668358;-1.4051428;0.56650114;0.06;-55.739998;16.02;3.6774938;8.406342;0.34715924;
-0.64163756;-0.47112983;0.7082219;-0.35999998;-56.34;17.76;5.293879;9.02644;1.697489;
0.434707;-1.0624474;0.56955546;-2.76;-56.64;15.48;4.3406878;7.8365216;1.4652514;
0.71631587;-0.95432425;0.67157;-4.62;-55.86;17.88;5.327398;7.6593504;0.80684596;
0.45058948;-0.8028296;0.8676577;-5.2799997;-55.68;19.199999;5.9738326;8.056788;1.1994951;
1.1164325;-1.0038043;0.67401344;-6.24;-55.32;20.34;5.9977746;7.5899186;0.842759;
0.20624338;-0.51144695;0.7955756;-6.42;-53.82;23.519999;5.7152586;8.286632;-2.3942018;
-1.1181124;0.08659015;0.1877647;-8.46;-54.899998;23.82;6.301838;9.912294;1.2018893;
-0.08269588;0.054825157;-0.008933905;-8.099999;-54.96;22.32;3.8235402;8.226776;2.3199813;
0.58436894;0.021227567;0.08269588;-8.16;-54.719997;22.08;5.222053;8.791808;-0.11971009;
0.11950051;0.05299256;-0.051083606;-7.44;-53.76;21.84;4.465186;8.736741;-1.1013328;
-0.028328875;0.035888333;-0.09506591;-7.14;-54.18;22.68;4.8578353;9.38557;0.076614454;
-0.0753655;0.21792617;-0.17447838;-7.2;-54.6;22.92;4.8937483;9.19164;0.20590134;
0.25938866;0.064599;-0.23312145;-7.5;-53.879997;22.74;4.417302;8.724771;0.29927522;
0.049861874;0.17027868;-0.1567633;-6.72;-54.48;22.92;4.0797195;8.684069;-0.91937345;
0.02603813;0.02977968;-0.14821118;-7.02;-54.48;23.939999;4.297592;8.712799;-0.19632454;
-0.23602305;0.15195273;-0.18547396;-6.18;-55.199997;23.939999;4.644751;9.469367;0.46447513;
-0.1914299;0.40485093;-0.48296532;-6.42;-54.719997;23.64;4.8099513;9.411906;1.2138603;
0.34918585;0.18188512;-0.6124688;-5.4;-54.84;21.96;3.9480386;8.561965;1.0630256;
0.46647197;0.48915035;-0.5984189;-2.46;-55.079998;22.439999;3.5075054;8.119038;-0.11492168;
0.30886874;0.38713586;-0.46341765;-2.52;-55.02;25.019999;2.980781;8.389582;-1.6304513;
-0.005726862;0.3284928;-0.3534619;-0.24;-55.02;25.859999;3.787627;8.952219;-0.50517654;
-0.47364965;0.41218132;-0.4273766;-0.71999997;-55.8;25.08;4.867412;9.1389675;0.0047884034;
-0.8621599;0.49831334;-0.5293911;-1.74;-55.44;24.539999;4.980239;9.093477;1.3311762;
-0.65446573;0.5343544;-0.44264823;-1.14;-55.86;22.5;3.9576154;8.202834;1.2425907;
-0.5457317;0.7677049;-0.35407278;0.29999998;-55.98;20.22;3.0142999;8.435072;2.030283;
