gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.17035505;0.08231409;0.12782355;-16.5;-42.36;-17.76;-1.8818425;9.131784;2.9759927;
-0.0762818;0.07192938;0.16142114;-15.299999;-42.3;-18.42;-1.685518;9.0432;3.0789435;
0.11308643;0.08781188;0.05390886;-17.34;-41.46;-18.359999;-1.2880806;9.172486;4.2185836;
-0.08544478;0.04138612;0.09605856;-16.44;-42.36;-19.02;-1.4772224;9.024046;3.9312792;
-0.026190847;0.12507465;0.012980887;-16.08;-42.18;-18.48;-1.3862427;9.033623;3.1914709;
-0.11049025;0.10919216;0.03680463;-15.599999;-42.239998;-18.84;-1.7238252;8.911518;2.815581;
-0.075670935;-0.0050396384;0.08628472;-16.44;-42.0;-19.02;-1.3790601;9.172486;3.3159695;
-0.12270755;0.046883907;0.025198191;-16.92;-41.28;-18.72;-1.6663644;9.196428;3.9432502;
-0.109268524;0.17455475;0.074067414;-16.619999;-40.86;-19.68;-1.9081788;9.239524;2.9281087;
0.01656972;0.095753126;0.18891008;-16.68;-41.16;-19.32;-1.685518;9.59626;3.8738184;
0.054443367;0.25457808;0.10705414;-16.98;-41.34;-20.039999;-1.3144168;9.450213;2.1404164;
0.06727154;0.28389964;-0.009010263;-17.76;-40.26;-19.5;-2.1691468;9.59626;4.402937;
0.19921842;0.4250095;0.22250767;-16.68;-41.82;-19.439999;-2.006341;8.724771;2.1068976;
-0.04879286;0.20937407;0.29153544;-17.1;-40.739998;-19.859999;-0.79726917;8.952219;2.6144683;
-0.075670935;0.27290404;0.2133447;-17.88;-40.92;-19.8;-0.7781156;9.656115;2.882619;
0.1118647;0.1788308;0.13087788;-17.279999;-40.559998;-19.68;-0.94810385;9.830892;3.940856;
0.2224313;0.2350304;0.089949906;-17.82;-40.92;-20.279999;-1.42455;9.5795;2.918532;
0.2926808;0.20998493;0.16325374;-17.699999;-40.86;-20.279999;-1.1324574;9.598654;2.1428106;
0.3983605;0.23625213;0.22128594;-19.439999;-40.079998;-19.619999;-1.3694834;9.366416;2.6551697;
0.3366631;0.12812899;0.50656;-19.5;-40.559998;-19.14;0.12449849;9.131784;0.14604631;
-0.41836634;0.39080104;-0.18616119;-19.439999;-40.68;-19.32;-0.2873042;10.501268;2.861071;
0.0019089539;-0.044745877;0.039858956;-18.72;-40.079998;-20.1;-1.7405846;10.520422;4.5034933;
0.22365303;0.0627664;0.22739458;-19.859999;-40.32;-20.46;-1.079785;10.324097;2.6527755;
0.28657216;-0.21029036;0.27565295;-20.52;-40.44;-19.68;-1.769315;9.998486;3.2465374;
0.32016975;-0.36972618;0.53893584;-20.88;-39.66;-18.9;-0.4357447;9.672874;2.0973208;
0.21571179;-0.053297993;-0.017562376;-21.539999;-40.32;-17.82;0.80445176;9.658509;2.3989902;
0.61033076;-0.6067419;0.2237294;-24.0;-39.6;-17.1;-0.23942018;9.584289;0.5770026;
-0.53748506;-0.06307184;-0.38224894;-23.22;-40.62;-16.5;-1.2066777;10.10383;2.0709844;
0.3898084;-0.47051895;0.4277584;-24.0;-40.2;-16.56;-0.6775591;9.842862;1.400608;
-0.70974904;0.10064005;-0.45921794;-23.76;-40.26;-16.74;1.0366893;9.773431;2.348712;
0.08437576;-0.3715588;-0.15134187;-24.06;-39.96;-17.88;-1.3000516;8.48535;2.2505496;
-0.69264483;-0.49006665;-0.053603426;-24.06;-40.02;-17.52;0.51475334;8.00651;1.4748282;
-0.36705366;-0.7851145;0.065515295;-24.72;-39.84;-18.06;-0.37828386;7.4917564;4.6830587;
-0.9852493;-0.68615437;0.21945333;-24.0;-39.66;-18.84;-0.34237084;7.9897504;4.003105;
-0.29008463;-0.97081757;0.5523749;-25.68;-39.12;-19.74;-1.5873557;7.63062;6.0432644;
-0.32307136;-1.3507757;1.1925616;-27.9;-37.92;-20.039999;2.1452048;6.929119;0.50517654;
-1.5765668;-0.82359904;0.61407226;-30.359999;-37.02;-18.84;1.7812861;7.877223;5.8900356;
-0.6651559;-1.3324498;0.8950703;-31.619999;-34.32;-21.42;2.540248;7.024887;4.606444;
-1.602834;-0.7655669;0.21700987;-34.5;-33.059998;-21.0;4.096479;7.752724;5.753566;
-0.49594623;-0.34040466;-0.34498614;-35.64;-32.28;-23.039999;1.9656396;8.212411;8.806173;
-0.07322747;0.09758572;-0.182496;-35.219997;-31.199999;-23.279999;1.3934253;8.370428;6.0217166;
0.19738583;0.1244638;-0.06582073;-35.1;-31.74;-23.279999;2.2290018;8.3824;6.182128;
0.26580274;0.34132096;-0.15012014;-34.98;-31.14;-23.519999;2.4660277;8.305785;6.08636;
0.26397014;0.46960264;-0.23319781;-34.5;-31.619999;-22.8;3.1842883;8.401553;5.284302;
0.59933513;0.39080104;-0.4445572;-33.78;-33.0;-23.1;2.542642;8.473379;8.492533;
0.92798066;0.56673026;-0.6754643;-31.56;-33.54;-24.119999;1.5346833;7.7982144;4.027047;
0.6475935;0.62598413;-0.56489766;-29.64;-36.0;-20.88;0.85473;7.242759;3.4093432;
0.54985505;0.5374087;-0.39629883;-28.38;-37.38;-21.3;0.25139117;7.2834606;6.359299;
0.54985505;0.106137834;0.21212296;-27.72;-37.079998;-20.4;-0.35673606;7.544429;2.96881;
0.25541803;0.08231409;0.10216721;-26.82;-37.68;-19.619999;1.3144168;8.456619;3.9384618;
0.7202865;0.087201014;-0.1244638;-27.599998;-37.739998;-18.48;0.9648633;8.648156;5.030517;
0.07460192;-0.11255192;-0.14340061;-27.779999;-38.34;-17.1;1.1013328;8.652945;3.5218706;
0.41729733;0.069485925;-0.10980303;-27.66;-39.18;-16.56;-0.19393034;8.497321;3.0813377;
-0.3120758;-0.08200866;0.1553125;-26.279999;-39.059998;-16.68;-0.4285621;8.947431;4.721366;
0.1662317;-0.026419923;0.38927388;-27.66;-38.16;-16.32;-0.38307226;9.735124;2.846706;
-0.16913332;0.069485925;0.01786781;-27.779999;-38.399998;-16.56;1.8459295;9.92666;4.050989;
-0.29619327;0.22586742;-0.1873829;-27.119999;-38.579998;-15.299999;-0.15322891;9.936236;1.6184803;
-0.25343272;0.022449298;-0.2759584;-26.16;-38.399998;-17.34;0.17477672;10.264242;4.620809;
0.3580434;0.02367103;0.11071932;-26.22;-38.76;-16.92;-2.2529438;9.778219;2.6431987;
0.273744;-0.24205536;0.28725937;-26.4;-39.059998;-16.08;1.1468226;9.95539;3.3279405;
0.20044015;0.6082691;-0.36392298;-26.939999;-39.0;-15.42;0.6943185;9.883564;1.7022774;
0.17295122;-0.09911288;-0.008399397;-26.099998;-38.219997;-15.719999;1.079785;9.668086;2.4708161;
