gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.19402607;-0.3911065;0.09980011;-1.68;-51.12;-13.32;-0.93134445;5.578789;8.111855;
-0.077198096;0.10430524;0.021609358;-2.04;-51.899998;-12.54;-0.7278373;5.71047;7.460632;
0.06574437;-0.14737125;0.091858864;-1.62;-52.44;-13.0199995;-0.7015011;5.8636994;7.70484;
0.027870728;-0.36911532;0.06742425;-2.04;-51.96;-12.78;-0.7015011;6.7112465;7.3265567;
-0.010613783;-0.27565295;8.399397E-4;-2.28;-51.6;-13.139999;-0.6991069;6.8620815;8.437466;
0.27099508;-0.4240932;0.30871603;-4.38;-51.36;-13.2;-0.79487497;7.2451534;8.090307;
0.6979899;-0.5010622;-0.18547396;-5.94;-51.42;-12.84;-0.05746084;8.289025;6.584354;
-0.1297325;-0.6928739;-0.30825788;-5.2799997;-52.32;-10.139999;-2.4875755;7.987356;6.5556235;
-0.80107343;0.09514226;0.3551418;-5.04;-52.199997;-10.86;-1.8746599;8.14298;5.650615;
0.275882;-2.808911;-0.22212587;-6.6;-51.719997;-10.62;-1.0989386;7.2092404;6.6992755;
0.8629235;-1.680643;-0.05535966;-6.24;-52.559998;-9.48;2.2816741;6.728006;10.266636;
1.9911916;-1.7930422;-0.3449098;-5.8199997;-53.16;-6.2999997;1.2856863;6.1629744;7.534852;
2.0925953;-2.845563;-0.7205919;-3.6;-54.42;-2.28;2.303222;6.5580177;3.028665;
1.2086732;-2.2548563;0.001450805;-1.8;-54.84;-0.17999999;3.4332852;8.20044;2.9951463;
0.80183697;-0.8187121;-0.2923754;-2.1;-55.559998;2.76;2.468422;7.6832924;1.3910311;
0.72670054;-1.7741054;-0.13110696;-1.86;-54.42;5.94;4.8267107;8.001721;1.6591818;
-0.3563635;-0.6800457;0.19570595;-3.8999999;-54.539997;10.98;3.3997664;6.598719;0.78050977;
-0.33803755;-1.3147347;0.56650114;-4.3199997;-53.399998;10.0199995;6.426337;7.0200987;2.4013844;
0.96371627;-1.1100949;0.27511844;-6.66;-53.219997;11.16;6.7687073;6.1773396;4.1180267;
1.9765309;-2.2292;0.6978372;-8.7;-51.12;14.28;7.3361335;4.572925;-0.48841715;
0.37667477;-1.0147998;1.3337479;-9.9;-49.68;18.48;9.167698;7.692869;0.1388637;
-0.6514114;-0.23044892;0.25923595;-12.059999;-47.879997;21.06;10.367192;10.7359;2.741361;
-0.27267498;0.8892671;-0.4188245;-13.32;-48.0;20.939999;6.6609683;7.723994;4.2544966;
0.9655489;0.75609845;-0.48479792;-12.179999;-49.2;19.26;7.000945;7.889194;1.4269443;
0.0077121737;1.3602442;-0.8140543;-11.639999;-48.719997;20.46;8.463802;8.497321;-0.557849;
-0.33620495;1.3083206;-0.919734;-9.48;-49.68;18.96;7.0655885;7.532458;0.23942018;
-0.5597816;1.7322611;-0.59047765;-7.7999997;-50.579998;18.0;5.779902;7.1015015;1.2425907;
-0.43516514;1.5703819;-0.5202281;-6.96;-51.96;15.839999;5.291485;7.6856866;2.1739352;
0.052305337;0.93508196;-0.34307718;-4.5;-52.739998;13.799999;3.442862;7.3983827;2.9041667;
-0.24824037;1.0713049;-0.3186426;-3.6;-53.579998;12.84;3.0310593;8.341698;1.8914193;
-0.6013205;0.85811293;-0.44936773;-1.8;-54.0;11.28;2.944868;8.384793;3.5314474;
-0.39851323;1.2588406;-0.5245042;-0.96;-54.36;10.08;0.24420857;7.8460984;3.2680852;
-0.2757293;0.75243324;-0.23373231;1.02;-55.14;9.0;0.4357447;9.105449;2.7246015;
-0.82367545;0.7237226;-0.07246389;2.6399999;-55.8;7.3199997;-0.18195933;9.29459;3.4117374;
-0.9379072;0.6052147;-0.18180877;4.08;-56.579998;5.2799997;1.2617443;9.421483;5.064036;
-0.6843982;0.38652498;-0.31558827;6.66;-57.18;2.1599998;-0.9983821;7.927501;4.9778447;
-0.09246973;0.17150041;0.009392053;6.48;-56.64;0.59999996;-0.15083471;8.739136;5.7990556;
0.034590244;0.14950927;0.04970916;7.08;-57.239998;-0.9;-0.6823475;8.413524;4.0222588;
0.07185303;-0.009315695;0.12667818;7.44;-57.66;-0.35999998;0.47884035;9.653721;4.6710877;
-0.0075594573;-0.14248432;0.14500414;6.3599997;-57.36;-1.56;-0.35673606;9.1629095;4.608838;
0.20807597;-0.11866058;0.2195297;5.8799996;-57.059998;0.12;0.5650316;8.736741;4.8243165;
