gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.095371336;0.064064495;0.14210252;2.22;-39.42;-1.9799999;-1.1013328;8.897153;3.2225955;
-0.04879286;-0.06299548;0.16165021;2.76;-39.6;-1.9799999;-1.055843;9.007286;3.2513258;
-0.10804679;-0.19310978;0.061468314;2.6399999;-39.36;-1.74;-0.93852705;9.105449;3.3279405;
-0.6773732;0.36338845;-0.055206947;2.76;-39.42;-2.6399999;-2.5761611;9.701605;3.8235402;
-0.52038085;0.36705366;-0.29039007;2.52;-39.66;-4.44;-4.1491513;10.901099;4.510676;
0.7428885;0.274813;-0.5616142;3.36;-39.66;-4.8599997;-6.550835;11.200375;3.2034419;
0.6152177;0.03901902;-0.6672939;4.5;-39.0;-3.48;-5.696105;13.426983;3.3782187;
0.7343364;0.7439575;-1.1853076;7.14;-39.239998;-2.22;-8.6697035;9.45979;2.6192567;
0.7990881;-0.08132143;-0.14439327;8.94;-39.12;0.71999997;-6.9099655;9.177275;-0.8475474;
0.9029352;-0.43317983;-0.317879;9.36;-39.0;2.6399999;-6.014534;4.572925;1.2378023;
3.3903785;-1.7660878;2.1817815;8.94;-38.76;4.44;-0.9648633;2.171541;-0.50038815;
1.901089;-1.2780064;3.7003925;4.68;-37.2;11.94;5.63625;-0.059855044;-4.3478703;
-0.11537717;-1.6830101;4.876308;-3.12;-35.76;16.56;25.767296;9.438242;1.9488802;
-4.1165447;-1.774029;0.2496148;-11.58;-33.78;16.199999;9.656115;13.920188;8.688857;
-0.8606328;1.7262288;-0.98005694;-11.28;-36.42;9.9;4.6160207;6.6418147;13.754988;
3.3622787;0.6187301;-0.40340012;-9.84;-36.84;7.62;6.4933743;4.759673;0.7733272;
0.62376976;1.5026522;-1.0924561;-10.08;-35.82;13.38;6.7112465;7.3983827;-3.9576154;
-0.11293371;0.6969209;-1.364902;-8.04;-35.1;14.759999;8.3752165;11.018415;-0.076614454;
-2.2039254;1.4226288;-2.0625103;-4.7999997;-36.3;13.38;7.319374;10.630555;0.17477672;
-1.4299592;0.687147;-1.2989286;-0.48;-37.86;9.54;5.5093575;9.751883;4.709395;
-1.185613;1.997453;-1.4247668;4.08;-38.399998;4.8599997;-0.35194764;6.7208233;5.633856;
-0.13003793;0.96447986;-0.6220899;6.0;-38.879997;1.74;-3.4524388;8.401553;3.7421372;
-0.48617238;0.5093852;-0.89392495;8.34;-38.879997;2.3999999;-5.705682;9.0432;0.62249243;
0.1399645;-0.17050776;-0.7503716;9.66;-38.46;0.96;-7.716811;9.02644;2.4061728;
0.16256651;-0.90660036;-0.7796931;12.42;-37.8;1.14;-7.6354084;8.083124;-1.8674773;
-0.71035993;-1.0177778;-0.28367054;13.0199995;-36.96;0.78;-7.668927;8.662521;5.729624;
1.3513103;-1.0189996;-0.11568261;14.34;-36.6;-0.65999997;-5.650615;9.675268;-0.16998832;
-0.283976;-0.5437464;-0.22991441;14.46;-36.84;0.48;-4.9371433;8.947431;0.011971008;
-0.18562667;-0.19310978;-0.13645202;14.46;-36.899998;0.24;-4.7979803;7.7551184;3.2752678;
0.45028403;-0.19738583;0.14821118;14.82;-37.02;-0.24;-4.134786;8.724771;2.8419175;
-0.24610233;0.20212004;0.2007456;15.299999;-37.079998;0.71999997;-2.5474305;9.44303;4.268862;
0.3665955;0.15508342;0.051083606;14.04;-37.079998;0.65999997;-3.1651347;8.494926;3.3806129;
0.29878947;0.24732406;0.16287194;13.5;-37.02;1.4399999;-2.9592333;8.583512;2.813187;
0.07887798;0.067118816;0.23617578;13.86;-36.78;2.22;-2.0254946;8.418312;2.0853498;
-0.41958806;0.04390594;0.47685668;13.92;-37.739998;2.34;-3.0214825;8.068759;2.1428106;
0.015347989;-0.44112107;0.3748422;12.54;-37.739998;1.3199999;0.19393034;10.597036;5.1909285;
-0.065897085;0.13309227;0.015653422;11.5199995;-38.219997;0.29999998;-1.745373;9.603442;3.655946;
-0.283976;0.13187054;-0.110795684;11.82;-38.16;1.3199999;-2.0039468;9.409512;2.0470424;
-0.5216026;0.08544478;-0.1297325;11.28;-38.28;0.48;-2.3918076;8.48535;3.2872388;
0.14790575;-0.21937698;0.17325665;11.82;-37.62;-0.84;-1.673547;9.136573;4.0821137;
0.36415204;-0.23098342;-0.011835515;11.82;-38.16;-0.29999998;-1.9177556;9.29459;3.3973722;
0.1680643;-0.15706873;-0.049098294;11.5199995;-38.879997;-0.12;-1.5993267;9.481338;2.96881;
-0.101938136;-0.14485142;-0.33070716;11.82;-37.559998;0.9;-1.3910311;9.945813;3.5218706;
0.0031306844;-0.03795;-0.12118039;12.0;-38.1;-0.29999998;-3.2154129;8.588301;4.0198646;
0.94080883;-0.42707115;-0.03810272;12.66;-38.16;0.71999997;-2.5689783;8.372823;3.4644098;
0.563905;-0.12408201;0.10972667;13.2;-37.86;1.74;-2.777274;8.521263;1.8076223;
-0.22838724;0.07506007;-0.2775619;12.9;-37.739998;3.24;-1.0965444;10.182839;2.372654;
-0.57169354;0.2363285;-0.3093269;13.559999;-37.86;3.72;-3.6942532;8.17171;2.8419175;
0.08743009;-0.13141239;0.19036089;14.04;-37.02;1.14;-3.083732;8.104672;3.1890767;
-0.008475755;-0.14729488;0.16653714;13.259999;-38.16;1.86;-2.4732103;9.088689;2.837129;
