gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.09094256;0.30100384;0.25977045;-6.42;-46.14;-7.3799996;-1.7669208;8.662521;4.3023806;
-0.18501581;0.59727347;0.20479257;-5.3399997;-46.739998;-9.599999;-1.4030021;9.047988;3.7852328;
-0.30230194;0.5532912;0.25121832;-5.58;-46.8;-10.0199995;-2.1452048;9.213187;4.1611223;
-0.12454015;0.84528476;0.1638646;-6.06;-46.02;-9.9;-3.2225955;10.1900215;4.0773253;
0.23525947;0.9027061;0.61529404;-6.24;-46.2;-10.98;-4.235343;9.615414;4.630386;
0.6530913;0.6186538;1.0068586;-8.34;-46.379997;-9.0;-1.5035586;9.495703;0.8571242;
-0.008475755;0.59971696;0.9445504;-8.7;-46.2;-9.54;-0.8858546;10.529999;3.2992098;
0.46066874;0.28206703;0.7509061;-10.86;-46.62;-8.28;0.36870706;10.582671;4.211401;
0.90965474;-0.21700987;0.81504697;-13.38;-46.86;-7.98;-1.2952632;10.21157;4.225766;
0.96157825;-0.35445455;1.0887146;-15.66;-45.84;-5.64;2.8921957;10.664074;-0.39025488;
0.32566753;-0.728915;0.52610767;-18.66;-45.539997;-3.3;0.19153613;9.148544;1.2617443;
0.63965225;-0.66782844;0.68798697;-21.84;-44.7;-1.26;2.135628;8.214806;3.550601;
-0.22838724;0.02733622;-0.14278975;-22.32;-43.98;0.84;3.679888;8.162133;0.5793968;
-0.6822601;-0.052687127;-0.71761394;-23.58;-44.04;1.9799999;1.3670892;7.5420346;4.630386;
-0.15202908;-1.4069754;0.90178984;-21.119999;-43.86;-0.35999998;-0.80924016;6.4694324;1.673547;
-2.0090594;-1.1265882;0.6757697;-22.68;-42.0;1.62;5.6314616;7.951443;3.7541082;
-1.2302063;-1.0325149;-0.23136522;-23.82;-41.46;-2.3999999;4.3406878;6.845322;9.510069;
-1.9149861;-1.0691669;0.03191771;-24.0;-41.579998;-4.56;2.0685902;6.344934;5.308244;
-1.3578771;-0.2396119;-0.64919704;-23.76;-40.14;-7.44;0.22984336;8.205229;11.820473;
0.4014148;0.1525636;0.0032070426;-22.439999;-40.02;-9.0;-1.4915876;8.391976;7.96102;
0.49487722;-0.044135015;0.42959097;-22.74;-40.26;-8.46;3.8546648;7.1374145;3.6607344;
0.061773747;-0.032528576;0.05757405;-22.92;-40.739998;-7.62;5.2028995;8.150162;4.3837833;
0.14362969;0.011453724;-0.2930626;-22.98;-40.559998;-7.3799996;3.6607344;9.184457;5.552453;
0.5235879;-0.019089539;-0.12018774;-23.039999;-40.739998;-6.66;1.055843;8.312967;5.753566;
0.39041924;0.11407909;-0.08170322;-23.16;-41.46;-6.0;2.4875755;9.038411;5.3537345;
0.71356696;0.35537085;-0.15012014;-22.32;-41.879997;-5.7599998;1.8914193;7.8245506;7.7192054;
0.83451825;0.61498857;-0.27473664;-21.779999;-42.059998;-3.9599998;1.7860745;7.424719;4.285621;
1.1448379;0.36086863;-0.3193298;-21.48;-42.54;-2.9399998;2.3798366;7.305009;3.8905778;
0.5651267;0.68951416;-0.7939721;-20.34;-42.719997;-0.84;3.0310593;7.3959885;4.132392;
0.17783815;0.51175237;-0.6436992;-19.08;-42.78;-0.06;-1.2378023;7.43669;2.6312277;
0.5064837;0.25030205;-0.16905695;-18.42;-44.34;-0.17999999;0.6823475;9.040805;2.858677;
-0.05062546;0.18616119;0.1779145;-18.359999;-44.52;0.78;0.5626374;9.201217;4.630386;
0.4191299;0.30711251;-0.20021108;-18.119999;-44.879997;0.65999997;0.15801731;9.560347;1.1587936;
0.1118647;-0.058184914;0.14614952;-18.0;-45.539997;0.84;1.2689269;9.569923;4.450821;
0.1821142;0.06154467;-0.30650163;-18.72;-45.36;2.22;1.2808979;9.727941;0.272939;
0.030008756;0.1769982;-0.42317688;-17.22;-44.82;1.68;0.24660277;9.5292225;1.8986019;
-0.30718887;-0.19624045;-0.12507465;-16.56;-45.059998;0.48;-0.21308395;10.221147;2.3558946;
0.12102768;-0.45463645;-0.26435193;-15.96;-46.2;1.02;0.82360536;9.9194765;3.2824504;
-0.22105686;-0.117438845;-0.6797403;-15.299999;-45.539997;0.78;-1.0390835;10.113407;1.4772224;
0.19860756;-0.7111999;-0.33399057;-13.5;-46.26;0.96;-0.33518824;10.19481;3.4261026;
-0.30963233;0.09819659;-0.8856019;-11.58;-45.66;1.4399999;-1.5945383;9.804555;2.918532;
0.31833714;-0.71791935;-0.20265454;-9.24;-45.84;1.5;-1.2665327;9.581895;2.822764;
0.41302127;-0.46379945;-0.48548517;-8.58;-46.379997;2.1;0.81881696;10.154109;1.412579;
0.48388162;-0.49739704;-0.49586987;-7.02;-45.6;3.84;-3.3423057;8.523658;-0.46926352;
-0.029245174;-0.5279403;0.12415836;-5.16;-45.66;4.8599997;-1.9656396;8.629003;-1.7286136;
-0.38965568;-0.36972618;-0.1684461;-5.64;-44.579998;5.58;0.09816227;9.225159;-0.49320555;
-0.55703276;-0.15042557;-0.41462478;-4.62;-45.899998;4.02;-1.9919758;9.399935;3.2489316;
