gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.12148582;0.41409028;0.10972667;9.3;-36.42;-25.08;-1.5346833;9.941025;1.9512744;
-1.4543937;-0.46861;0.5471062;10.139999;-36.66;-26.58;-2.3199813;8.233959;1.3742718;
7.0439634;-5.3207126;0.3290273;9.059999;-36.239998;-27.9;-1.0654198;6.9195423;11.947366;
-4.345008;4.701143;-0.3111595;2.9399998;-42.36;-17.76;0.9672575;10.441413;-13.0894;
-9.595395;5.297347;0.9246209;6.66;-40.32;-21.06;-8.044817;2.9352913;-0.11252748;
7.0439634;-6.627353;0.5049565;8.34;-29.88;-37.44;5.4518967;5.1286793;23.013666;
3.2498794;0.60651284;0.14026994;-0.29999998;-35.64;-30.9;-1.2449849;13.640066;-9.155726;
-7.7511926;6.037716;-0.3936263;1.3199999;-39.78;-26.76;-2.123657;12.811672;-2.0111294;
5.3170476;-6.869256;-2.4192555;4.8599997;-33.48;-35.52;0.7302315;6.8525047;29.578865;
3.8778489;1.5240325;-0.866436;3.4199998;-39.42;-27.359999;-7.867646;7.1278377;-9.086295;
-8.676043;5.0145164;0.06757697;6.12;-42.239998;-19.14;2.3008277;14.466066;-11.966519;
2.5931993;-5.8784328;-2.6037366;10.139999;-35.28;-32.7;1.388637;3.406949;25.087343;
8.572349;-2.1680372;-0.42966735;7.68;-36.78;-31.38;-2.4229321;-2.0901382;4.620809;
-1.7604373;2.655355;2.9722412;4.68;-43.559998;-15.9;13.144466;10.8268795;-14.358327;
0.90354604;-4.258418;0.60025144;0.24;-43.32;-16.5;10.8268795;7.939472;-1.1707647;
5.1215706;-4.2333727;0.47196975;-3.4199998;-42.18;-15.36;12.337621;10.295366;17.973871;
3.9499311;1.1459068;-3.1877239;-5.3399997;-44.219997;-4.8599997;6.419154;7.867646;-10.139744;
-3.7866774;0.016417004;0.19097175;2.04;-43.2;5.8799996;-2.3199813;0.7015011;-13.709498;
2.6866617;-2.277382;-0.34536794;2.1599998;-44.219997;-1.9799999;6.5580177;8.277055;13.637672;
-1.1184179;4.1715226;-0.0173333;3.06;-44.7;1.4399999;-2.4013844;9.581895;-18.285116;
-7.9350634;0.2186134;-0.5475643;1.9799999;-44.579998;-1.02;6.9003887;4.7620673;-8.214806;
4.5650725;-2.2944863;-1.7100409;1.74;-43.379997;-16.32;4.2425256;1.2808979;21.098305;
-1.0622183;5.865452;-0.3899611;2.3999999;-43.739998;-9.599999;5.2747254;11.423036;-26.775255;
-8.162916;-1.348256;-0.43944117;5.16;-44.879997;-7.14;1.4987702;1.7477672;-4.2904096;
3.8766272;-1.2358568;0.6491207;5.58;-39.6;-22.92;5.3417635;4.6950297;28.618792;
1.279839;2.4971406;-0.7424303;3.1799998;-43.32;-16.56;-1.3982137;13.003209;-22.484547;
-7.844655;1.4635568;1.3204616;4.3199997;-42.12;-15.599999;-2.669535;5.2148705;3.5697548;
3.8662424;-2.8644235;0.20196733;1.8;-38.219997;-28.26;7.3337393;9.318532;19.874866;
1.3348169;0.39393172;-0.5793293;-0.78;-40.379997;-22.14;2.0087352;13.242629;-2.9951463;
-4.534376;2.4580455;-0.11018482;1.68;-41.76;-20.58;-1.3024458;11.633725;0.7254431;
-0.5857434;-0.5510768;-1.0020481;3.6599998;-37.14;-27.119999;-3.1747115;9.227552;6.7926493;
1.7911333;0.10315987;-0.7564803;6.0;-35.219997;-30.0;-5.897218;8.751106;2.870648;
-4.3334017;2.2271383;0.5965863;7.98;-36.719997;-28.56;-6.395212;8.755895;-7.700052;
4.1380777;-5.1851006;-1.079628;9.059999;-33.42;-32.579998;0.79008657;6.476615;19.850925;
4.6964083;0.53381985;0.12255484;5.94;-37.739998;-27.06;-1.5586253;10.889129;-4.213795;
-5.0859876;2.5179102;-0.38507417;5.8199997;-42.3;-18.18;2.4181437;12.617743;-3.6104562;
-0.030466905;-0.25175285;-0.7344891;8.4;-38.94;-24.539999;-1.8076223;5.7032876;12.739846;
2.391003;-0.17050776;-0.17676914;8.7;-37.98;-24.48;-0.21547815;8.830115;-1.5298948;
-1.1422416;0.24182628;-0.07108945;9.719999;-40.079998;-20.52;-1.2904748;8.370428;-1.541866;
-0.75373137;0.15569428;0.18852828;10.139999;-37.92;-22.98;-0.49559975;8.20044;4.980239;
0.9591348;-0.5101488;0.16165021;9.9;-39.0;-23.039999;0.62967503;10.5084505;2.0254946;
-0.5619197;0.40065125;0.16714801;7.98;-39.36;-21.84;0.038307227;10.697593;1.340753;
-0.651106;0.32429308;0.39316815;8.46;-39.0;-22.98;-1.2497733;8.427889;2.8538885;
0.4423428;-0.07887798;0.29115364;8.099999;-38.46;-23.279999;2.0350714;10.2857895;3.3638535;
-0.04512767;0.27053696;-0.01488984;7.3199997;-39.78;-24.0;-0.41180268;9.325715;2.0757728;
-0.10865766;0.15386169;0.14698945;8.16;-39.42;-23.82;0.61052144;9.289802;2.980781;
0.22365303;0.04390594;0.12255484;8.22;-39.48;-23.46;0.10295067;9.478944;3.0430303;
0.023900103;0.1905136;0.22456934;7.3799996;-39.6;-23.34;1.2808979;10.163686;2.0566192;
-0.19906572;0.09705122;0.035811976;6.6;-39.96;-22.26;0.36391866;9.421483;2.4277205;
-0.06528623;0.19906572;-0.033826664;7.7999997;-39.36;-24.0;0.6919243;9.605837;2.5187001;
