gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.44516805;0.15065464;-0.11644619;14.5199995;-28.5;-38.64;-3.2249897;8.190864;3.430891;
-0.07070765;0.11522446;0.19448422;14.94;-26.82;-39.239998;-2.5210943;8.973767;4.721366;
-0.41034874;0.89285594;-0.01198823;15.599999;-27.06;-40.14;-3.3734303;8.837297;3.1411927;
-0.2948952;0.83848894;0.39484802;17.699999;-25.859999;-40.02;-4.0916905;9.601048;3.3973722;
-0.3370449;1.454241;0.4974734;16.859999;-25.38;-39.42;-3.4715924;11.45416;2.6408045;
-0.01572978;1.8268689;0.58910316;20.4;-26.039999;-38.52;-4.654328;12.78773;3.2824504;
0.107665;1.3418418;0.6648505;22.74;-25.8;-36.54;-5.4830213;13.553875;2.3127987;
-0.5374087;1.3033574;0.9006444;24.24;-28.019999;-35.76;-8.69604;10.618584;0.44771573;
0.3819435;0.17631099;2.647108;25.199999;-28.439999;-34.26;-0.79966336;10.355222;2.0590134;
0.28848112;0.6417903;0.17921259;22.38;-29.939999;-33.899998;4.1539397;10.486903;0.5291186;
-0.34681875;1.5104407;-1.6081791;22.98;-31.14;-32.94;0.8858546;8.3273325;2.1787236;
0.14553864;0.118889645;-1.3265703;26.699999;-29.64;-32.52;-1.9847932;5.51654;6.16058;
0.2359467;-2.0197496;0.6605744;28.08;-28.5;-32.1;-3.3973722;2.0015526;6.6513915;
-1.0853548;-2.969645;0.95867664;23.16;-28.14;-33.36;-0.5650316;1.1013328;9.617807;
-1.4194981;-1.2085205;0.20303634;19.92;-28.38;-37.44;-2.1763294;3.7828386;15.297153;
-0.91919947;-1.650787;-0.7505243;17.279999;-26.34;-40.379997;0.11492168;4.1395745;10.2857895;
-0.15439619;0.5678756;-1.8183168;15.96;-24.18;-43.32;-3.9025488;5.6194906;12.634501;
0.24327709;0.3094796;-0.18364136;18.0;-22.859999;-43.26;-4.9610853;4.5322237;6.86687;
0.1638646;0.28260154;0.8682686;19.439999;-23.16;-41.94;-2.7581203;4.9036245;7.367258;
0.4173737;0.46708283;1.4088843;18.48;-23.939999;-41.94;-1.4101849;5.2124763;10.276213;
1.1357512;1.6026813;0.25373816;18.72;-26.699999;-41.1;0.02633622;4.285621;12.342409;
1.2176071;1.7187457;0.37468946;21.42;-27.9;-39.48;-1.9536686;3.0262709;10.589853;
0.34284812;1.7981582;0.19265163;22.98;-30.0;-36.12;-4.1635165;3.9504328;6.028899;
0.2554944;1.3424528;0.771141;24.3;-31.199999;-32.82;-1.6903064;6.392818;7.3217683;
-0.029168816;1.0131963;0.33070716;24.48;-31.859999;-30.96;-0.59855044;8.037635;2.2098482;
0.00870483;0.14698945;0.4107305;25.74;-31.8;-30.119999;-0.34715924;9.826103;4.2521024;
7.6358154E-4;-0.13156511;0.30443996;25.5;-32.1;-29.039999;-1.2090719;10.118196;0.2753332;
-0.0804815;-0.45959973;-0.6314056;24.0;-32.94;-29.76;0.7565677;11.820473;2.705448;
0.12843442;-0.929966;-1.5556448;23.82;-31.98;-30.119999;-2.7030537;11.353603;0.93613285;
-0.07376198;-2.0081432;-1.5990162;25.74;-30.599998;-32.34;-1.8243817;12.232276;1.4939818;
0.48090366;-1.1168908;-1.1182652;24.66;-26.82;-34.14;-5.3417635;10.199598;0.78529817;
0.1516473;-1.2445616;-0.33574682;23.76;-27.119999;-34.8;-3.4883518;10.113407;2.1499932;
0.11133019;-0.6703482;-0.051083606;23.039999;-26.4;-36.0;-1.1468226;10.051158;3.0382419;
0.06612616;-0.19204076;-0.04925101;21.66;-26.699999;-36.0;-3.3375173;8.77026;1.9560628;
0.30497447;-0.52068627;-0.013209961;21.06;-27.06;-36.3;-3.2632968;8.846874;4.381389;
0.08628472;0.19830213;-0.3186426;21.0;-27.599998;-36.18;-3.775656;7.838916;4.074931;
0.23105977;-0.21158844;-0.16287194;21.06;-26.64;-35.7;-2.8491;7.714417;3.9671922;
-0.01695151;-0.091248;-0.25633433;21.0;-27.72;-35.34;-2.834735;7.9538374;4.0797195;
0.041080687;-0.2195297;-0.18608482;21.72;-27.3;-35.88;-3.5362358;8.01848;3.7804444;
-0.18677205;-0.03932445;-0.13232869;21.119999;-27.119999;-35.82;-3.9456444;8.219594;4.259285;
0.056352317;-0.21342105;0.14928019;21.42;-26.88;-36.3;-3.2968156;8.107066;4.0533834;
-0.24846944;0.026648996;-0.0669661;21.0;-26.82;-37.02;-3.0238767;8.389582;4.417302;
-0.11224649;-0.37468946;0.015500706;21.0;-26.58;-37.26;-2.6886885;8.506898;4.841076;
-0.12690726;-0.3282637;-0.38278344;19.8;-26.099998;-36.96;-2.2601264;8.329727;4.465186;
-0.031001411;0.021762075;-0.53244543;20.34;-25.56;-37.26;-3.845088;8.435072;5.279514;
0.014202617;-0.33070716;-0.011377365;21.18;-24.84;-38.879997;-5.006575;7.8460984;4.3837833;
-0.010231993;-0.3478114;0.34475708;20.22;-25.019999;-38.46;-3.6104562;8.054394;5.0448823;
-0.07315111;-0.19937114;0.15294538;19.56;-25.26;-38.879997;-2.2960393;7.580342;4.898836;
-0.24480425;-0.03688099;-0.17386752;19.439999;-26.16;-39.18;-2.2720973;7.451055;4.5274353;
-0.26740626;-0.46082148;0.064369924;18.42;-24.539999;-39.239998;-2.719813;7.700052;5.1669865;
