gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.41462478;0.6332382;-0.16470455;19.14;-18.359999;-41.76;-4.819528;7.1230493;3.394978;
-0.75609845;0.5464953;0.45715627;21.48;-17.76;-41.7;-5.0376997;7.7096286;4.8602295;
-0.6748534;0.8000044;0.73387825;22.74;-16.74;-42.54;-5.004181;8.212411;4.9132013;
-0.4622723;1.7602845;0.58910316;23.34;-16.74;-41.46;-5.0951605;10.218752;5.2364182;
-0.27046058;2.2899048;0.7375434;26.099998;-16.199999;-39.719997;-5.480627;10.762236;3.7828386;
-0.2875648;0.7199811;1.9549979;30.06;-17.1;-37.559998;-7.25473;10.915464;2.6240451;
-0.23136522;0.53000194;2.0093648;30.0;-19.5;-36.66;-3.7612908;11.0495405;2.6120741;
-0.5581781;0.3992768;0.90614223;29.22;-21.48;-36.6;-3.1124623;10.017639;2.2601264;
0.082619525;-0.83528185;1.5475508;27.18;-22.68;-37.62;-1.7022774;8.674492;4.501099;
0.43203443;-1.2848787;0.7754171;24.72;-24.539999;-36.96;3.490746;7.666533;3.715801;
-0.041996986;-1.4406493;-0.7749589;21.72;-24.66;-38.76;0.90021986;7.192481;10.269031;
0.5297729;-2.706362;0.17004961;19.5;-25.68;-39.059998;-0.50996494;-0.7350199;7.664139;
-2.5318837;-2.7949376;-0.48479792;14.94;-26.039999;-42.239998;2.111686;-4.343082;12.900258;
-1.64674;-0.44371724;-2.679026;10.32;-19.98;-45.96;-4.7764325;0.6536171;21.778257;
1.2579242;0.9985356;-1.8513035;12.0;-16.44;-47.46;-5.0807953;1.9560628;9.165303;
0.37705657;-0.46082148;0.46082148;13.98;-17.1;-46.739998;-3.1962593;1.9416976;5.4638677;
0.10399981;0.33391422;1.2030227;14.04;-18.6;-46.379997;-3.5434184;4.0174704;9.572318;
0.6275113;1.6234508;1.1645383;13.38;-20.1;-44.399998;-0.92416185;3.1651347;11.432612;
1.2762502;1.8916206;1.0405326;15.0;-22.859999;-44.1;-0.08619126;2.9712043;13.261783;
0.8407033;2.6949084;-0.31253394;17.88;-24.9;-41.579998;-0.30166942;3.4811692;10.122984;
-0.44944412;2.3619869;0.055206947;22.26;-25.56;-38.52;-6.1557918;3.8522706;8.511686;
-0.60154957;1.9960785;1.5072336;25.98;-25.199999;-35.52;-5.504569;5.5069633;5.11192;
-0.34437528;0.72853315;1.106506;27.48;-27.42;-34.14;3.809175;10.122984;5.064036;
-0.03894266;0.7822893;-1.269149;27.359999;-26.88;-34.26;-0.19871874;9.665691;2.123657;
0.021533;-0.5377905;-0.98326397;30.3;-25.74;-32.34;-0.1604115;10.889129;3.8355112;
0.79183406;-0.027718011;-2.13841;30.9;-23.699999;-32.04;-4.570531;8.827721;1.0103531;
-0.32788193;-1.2696071;-0.48601967;32.7;-23.039999;-32.64;-2.1787236;10.635344;3.2082303;
0.4240932;-1.7161496;-0.7645742;32.88;-21.66;-34.86;-0.878672;10.609007;4.1132383;
0.474795;-1.283657;-1.2728142;30.66;-20.82;-36.54;-3.5817258;9.718364;4.644751;
0.4784602;-1.2720505;-0.8769734;28.859999;-20.4;-37.559998;-6.6729393;8.056788;4.2305546;
0.40393466;-1.0228175;-0.5073999;27.24;-20.16;-38.46;-5.734412;7.0440407;4.920384;
0.14126259;-0.8169559;-0.2777146;26.16;-20.039999;-39.84;-4.8458643;7.058406;5.904401;
0.3727805;-0.42294782;-0.6320165;24.96;-19.859999;-40.2;-2.753332;7.5396404;4.2999864;
0.12599096;-0.62636596;-0.34368807;23.46;-18.66;-40.559998;-5.030517;6.9003887;5.2483892;
0.063682705;-0.69844806;-0.2862667;23.34;-18.24;-41.34;-3.8139634;7.2834606;5.478233;
0.021533;-0.28672487;-0.3216969;21.119999;-19.02;-42.36;-4.256891;7.415142;6.2707133;
0.22800545;9.92656E-4;-0.37911823;21.06;-19.38;-42.12;-3.5051112;7.352893;5.0616417;
-0.11652254;-0.18532124;-0.29481885;22.08;-19.38;-41.46;-4.6782703;6.7615247;4.8841715;
0.17058411;-0.381409;0.010002919;20.82;-17.76;-41.7;-4.247314;6.9674263;6.1414266;
-0.17211129;0.21723895;-0.29298624;20.46;-18.539999;-43.079998;-4.10845;6.4837976;5.4495025;
0.03680463;-0.1297325;0.04298964;21.06;-18.96;-42.18;-3.9097314;6.7615247;5.909189;
-0.5093089;0.061468314;-0.13110696;20.64;-17.58;-42.12;-4.1922474;6.320992;5.5189342;
-0.3791946;0.24228443;0.10835222;20.82;-17.76;-43.079998;-4.1539397;6.8716583;7.7431474;
-0.041996986;0.33147076;-0.12560916;22.74;-16.859999;-42.0;-2.9281087;6.431125;5.6170964;
-0.19593503;0.10178542;-0.07490735;21.72;-16.56;-42.899998;-4.096479;6.4957685;6.390424;
-0.023060163;-0.057650406;0.032604933;22.56;-16.08;-42.36;-4.510676;6.5412583;6.6394205;
-0.045662176;0.18180877;-0.15370896;23.1;-16.14;-42.48;-3.5745432;6.3066263;6.074389;
0.33429602;-0.23724478;-0.24778222;24.0;-16.14;-42.36;-3.9504328;6.359299;7.496545;
0.6647741;0.0052687125;-0.48540878;23.039999;-16.5;-42.239998;-4.120421;6.3377514;5.68174;
0.12721269;0.28199068;-0.5593235;22.98;-17.279999;-41.219997;-5.420772;6.383241;5.147833;
