gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.03596469;-0.2518292;0.044745877;9.0;-43.02;-6.96;-1.6711528;9.0432;3.3566709;
0.10025826;0.26618454;-0.0664316;8.76;-43.14;-6.2999997;-0.89782566;9.028834;3.4261026;
-0.08544478;-0.06795876;0.16203201;9.12;-43.26;-6.48;-1.0773908;8.746318;2.3774424;
-0.030466905;0.007788532;0.11927144;8.639999;-42.84;-6.06;-0.1388637;10.089465;4.1180267;
0.07826711;0.45433104;-0.14340061;9.12;-42.899998;-6.54;-0.6631939;11.083059;3.7325604;
0.5144249;0.527024;-0.04444045;8.76;-43.26;-5.7599998;-1.3623008;10.714352;3.0430303;
0.76671225;0.5001459;0.2640465;8.639999;-43.379997;-4.7999997;-0.79248077;9.850045;1.2545617;
0.74716455;0.5881105;0.25977045;7.8599997;-43.26;-3.24;-0.05746084;10.132561;-0.90500826;
-0.21739167;0.42623124;0.0355829;6.8399997;-43.079998;-0.71999997;-0.31603462;11.02081;1.8650831;
0.3103959;0.8196284;-0.22892176;7.56;-42.059998;-0.59999996;1.043872;11.116578;1.4772224;
0.6121633;-0.24510968;0.37400225;7.08;-42.3;0.35999998;-1.8746599;9.617807;2.930503;
0.20899227;-0.052687127;-0.016340645;6.42;-41.82;1.38;0.30645782;9.538799;1.8124107;
0.07154759;-1.0251846;0.50411654;7.5;-41.94;2.04;-0.79966336;8.767866;3.8115692;
-0.18623754;-0.11682798;-0.21670444;6.6;-41.94;1.86;0.9888053;8.609849;3.3159695;
-0.20334177;-0.6580546;-0.13912456;7.2;-41.82;1.92;-0.34237084;8.846874;3.86903;
-0.32918;-0.89751375;-0.33948836;7.9199996;-41.7;0.17999999;0.12210429;8.004115;4.010288;
-0.98586017;-0.851088;-0.3119994;8.5199995;-41.46;-0.9;0.5674258;7.946655;4.0892963;
-0.578413;-0.90484416;-0.64736444;10.139999;-40.2;-3.4199998;-2.018312;7.609072;8.736741;
-0.39271;-1.9836322;0.9512699;10.8;-39.84;-5.64;-0.89782566;5.588366;2.183512;
