gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.097662084;-0.08628472;-0.35537085;-15.719999;-37.2;-27.06;-2.4947581;7.9921446;4.8123455;
0.4741078;-0.15775596;-0.14645495;-14.16;-38.1;-27.96;-2.2481554;8.468591;6.380847;
0.18883371;0.23991732;-0.26923886;-13.92;-38.52;-27.24;-1.496376;9.047988;4.285621;
0.23892467;0.42195517;-0.05421429;-12.66;-39.239998;-26.34;-2.7940333;8.8205385;5.5332994;
0.62438065;0.100029185;0.3129157;-11.94;-39.36;-26.279999;-1.5394717;8.703222;3.952827;
0.20044015;0.3315471;0.030695979;-11.46;-40.079998;-26.039999;-1.6448165;9.182063;5.4997807;
0.45150578;0.032223143;-0.15989397;-13.32;-40.02;-25.92;-1.6280571;9.117419;4.7788267;
0.9835694;0.34865135;-0.3089451;-12.599999;-39.6;-24.18;-3.7804444;10.015245;8.432677;
1.511357;0.13179417;0.7350236;-12.42;-41.46;-22.32;-4.4675803;8.952219;2.908955;
0.41485387;0.21181752;0.7093673;-13.139999;-42.3;-19.74;0.7613561;10.31452;3.572149;
0.81802493;-0.00992656;0.09483683;-15.299999;-42.78;-18.779999;-1.8195933;9.5795;5.406407;
0.9713521;-0.1601994;-0.1769982;-14.34;-42.96;-16.38;-0.272939;8.899547;2.3439236;
0.46922088;-0.42103887;-0.05665775;-15.66;-43.68;-14.639999;-1.7118542;8.851663;3.715801;
0.22487476;-0.30497447;0.019089539;-14.4;-44.399998;-13.559999;-2.8514943;7.7215996;4.5681367;
0.6701955;-1.0447323;0.8950703;-15.42;-44.16;-12.059999;-0.50278234;6.857293;0.45250413;
-0.7396815;-0.9726502;0.65133506;-17.58;-43.86;-10.38;1.661576;7.3121915;2.8538885;
-0.87712616;-0.98792183;0.034972034;-19.92;-43.62;-11.58;0.7110779;6.7232175;3.916914;
-1.0078512;-0.95737857;-0.18066339;-20.34;-43.739998;-12.84;2.0111294;7.6138606;4.9395375;
-1.403081;-0.7099781;-0.6742425;-20.52;-42.78;-14.94;0.7110779;6.854899;5.3992243;
-1.2198216;-0.7796168;-0.4885395;-19.74;-42.059998;-16.74;-1.0271125;6.9961567;7.5396404;
-0.8618545;-1.0746647;0.07162395;-19.38;-41.16;-20.22;-1.3910311;6.830957;6.050447;
-0.7592291;-0.7857254;0.14492778;-20.039999;-40.26;-20.279999;-0.35913026;7.4055653;9.064747;
-0.33589953;-0.7643451;0.49128836;-21.48;-40.44;-20.939999;-0.05267244;6.8740525;6.088754;
-0.5087744;-0.2603813;0.013591751;-22.199999;-40.92;-20.52;1.8698715;7.740753;8.437466;
0.13752104;0.3840815;-0.32360587;-22.619999;-39.66;-21.359999;0.46447513;7.520487;7.2690954;
0.030008756;0.1244638;-0.04505131;-21.48;-39.0;-20.58;0.011971008;7.273884;6.0336876;
-0.12698361;0.07925977;0.04718934;-21.539999;-39.96;-22.02;0.79248077;7.8868;7.4462667;
0.072158456;0.015118915;0.039858956;-21.0;-39.719997;-21.3;1.1013328;7.819762;5.279514;
0.11980595;0.20570888;-0.12873985;-21.42;-39.78;-22.38;0.260968;7.6976576;8.341698;
0.098425664;-0.10216721;0.025809057;-21.48;-39.239998;-21.359999;0.04070143;7.7862434;6.0672064;
0.11369729;0.01450805;-0.031612277;-21.779999;-39.48;-21.18;-0.050278235;7.5156984;6.5939307;
0.06727154;-0.16997325;0.0050396384;-21.72;-39.059998;-20.039999;0.5722142;7.7862434;6.2515597;
0.042836927;0.095753126;-0.11102476;-21.06;-40.5;-20.58;0.17477672;7.644985;6.2012815;
0.20777054;0.16355917;-0.20082195;-21.66;-39.899998;-21.06;-0.038307227;7.594707;6.320992;
0.28718302;0.20693061;-0.11957687;-20.4;-39.96;-19.68;-0.22505496;7.3241625;6.062418;
0.19066632;0.29733866;-0.21242839;-20.699999;-41.52;-19.56;0.9768343;7.5180926;6.905177;
0.32933274;0.2753475;-0.2667954;-19.74;-40.62;-19.98;-0.30166942;7.3816233;5.332186;
0.38736492;0.3932445;-0.18677205;-19.56;-41.82;-18.3;-0.33518824;7.5516114;6.2228293;
0.51809007;0.59483004;-0.114689946;-17.52;-41.399998;-18.66;-1.3694834;7.5779476;6.4478846;
0.61033076;0.5551238;-0.05177083;-17.1;-42.0;-17.94;0.038307227;7.67611;6.9075713;
0.61888283;0.603993;0.024587326;-17.039999;-41.82;-17.279999;-0.63206923;7.9298954;5.5716066;
0.5119814;0.2490803;0.020922136;-16.74;-42.6;-15.179999;-0.60812724;8.15495;4.6112323;
0.33910656;0.6235407;-0.18432859;-16.26;-43.5;-15.599999;-0.4261679;8.190864;6.2970495;
0.1961641;0.29611692;-0.13973543;-15.42;-44.16;-14.759999;-0.770933;8.755895;3.976769;
0.5022076;0.38896844;-0.18371773;-14.759999;-44.579998;-13.679999;-1.4269443;8.293814;5.693711;
