gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.112780996;-0.15286903;0.04970916;-3.0;-54.0;16.8;2.3511062;9.32332;1.5490485;
-0.03443753;-0.0355829;0.0313832;-2.28;-54.539997;15.66;2.396596;9.337686;2.183512;
0.069409564;-0.049632803;0.057650406;-1.56;-55.199997;16.8;1.685518;9.663298;2.597709;
0.1427134;0.14950927;-0.0022143866;-1.4399999;-54.6;15.66;1.2186487;10.656891;2.5019407;
0.12927435;0.42317688;-0.20807597;-2.1;-54.899998;16.02;0.6919243;11.281777;2.7629087;
-0.1175152;0.9772317;-0.59047765;-1.86;-55.26;16.32;-0.5650316;10.278607;1.8004397;
0.07612908;0.5508477;-0.41577014;-1.74;-54.96;15.54;-1.1109096;10.151714;2.5450363;
0.37972912;0.43478334;-0.31192306;0.35999998;-55.62;15.299999;0.2873042;10.649709;2.9400797;
0.20379992;0.39690968;-0.2746603;0.78;-55.079998;16.14;-0.6631939;10.134955;1.7022774;
-0.19326249;0.29367346;-0.09506591;1.62;-55.32;15.42;-0.8403648;9.399935;1.6352397;
-0.14928019;0.17272215;2.2907447E-4;0.65999997;-54.719997;15.24;0.107739076;9.344869;1.8435353;
0.49823695;-0.91339624;-0.08345947;1.68;-55.559998;13.799999;0.44771573;8.748713;2.1643584;
-0.038713586;-0.066737026;0.05642868;2.04;-56.34;14.58;2.3127987;9.708787;2.0374656;
0.9392817;-1.2780828;0.02649628;1.3199999;-55.62;15.54;0.7326257;8.346486;2.327164;
0.8439867;-0.61834836;0.19753855;1.0799999;-54.96;18.539999;3.7253778;9.047988;1.1540052;
1.3613895;-1.2829697;0.7344891;0.0;-54.6;21.359999;2.3247697;7.568371;-1.2210429;
-0.25434902;-0.2499966;0.95684403;-1.14;-52.379997;23.939999;4.9539027;7.6593504;-2.0829554;
0.31680998;-0.9775371;1.2097423;-3.24;-52.739998;23.76;5.4016185;6.938696;1.2018893;
0.50190216;-0.7173085;1.2060771;-5.1;-51.719997;25.14;6.265925;7.4678144;0.2705448;
0.2007456;-0.7283041;0.9562332;-7.3199997;-51.12;25.859999;7.3241625;9.189245;-0.92895025;
-0.3826307;-0.17913623;0.19326249;-8.76;-50.46;26.279999;5.3680997;9.720758;0.85473;
0.18791743;0.07620544;-0.104228884;-8.4;-49.14;26.4;5.2531776;9.277831;1.0606314;
0.18608482;0.5196936;-0.24717134;-7.68;-50.76;26.16;4.8698063;9.486126;-0.78290397;
-0.014278975;0.46960264;-0.4078289;-7.56;-50.399998;26.279999;4.5872903;9.251494;-1.8531121;
-0.44249552;0.6186538;-0.6643923;-7.5;-49.92;26.22;5.370494;9.445425;-0.035913024;
-0.088804536;0.6424775;-0.9948704;-6.8399997;-50.399998;25.199999;6.3090205;8.990526;0.7661445;
-0.03810272;0.70906186;-1.023581;-4.56;-50.94;24.48;6.4957685;8.494926;0.45968673;
-0.43638685;0.80680025;-0.702266;-4.44;-52.62;24.359999;3.5170822;7.5899186;0.47405192;
-0.04848743;0.57528234;-0.53488886;-2.58;-52.62;22.619999;3.6846764;8.41113;1.079785;
-0.005726862;0.82818055;-0.22151501;-1.68;-53.039997;22.859999;3.0933087;9.253889;1.9488802;
0.04680755;0.45372015;-0.3974442;-2.1599998;-53.399998;21.539999;1.3431472;9.275436;0.19393034;
-0.10102184;0.3303254;-0.21479549;-1.62;-52.68;21.72;1.9512744;9.866804;0.21068975;
0.14821118;0.17088956;0.033826664;-0.65999997;-52.98;21.6;-0.46926352;9.524434;2.0398598;
0.27160597;-0.37583485;0.015500706;0.29999998;-53.76;22.02;0.9504981;10.367192;-0.29209262;
-0.25495988;-0.078343466;-0.06818783;1.62;-53.579998;22.74;-0.4357447;9.921871;-0.5363012;
-0.5848271;-0.7661777;0.037491854;1.9799999;-53.219997;21.9;-0.2681506;9.71597;-1.2306197;
-0.92752254;-0.4027129;0.100410976;3.72;-55.02;21.0;-0.11971009;10.154109;1.1444284;
-0.46326494;-1.0276281;-0.2990949;3.84;-55.62;18.539999;-0.7565677;10.180445;2.0494366;
-0.54695344;-0.279929;-0.12744176;5.7599998;-55.62;18.48;-0.21787235;11.557111;2.6048915;
-0.6465245;-0.15103643;-0.1811979;5.46;-55.44;16.32;-1.8698715;10.010457;2.8898015;
0.111559264;0.031612277;0.15722144;6.24;-55.559998;15.12;-0.4429273;9.308955;1.4389153;
-0.118126065;0.0041233404;0.20853412;6.2999997;-56.34;14.94;0.05746084;8.88997;1.5825673;
0.003436117;-0.011148291;0.19387336;6.42;-55.62;14.94;1.364695;9.306561;2.9257145;
0.101174556;0.15989397;0.21708624;5.58;-55.86;15.299999;1.4820108;9.500492;2.4708161;
-0.027107146;0.10247265;0.106519625;4.2599998;-55.739998;16.32;1.2856863;9.727941;1.9129672;
0.0016035213;0.055436023;0.06803512;3.36;-56.399998;15.12;1.6184803;9.802161;2.0829554;
-0.06314819;0.04016439;0.045433104;2.82;-55.5;16.38;1.6448165;9.524434;2.4995465;
-0.04604397;0.01450805;-3.8179077E-4;2.7;-54.3;15.599999;1.3838485;9.466972;2.2744915;
-0.08513934;-7.6358154E-4;0.07841983;2.3999999;-55.68;14.82;1.6807296;9.55077;2.4157495;
0.024205536;-0.09911288;-0.028481591;2.52;-55.32;16.14;1.9656396;9.522039;2.5905263;
0.12927435;-0.10888673;0.071700305;2.6399999;-55.26;15.48;1.163582;8.959402;2.1763294;
0.05535966;-0.04046982;0.19631682;2.82;-55.559998;15.54;1.8818425;9.318532;1.7477672;
-0.01488984;-0.03313944;0.08636107;2.1599998;-55.32;15.9;2.3702598;9.763854;2.2481554;
0.016875152;-0.08445212;-0.06085745;2.1599998;-54.899998;15.839999;1.757344;9.636961;1.6017209;
-0.1175152;0.005955936;-0.104228884;2.1599998;-55.62;16.56;1.4700398;9.474155;1.7166426;
-0.21158844;0.04810564;0.04298964;1.56;-54.899998;15.599999;1.3790601;9.131784;2.4420857;
0.037644573;-0.069791354;0.05642868;2.1;-54.48;15.48;1.8579005;9.445425;2.8993783;
