gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.08773552;-0.14737125;-0.10178542;11.58;-55.98;8.94;1.8291701;8.9402485;2.932897;
-0.13400856;-0.1479821;-0.004046982;12.48;-57.42;10.08;1.8148049;8.988132;2.6503813;
-0.22563834;-0.14920384;-0.026648996;12.54;-56.94;8.639999;1.7070658;9.007286;2.980781;
-0.10285444;-0.25244007;-0.0077121737;12.9;-57.3;8.04;1.5227122;9.428665;3.229778;
-0.07475463;-0.10338894;-0.04008803;12.12;-56.579998;8.099999;1.0366893;9.536405;3.5482068;
0.004046982;-0.017256944;-0.05963572;11.58;-55.98;7.44;0.92416185;9.636961;3.7445314;
0.09140071;0.1611157;-0.0107665;11.4;-56.039997;7.8599997;0.40462008;9.651326;3.6822822;
0.61124706;0.28084528;0.093080595;11.7;-56.1;8.04;0.48362875;9.998486;3.1316159;
0.6827183;0.18066339;0.016111571;11.219999;-55.86;9.66;0.8738836;10.972926;1.3000516;
-0.45226935;0.6968445;-0.17631099;12.12;-56.46;10.92;1.0199299;11.336844;1.6352397;
-0.6923394;0.2826779;-0.3730096;11.5199995;-56.039997;10.38;-0.009576807;10.939406;3.3758245;
0.5012913;-0.43936482;-0.14515686;11.94;-55.98;9.36;-0.61052144;10.077495;6.3090205;
0.6686684;0.1788308;-0.016875152;12.24;-55.379997;9.9;-0.36391866;9.440637;3.0382419;
0.28809932;0.6430884;-0.23495404;12.42;-55.26;11.7;0.6368576;9.878776;2.27928;
0.30703613;0.4531093;-0.29481885;12.719999;-55.26;12.42;-0.11971009;9.589077;1.8531121;
0.99425954;-0.7276932;-0.34552065;12.96;-55.079998;14.4;-1.6519991;8.408735;-0.5530606;
0.8262716;-1.5499178;0.2036472;14.82;-55.62;14.759999;0.25378537;9.103054;-1.4149733;
-0.2036472;-0.7985536;0.26412287;15.36;-54.719997;16.619999;2.5953147;9.390358;-0.076614454;
-0.12301299;-1.6562084;0.6465245;15.24;-55.92;16.38;1.9991584;8.099884;-0.6823475;
-0.3826307;-0.7857254;0.5109124;13.139999;-57.0;15.299999;4.4484267;8.334516;1.4556746;
0.38461602;-1.7154623;0.45593455;9.9;-55.5;15.12;4.9658737;7.264307;1.1875241;
1.1036044;-1.5267049;0.85666215;7.98;-54.84;16.5;4.932355;6.1988873;-0.7685388;
0.4096615;-1.1314751;1.0527499;6.3599997;-54.78;18.72;7.1613564;7.9322896;0.40940848;
-0.17249307;-0.8040514;0.73082393;5.04;-54.719997;19.8;5.767931;8.348881;-0.35913026;
-0.7375434;-0.4259258;0.5396231;4.38;-53.94;20.4;5.222053;10.410288;1.8602947;
-0.35208747;0.72433347;-0.20257819;3.24;-54.3;18.42;5.315427;9.198822;3.9935284;
1.1194869;0.41523564;-0.11950051;2.28;-53.64;17.699999;3.799598;8.32015;0.045489833;
0.39805508;0.68218374;-0.08712465;2.8799999;-54.12;19.619999;4.7309427;9.342474;-1.9776106;
-0.0894154;0.5459608;-0.42982006;4.2;-54.36;21.24;4.6830587;9.375993;-0.8882488;
-0.25190556;0.66813385;-0.3907247;4.5;-54.12;20.22;4.9179897;9.433454;2.243367;
-0.5066364;1.0340421;-0.92645353;5.3399997;-55.32;19.439999;7.094319;9.198822;2.3080103;
0.28993192;0.7463246;-0.6472881;6.66;-54.899998;18.3;2.9496565;7.644985;0.7493851;
0.41515929;1.0517572;-0.21418463;7.7999997;-54.48;19.859999;4.367024;8.921095;1.2689269;
0.10606148;1.0010555;-0.32230777;8.82;-54.42;19.32;2.5594015;9.287408;-0.088585466;
0.3186426;0.68035114;-0.17447838;9.54;-54.239998;19.98;3.6104562;9.636961;0.29209262;
-0.25434902;0.84956086;-0.48418707;10.559999;-54.18;20.699999;2.5953147;9.335292;0.5602432;
0.6362925;0.17577648;0.005726862;11.5199995;-54.239998;20.16;1.7621324;8.949825;0.34715924;
0.25389087;0.46838093;-0.4536438;11.4;-54.18;20.4;2.4181437;9.945813;-1.0175357;
0.055970527;0.16417004;-0.14576772;11.82;-54.059998;20.46;0.20590134;9.332897;0.34476504;
0.20013472;0.065209866;-0.30337095;13.62;-54.12;21.359999;1.1731589;10.357615;0.0047884034;
0.10361802;-0.28053987;-0.25266913;14.46;-53.699997;21.42;-0.074220255;9.617807;-0.02873042;
-0.035659257;-0.06429356;0.13461943;15.24;-53.16;21.42;0.4213795;9.684845;0.4309563;
-0.15050192;-0.23777929;-0.005879578;14.639999;-53.879997;21.6;1.0295067;10.154109;-0.062249243;
-0.51946455;0.07070765;0.08575021;15.42;-53.76;21.0;0.5674258;9.352051;0.94092125;
-0.42355868;-0.15103643;0.1596649;14.34;-54.12;19.14;1.2617443;9.797373;1.4221559;
-0.41745004;-0.24816401;0.030772336;14.34;-54.66;18.24;1.520318;9.775825;2.111686;
0.3449098;-0.742354;0.20059288;13.62;-54.78;17.64;0.7134721;9.9673605;-0.2633622;
-0.44921502;-0.8333729;-0.039477166;14.759999;-54.48;18.18;1.4413095;10.379164;-0.878672;
-1.4498123;0.043218717;-0.07979427;15.059999;-55.68;16.56;0.92416185;10.12059;2.4732103;
