gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.26251933;-0.36964983;0.22014056;0.35999998;-43.14;-7.14;-0.37349546;8.497321;4.5872903;
0.025809057;0.035353824;-0.06574437;-0.53999996;-43.26;-7.3799996;0.093373865;8.425495;5.674557;
-0.182496;0.02313652;-0.033368513;0.96;-43.62;-8.639999;-0.12928689;8.430284;4.2281604;
-0.050549097;-0.0397826;-0.047418416;0.06;-41.94;-8.76;-0.39025488;8.5499935;5.574001;
0.16508633;-0.27740917;-0.10239629;-0.29999998;-42.6;-8.46;0.5267244;9.282619;4.9610853;
0.014813482;-0.28290698;-0.18058704;0.9;-43.559998;-8.099999;-0.29448682;10.173263;4.146757;
1.0630583;0.09582949;-0.10972667;1.26;-43.14;-7.62;-0.038307227;10.3097315;4.687847;
0.58108556;-0.10086913;0.08575021;1.92;-44.52;-4.56;-0.8403648;11.45416;-1.4915876;
-0.42378777;-0.13568844;0.07414377;1.4399999;-44.219997;-3.1799998;-1.721431;10.74787;4.402937;
0.95188075;-0.85406595;0.594601;0.9;-43.379997;-3.72;-0.59136784;10.079888;4.6710877;
0.356898;0.23999368;-0.041309763;-1.0799999;-43.68;-1.26;0.61291564;9.524434;0.20350714;
0.08628472;-0.47288606;0.30688342;-0.35999998;-43.32;0.29999998;0.023942016;9.639356;3.383007;
-0.31322116;-0.33055446;-0.16959146;-0.48;-43.2;-0.06;1.5394717;9.347262;2.906561;
-0.60154957;0.05551238;-0.47441322;-1.62;-42.66;0.84;1.352724;9.02644;3.9217024;
0.1375974;-1.4679855;-0.39866593;2.1599998;-41.52;-1.3199999;-0.1436521;7.5659766;6.766313;
-0.007788532;-0.85528773;0.2140319;2.46;-40.44;-2.46;0.28491;7.609072;4.3885717;
-0.13362677;-1.456379;0.07841983;2.28;-39.48;-1.9799999;1.4939818;6.428731;5.3513403;
-0.6937902;-1.1368966;-0.0022143866;1.5;-38.46;-3.06;1.7621324;5.952285;3.6631286;
-1.21608;-1.4368314;0.1755474;2.34;-38.1;-5.3399997;2.3678656;6.4119716;5.4973865;
-1.3034338;-1.1827115;-0.28076893;1.62;-38.64;-9.36;3.098097;5.550059;7.451055;
-1.007775;-1.0703123;-0.16409367;1.74;-37.02;-12.0;1.7980455;6.3090205;6.419154;
-1.0596985;-0.92798066;0.14256068;1.9799999;-35.82;-14.88;1.2856863;5.990592;8.487744;
-0.38041633;-0.7563275;0.3936263;1.26;-35.28;-16.68;3.0765493;6.5436525;6.833351;
-0.4298964;0.33589953;-0.55199313;-0.12;-34.8;-18.6;3.6272156;6.6489973;9.541193;
0.2658791;0.13553573;-0.16592628;0.78;-33.899998;-19.38;0.8643068;6.670545;7.829339;
-0.23625213;0.039629884;0.11873693;1.74;-33.96;-18.48;2.2744915;7.867646;6.5436525;
0.32513303;-0.05505423;0.06620252;1.62;-34.2;-18.66;2.183512;7.922713;8.662521;
0.3013093;0.3627776;-0.076739945;0.96;-35.219997;-18.06;1.8195933;7.276278;7.9179244;
0.7154759;0.1642464;0.06742425;0.71999997;-35.46;-17.58;2.0733786;7.1278377;6.01214;
0.5340489;0.28764117;-0.15859589;2.1;-35.7;-16.199999;0.16280572;6.4742208;8.020875;
1.0966558;-0.25175285;0.096134916;2.22;-35.7;-14.7;3.0597897;5.2292356;6.134244;
1.2328788;0.48128545;0.53840137;2.28;-36.719997;-11.88;-0.17717093;5.478233;8.767866;
1.3483323;0.4104251;0.4339434;0.9;-38.1;-8.82;2.873042;6.572383;3.25372;
0.35140023;0.8624654;0.0045051314;-0.12;-38.399998;-6.0;4.4460325;7.070377;7.3840175;
0.7435757;1.1501828;-0.08162687;-0.71999997;-38.28;-4.3199997;3.3925838;7.1158667;5.954679;
0.47601673;0.6168975;-0.037644573;0.48;-40.02;-2.7;0.4357447;7.9538374;1.9919758;
0.21456642;0.6639342;0.4113414;-0.12;-40.5;-0.48;3.1364043;8.851663;4.3239284;
0.081397794;0.42203152;0.30871603;-0.9;-41.1;0.71999997;0.7158663;9.31135;0.50757074;
-0.72066826;0.87285006;-0.041309763;-2.76;-41.579998;-0.17999999;1.8914193;9.9434185;4.261679;
-0.4005749;0.4049273;-3.8179077E-4;-2.7;-42.239998;-1.02;1.2066777;9.857227;4.1802764;
-0.087201014;0.49900055;-0.09445504;-3.48;-43.739998;-3.6;0.06943185;9.419088;3.3782187;
-0.150731;-0.3036764;0.36491564;-4.74;-43.379997;-4.38;3.58412;10.427048;4.249708;
-0.43172902;0.5564219;-0.61796653;-4.14;-43.14;-5.8799996;0.60573304;10.065523;4.3478703;
0.14614952;0.53626335;-0.4169919;-2.8799999;-43.62;-6.6;-0.05746084;9.282619;5.8780646;
0.26099217;-0.43256894;0.5787185;-2.76;-42.96;-6.2999997;-0.8331822;9.469367;2.554613;
0.19929479;0.23388503;-0.0388663;-2.82;-43.14;-5.7599998;3.5170822;9.778219;3.2489316;
-0.5514586;0.16668986;0.060704734;-2.28;-42.66;-5.64;1.6448165;9.749489;0.32321724;
-0.15989397;0.16852245;-0.38461602;-1.62;-43.2;-7.2;3.7493198;9.888352;6.28029;
0.23167065;0.0048105638;-0.18058704;-1.74;-42.84;-7.3199997;-1.1875241;8.430284;3.4739866;
0.4729624;0.00786489;-0.04558582;-1.4399999;-42.66;-6.3599997;1.1755531;8.78702;2.7988217;
-0.34315357;-0.015958855;-0.09750936;-0.9;-42.059998;-6.42;-0.6631939;8.119038;4.0054994;
