gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.08926269;-0.18822286;0.20807597;5.64;-27.42;-27.539999;-1.079785;9.0432;3.7780502;
0.0067958757;0.21922426;-0.025885414;5.04;-27.539999;-28.74;-0.6895301;9.845257;3.572149;
-0.17585284;0.4629595;-0.03504839;6.12;-26.88;-27.84;-1.8483237;9.749489;3.0789435;
-0.51854825;0.8471937;-0.32582024;6.8399997;-26.939999;-29.519999;-4.673482;11.502045;2.8275523;
0.65614563;0.6492734;-0.83955795;8.82;-26.4;-29.039999;-7.865252;11.609783;3.205836;
0.8888853;0.7244098;-0.6355289;10.44;-27.599998;-28.56;-9.543588;11.492468;0.10055647;
-0.40920335;1.4409548;-0.65752006;12.599999;-27.48;-26.88;-8.056788;10.206781;0.89782566;
0.9377545;-0.08437576;-0.5182428;16.38;-26.939999;-26.82;-7.7072344;6.383241;-0.4165911;
3.451465;-2.0983984;1.1530845;16.5;-27.84;-24.48;-1.6208745;4.76925;-0.61530983;
3.020194;-1.9346865;3.3308191;11.88;-32.82;-17.039999;5.0257287;0.29209262;-4.7884035;
-1.07749;-1.1289554;5.177465;3.12;-35.7;-13.5;22.889166;7.8700404;1.7669208;
-1.4660002;-1.2944998;1.4994451;-8.76;-35.04;-14.4;13.55627;11.786954;5.7032876;
0.78442734;0.71280336;0.1530981;-12.42;-33.059998;-16.44;8.3824;9.531616;6.7806783;
0.69585186;0.007254025;0.29665142;-12.719999;-33.84;-14.5199995;6.9554553;7.3026147;-4.2425256;
-0.13187054;0.5796348;-0.39851323;-13.32;-34.2;-14.639999;5.4111953;7.2930374;0.4381389;
1.2132547;0.46357036;-0.44127378;-12.179999;-34.02;-15.059999;7.927501;8.315362;1.0462662;
-0.45013133;0.8001571;-1.8890244;-9.54;-34.8;-13.38;9.59626;9.565135;0.4141969;
-1.6822466;0.4330271;-2.148642;-5.1;-36.18;-14.5199995;7.142203;8.169315;1.0582372;
-1.3432163;0.72746414;-1.8083901;-0.42;-34.38;-19.02;7.0392523;9.2347355;3.8857894;
-0.9919688;0.54786974;-1.2317334;3.9599998;-33.719997;-21.42;0.90500826;7.202058;8.48535;
0.67324984;0.6462191;-1.0222067;7.3199997;-31.98;-23.22;-0.6368576;10.271424;0.37588966;
0.2260965;-0.15829046;-0.9067531;9.719999;-32.579998;-21.66;-7.791032;8.921095;-1.4891934;
-0.29497156;-2.009823;-0.16088663;11.04;-31.92;-20.52;-7.5635824;11.360786;-6.5173163;
-2.396348;-0.82046837;-1.0979539;10.62;-31.56;-22.859999;-9.852439;6.560412;1.8100165;
1.0654254;-1.4545465;-0.34536794;10.74;-27.96;-27.599998;-5.918766;7.913136;0.581791;
-0.62422794;-0.27313313;-0.39973494;9.12;-28.019999;-26.76;-5.1047373;7.9298954;0.30645782;
0.1680643;-0.5913939;0.18608482;9.42;-28.8;-27.72;-2.243367;9.68724;6.1031194;
0.015347989;0.10132727;-0.3844633;8.099999;-28.32;-27.84;-1.1803415;11.011233;3.3518825;
-0.14897476;0.12454015;-0.22563834;9.54;-28.14;-27.359999;-2.6551697;8.636185;4.177882;
0.3195589;0.013362677;-0.14072809;9.179999;-28.439999;-27.48;-1.2401965;9.282619;2.066196;
-0.19356793;0.21128301;-0.020998493;11.16;-28.08;-26.46;-2.3535004;8.741529;2.7150247;
0.27924177;-0.09476047;0.030925052;10.679999;-28.14;-27.599998;-1.5346833;9.342474;3.095703;
-0.013362677;0.08788824;-0.039935317;10.38;-27.9;-27.119999;-2.1260512;9.32332;2.542642;
0.24136813;-0.060552016;-0.15294538;10.62;-27.779999;-26.34;-1.3311762;9.474155;3.6583402;
0.39958224;-0.29023734;-0.34292448;11.16;-28.439999;-26.279999;-2.6671407;8.909123;1.8219875;
-0.27542385;0.16913332;0.11766792;11.219999;-29.34;-26.279999;-2.0638018;9.10066;2.2290018;
0.023900103;-0.13507758;-0.1895973;11.5199995;-28.019999;-27.599998;-1.8483237;9.131784;3.0095115;
0.06604981;0.024358252;0.24228443;11.58;-28.32;-25.98;-2.243367;9.016863;2.542642;
-0.089109965;-0.0129045285;-0.21464278;11.099999;-29.16;-26.88;-1.4987702;9.711182;2.6192567;
0.1417971;0.005421429;-0.059483003;12.48;-27.779999;-26.22;-1.7836803;9.493309;2.7820623;
-0.02313652;-0.019013181;-0.14317155;11.5199995;-28.32;-26.34;-2.5306711;9.20361;2.3343468;
-0.07933612;0.011530082;0.038255434;11.4;-28.08;-26.22;-2.1883004;9.172486;3.181894;
0.15157095;-0.048334714;0.09323331;11.639999;-28.14;-26.34;-2.2146366;9.040805;2.6719291;
0.03795;0.06467536;0.057803124;10.86;-28.92;-25.199999;-2.1523874;9.1629095;2.372654;
-0.017638734;0.06467536;0.16287194;10.8;-28.5;-26.279999;-2.3774424;9.20361;2.5594015;
0.015347989;0.06956228;0.0046578473;11.4;-29.34;-25.859999;-1.8866309;9.308955;2.4133554;
-0.07506007;0.113544576;0.09323331;11.16;-28.439999;-26.16;-2.767697;8.947431;2.7269957;
0.06910413;0.04268421;0.17203492;10.559999;-28.56;-25.92;-1.328782;9.885958;3.157952;
0.0019089539;0.32856914;0.15920675;11.16;-29.16;-26.34;-2.171541;8.957007;2.992752;
0.1643991;0.0463494;0.028481591;10.62;-29.4;-25.5;-1.7908629;9.217976;1.8962077;
