gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.36636642;-0.12606731;0.06803512;12.599999;-24.42;-35.28;-3.1794999;8.401553;4.000711;
0.010537425;0.08712465;0.028328875;14.219999;-23.46;-36.0;-2.6408045;8.674492;5.317821;
-0.110413894;0.09628764;0.0613156;14.4;-23.34;-36.84;-2.9400797;8.29142;3.7301662;
-0.2228131;0.3449098;0.19448422;15.0;-22.38;-36.719997;-3.110068;8.772655;3.928885;
-0.17821993;0.7028768;0.21097758;15.179999;-22.859999;-36.48;-2.645593;9.885958;3.0071173;
-0.095753126;0.8299368;0.4742605;16.5;-22.5;-37.2;-4.110844;10.295366;2.5905263;
0.11804971;1.1347586;0.8957575;16.74;-22.5;-34.98;-4.4819455;10.429441;2.4013844;
-0.06704246;1.4322499;1.1889728;17.1;-24.119999;-33.96;-4.0294414;9.881169;0.8714894;
-0.2228131;1.5336535;1.3160328;19.02;-24.359999;-33.059998;-1.0031705;10.656891;1.1468226;
-0.56062156;1.0333549;0.8169559;18.96;-24.779999;-33.059998;-2.195483;10.862792;1.6927006;
-0.08597928;0.82077384;0.87071204;18.9;-25.019999;-32.7;-3.857059;10.371981;4.4723687;
-0.30283645;0.3497967;0.89331406;18.779999;-25.92;-32.28;-0.08619126;8.875605;1.8315643;
-0.39080104;0.3271947;0.22075143;19.56;-25.98;-32.16;-1.8770541;9.0839;5.990592;
0.10277808;-0.009392053;-0.2868776;19.98;-27.119999;-32.16;2.825158;7.5420346;3.7062242;
0.011148291;-0.2195297;-1.096274;20.82;-26.039999;-32.34;-4.259285;7.154174;8.150162;
0.43875396;-0.63003117;-0.6081927;21.48;-24.6;-32.1;0.533907;5.976227;4.237737;
-0.21303925;-1.9354502;-0.6301839;21.6;-25.56;-32.34;-0.78290397;4.489128;8.504503;
-0.5954409;-1.1743121;-0.9203448;19.92;-24.84;-34.8;-0.6536171;3.4380736;8.104672;
-0.91553426;-1.8334357;-0.6356816;18.24;-21.779999;-36.48;-2.8419175;3.466804;12.579435;
-0.46593747;-0.80229515;-1.0272462;16.98;-20.279999;-38.28;-1.8555063;5.1454387;10.726323;
-0.10797043;0.41760275;-1.2599859;16.14;-18.119999;-40.559998;-5.171775;6.6035075;11.640908;
0.81138176;0.46769372;0.23357959;18.539999;-18.18;-41.16;-4.5058875;5.4758387;9.239524;
0.5731443;0.91118187;1.0142654;18.3;-19.859999;-39.3;-2.552219;4.249708;7.3504987;
0.7099781;0.7040986;1.3844497;18.539999;-20.46;-38.04;-0.46686932;4.381389;11.430218;
0.6739371;1.0248028;0.8829293;18.24;-23.4;-36.12;0.21068975;4.2066126;9.105449;
0.25366178;1.2923617;0.10835222;18.06;-25.5;-33.899998;-1.5658079;5.018546;7.4702086;
0.03436117;0.59047765;0.74426293;19.859999;-26.4;-32.82;-3.7110126;6.53647;6.0815716;
0.08750644;-0.38751763;0.87254465;19.98;-28.26;-32.399998;-1.4413095;7.0895305;3.3925838;
-0.12018774;-0.20425807;0.6294203;19.26;-28.38;-31.439999;-0.80445176;9.062353;4.5777135;
0.18463401;-0.6685157;0.21647537;17.76;-28.56;-32.52;-1.6089035;9.435848;2.6360161;
-0.022449298;-0.40462187;-0.31253394;16.859999;-28.14;-32.7;-1.067814;9.866804;2.755726;
0.3294091;-0.57566416;-0.67477703;15.96;-28.32;-33.6;-1.2018893;10.151714;3.3542767;
0.2060143;-1.0784062;-0.6472881;14.28;-27.24;-32.579998;-2.5833437;10.383952;2.5905263;
0.4540256;-0.85544044;-0.811;14.34;-27.24;-32.579998;-3.821146;10.64492;2.7700913;
0.34590244;-1.3368022;-0.07368562;13.799999;-26.82;-33.54;-2.9712043;10.467749;0.80924016;
0.2677117;-1.3526847;-0.088346384;12.78;-28.019999;-33.12;-1.6879122;10.956166;1.8602947;
0.23350324;-0.8786533;-0.3271947;10.32;-28.38;-33.42;0.33039984;11.262624;0.6464345;
0.50594914;-0.76197803;-0.31253394;9.0;-28.8;-33.66;-0.6775591;10.606613;0.92895025;
0.44791695;-0.23052527;-0.19219348;8.04;-30.42;-32.52;-0.7278373;9.797373;0.7350199;
0.27687466;-0.51763195;0.37957639;7.74;-31.32;-32.94;-1.460463;9.246706;1.9728222;
0.032528576;-0.11262828;0.061926465;6.24;-30.9;-32.28;0.4189853;9.548376;1.6112977;
-0.015118915;0.11950051;-0.10667235;6.0;-30.66;-31.98;-1.292869;8.856451;2.4540567;
-0.20204368;0.14149167;-0.111559264;6.24;-31.14;-32.04;-0.36870706;9.016863;1.6376339;
-0.2612976;-0.030772336;0.036270123;6.12;-30.0;-32.28;-1.7836803;9.438242;4.0414124;
-0.27840182;0.16775887;0.06925685;6.8999996;-30.0;-32.34;-0.8690952;9.387964;3.4644098;
-0.25213462;0.18791743;-0.022372939;6.66;-29.4;-32.52;-0.79966336;9.275436;3.7780502;
-0.1067487;0.1512655;0.122402124;7.8599997;-28.74;-33.239998;-0.9840169;9.14615;4.2281604;
-0.11224649;0.18852828;-0.09017898;7.68;-29.039999;-33.12;-0.581791;9.165303;3.9791632;
-0.07070765;0.15615243;-0.051083606;7.44;-27.84;-33.78;-1.2665327;8.624214;3.9456444;
-0.16050485;0.10300715;-0.016264288;7.08;-28.619999;-33.18;-1.1324574;8.784625;4.0821137;
