gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.031230485;0.09949467;0.069409564;6.0;-44.76;-14.639999;-1.5011644;8.657733;5.2651486;
-0.077503525;0.6883688;0.089568116;5.8199997;-44.94;-14.759999;-2.5713725;8.93546;4.5920787;
0.08865182;0.84047425;0.16592628;6.72;-44.82;-14.34;-3.6487634;9.112631;5.1095257;
0.5107597;1.1678979;-0.16088663;5.52;-44.94;-13.679999;-3.2944214;10.618584;5.492598;
1.0006737;1.3193926;-0.76686496;7.5;-44.94;-11.16;-5.406407;10.908282;3.4644098;
0.4160756;1.4146875;-0.43516514;9.48;-44.64;-8.7;-7.7215996;11.530775;2.707842;
1.3665819;0.48983756;-0.35575265;9.599999;-44.64;-6.18;-7.1517797;11.442189;1.2808979;
0.6683629;0.6456082;-0.66179615;11.46;-44.04;-2.6399999;-5.4495025;9.213187;-1.1492168;
2.031814;-0.813138;-1.0020481;12.36;-42.84;0.71999997;-5.150227;5.303456;-0.2705448;
2.9401708;-2.1991913;0.715705;14.7;-41.34;5.4;0.6536171;3.4620156;-2.6001031;
2.4533112;-2.5009587;4.065079;13.74;-40.02;8.7;3.2728736;-2.408567;-6.01214;
-0.4385249;-1.5272394;4.7877326;4.38;-40.98;13.74;31.489439;12.991238;-5.3657055;
-3.9027417;-3.1441998;0.34002286;-0.78;-42.66;11.16;8.119038;15.878944;7.156568;
0.46555567;1.5099826;-1.2702179;-1.4399999;-45.66;2.6399999;6.778284;7.8820114;11.509227;
3.0818915;1.5533539;-1.7998381;0.65999997;-45.18;2.46;5.504569;6.1031194;-3.4332852;
-1.0194577;1.7415005;-1.6575065;4.3199997;-43.14;9.12;6.330569;9.86441;-4.793192;
-0.8649088;1.5619061;-1.328861;6.72;-43.079998;8.28;5.2747254;9.893141;0.02633622;
-0.8300895;0.9174432;-1.0051024;9.78;-42.84;7.14;4.0797195;9.696816;-1.769315;
-1.6547576;1.2552518;-0.32215506;10.32;-42.48;6.8999996;4.7046065;10.201993;0.050278235;
-0.86979574;0.8105418;-0.4919756;11.4;-42.96;3.3;-2.3535004;6.53647;3.2968156;
0.06604981;0.89423037;-0.06742425;12.12;-43.739998;1.38;-2.1978772;8.992921;0.23223756;
-1.4446199;-0.76976657;-0.11323915;11.04;-43.739998;1.56;-5.4135895;9.131784;1.3551182;
-0.44585526;-0.35865426;0.066355236;12.059999;-44.82;-2.28;-6.998551;10.563518;5.602731;
-0.18807013;-1.4093425;-0.15661058;11.94;-44.1;-4.02;-8.401553;11.4637375;-0.36631286;
-0.15447254;-1.3531429;-0.24701864;11.94;-43.739998;-5.58;-7.1398087;9.692028;4.050989;
1.4948636;-1.4661529;-0.53351444;11.58;-43.739998;-7.08;-6.49098;9.14615;-3.5075054;
-0.5955173;-0.9878455;-0.36980253;14.5199995;-43.5;-5.3399997;-3.2585084;8.447042;3.0119057;
0.18150334;-0.6457609;-0.3826307;15.059999;-42.719997;-7.08;-2.1092918;8.193257;6.500557;
0.23159428;0.18990274;0.037644573;15.54;-42.3;-7.2599998;-2.9352913;7.654562;3.122039;
0.09353874;0.23388503;0.09445504;15.179999;-42.48;-5.94;-2.873042;7.958626;1.4149733;
-0.46723557;0.38965568;0.4078289;14.88;-42.12;-5.7599998;-2.5354595;9.134179;2.1021092;
0.04955644;0.010308351;0.23861924;13.679999;-42.96;-6.18;-1.745373;9.86441;2.777274;
-0.28153253;0.3658319;0.18058704;12.54;-43.14;-6.42;-0.9983821;10.381557;2.621651;
0.04955644;0.16546813;0.037644573;12.719999;-42.899998;-6.48;-1.1587936;9.299378;3.2872388;
0.16073392;0.10865766;0.24167356;12.179999;-43.2;-7.9199996;-1.1061212;9.608231;2.183512;
-0.16241379;0.16852245;-0.0045051314;11.94;-44.579998;-6.48;-1.1348516;9.502886;1.9177556;
-0.3646102;0.05551238;0.014431692;12.3;-43.26;-6.66;-1.3623008;9.143756;1.946486;
-0.437914;-0.0819323;-0.35880697;12.24;-43.98;-8.46;-0.79966336;9.8715925;3.3063924;
-0.09216429;-0.121638544;-0.088804536;12.719999;-43.14;-8.46;-1.436521;9.1389675;3.8594532;
0.20044015;-0.51747924;-0.0894154;13.32;-43.62;-8.76;-0.91219085;9.407118;3.2992098;
-0.134314;-0.019624045;-0.12118039;13.08;-43.92;-9.36;-1.661576;9.165303;3.1244333;
0.1680643;-0.2596941;-0.096134916;13.38;-43.98;-9.059999;-1.6879122;8.897153;3.4284968;
0.18822286;-0.12530373;-0.032604933;13.98;-43.92;-9.12;-1.3862427;9.10066;3.289633;
0.041615196;-0.075212784;-0.07108945;14.34;-43.92;-9.36;-1.7166426;8.674492;2.72939;
0.025732698;-0.16317739;0.17814358;13.74;-43.5;-8.04;-1.3239936;9.040805;2.9017725;
-0.06650795;0.090331696;-0.009392053;13.679999;-43.379997;-8.7;-1.2186487;9.5292225;3.2345665;
-0.014584408;0.20639609;0.18975002;13.74;-43.2;-9.36;-1.8794483;9.079112;3.1292217;
0.10758864;-6.872234E-4;0.092622444;13.259999;-44.04;-8.94;-1.2330139;9.620202;3.169923;
-0.16974418;0.21739167;-0.03504839;13.08;-43.2;-8.4;-1.9297266;9.179668;2.8083985;
-0.074449204;0.097662084;0.18852828;12.78;-43.86;-9.24;-1.9919758;8.866028;3.1507695;
