gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.010919216;0.14645495;0.50717086;-15.299999;-42.899998;-18.0;-1.8531121;9.117419;4.747702;
-0.19723311;0.43844852;0.43386704;-15.36;-42.239998;-18.18;-1.1779473;9.20361;3.6822822;
-0.083001316;0.65225136;0.20662516;-16.68;-42.12;-19.14;-1.4580688;9.668086;3.892972;
-0.02069306;0.9967794;0.24205536;-16.44;-41.879997;-20.64;-3.1268275;9.469367;3.6631286;
0.36170858;0.74021596;0.7820602;-15.9;-41.52;-21.42;-2.4420857;8.990526;2.6791117;
0.46799913;0.9326385;0.44058657;-16.859999;-41.04;-20.64;-0.5674258;10.051158;1.4293385;
0.110032104;1.3859005;0.071013086;-17.46;-42.12;-20.279999;-3.6511576;10.283396;3.4141316;
0.53458345;0.6082691;0.45769078;-15.9;-41.46;-21.48;-1.2401965;11.899482;2.1883004;
0.60788727;0.2405282;0.27382034;-16.14;-41.399998;-20.52;-1.8339585;10.951378;5.0951605;
1.2853369;-0.09605856;0.742354;-16.92;-42.36;-19.619999;-0.7254431;9.189245;-0.10295067;
-0.54786974;0.1330159;0.15103643;-19.14;-41.34;-16.98;-0.06943185;9.287408;2.8682537;
0.844903;-0.8932377;0.7716755;-18.66;-41.7;-17.4;-1.9081788;6.809409;3.8546648;
-0.3468951;-0.65133506;0.8865182;-20.64;-41.94;-16.38;-1.376666;5.1669865;-3.0909145;
-1.7439439;-0.5535966;0.8889617;-24.119999;-40.86;-17.22;0.80445176;7.975385;6.6370263;
-0.44157922;-0.40454552;0.6488916;-25.32;-38.64;-19.199999;3.3039982;8.688857;2.3175871;
-1.7805958;-0.624457;0.023365596;-27.66;-36.48;-20.88;2.2170308;8.873211;6.8860235;
-1.2063825;-0.728915;-0.05177083;-28.38;-36.0;-22.74;2.956839;7.5899186;5.3250036;
-2.2906682;-0.35201108;-0.8886562;-28.38;-33.84;-25.26;1.2617443;5.4016185;7.3720465;
-1.2986232;-1.4259121;0.41554108;-27.599998;-32.64;-28.14;-0.25378537;4.8027687;7.9298954;
-1.6205491;-0.6965391;0.1479821;-29.82;-31.14;-29.46;2.6048915;6.7495537;9.771036;
-0.011530082;-0.61162883;0.13148874;-30.06;-28.74;-31.199999;1.3790601;5.906795;10.946589;
-0.5771913;0.12873985;-0.10797043;-31.859999;-28.14;-30.359999;3.5793316;6.680122;6.218041;
0.19921842;0.45616361;-0.57833666;-32.16;-26.76;-30.96;2.6527755;6.124667;9.866804;
0.1118647;0.45860708;-0.4372268;-31.019999;-28.5;-31.26;-0.021547815;6.136638;6.004957;
0.060552016;0.03894266;0.14309518;-29.76;-28.92;-31.679998;0.89782566;6.8596873;8.640973;
0.29390255;-0.016035212;0.06490443;-29.88;-28.439999;-31.199999;2.4875755;7.7431474;6.428731;
