gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.12041681;-0.063606344;0.13355042;13.92;-37.079998;-24.539999;-1.7046716;9.038411;3.4620156;
-0.14714217;0.1642464;0.013209961;13.38;-37.8;-24.66;-1.6400281;9.440637;2.7365725;
-0.45013133;0.44646615;-0.028328875;12.96;-37.14;-24.84;-2.7605145;9.364022;2.9376855;
-0.7005861;0.9058368;-0.3563635;15.24;-36.84;-26.58;-4.1635165;10.106225;3.5290532;
0.45761442;0.40737075;-0.630642;15.24;-36.96;-26.82;-6.3138094;9.754277;3.4691982;
-0.030466905;-0.15096007;-0.9000336;17.34;-36.239998;-25.08;-6.6896987;11.992856;0.37828386;
-1.25403;-0.6427066;-2.0099757;19.439999;-34.44;-25.38;-7.987356;7.9921446;4.292804;
-0.021914791;-0.09720393;0.10239629;22.68;-31.74;-27.84;-8.77026;7.680898;5.5356936;
1.1485031;-0.43928847;0.13232869;21.84;-32.399998;-28.859999;-2.7389667;10.228329;3.0933087;
0.51931185;-0.3928627;-0.02649628;20.58;-32.76;-26.46;-2.834735;9.160515;2.5570073;
3.7709475;-2.2340105;0.27527115;19.98;-34.2;-25.439999;0.5674258;3.7660792;2.9352913;
4.982293;-1.8265635;4.368068;17.58;-37.86;-20.4;7.082348;0.12928689;-7.264307;
-0.5405394;-1.099023;4.218406;7.9199996;-43.14;-12.54;24.536676;14.142849;-2.753332;
-2.9840004;-1.6042085;-0.17004961;-1.0799999;-44.7;-14.7;4.158728;9.466972;2.3678656;
-1.4562263;1.6944638;-0.4198935;-1.92;-43.5;-19.619999;6.0815716;6.158186;7.999327;
3.0690634;0.9693668;-0.87804246;-0.35999998;-42.78;-21.0;6.119879;5.791873;0.5674258;
0.74777544;1.7134006;-1.0325913;2.9399998;-43.8;-14.759999;6.818986;10.0751;-3.406949;
-1.0322859;1.7732655;-1.2085205;5.64;-44.82;-11.88;7.2355766;10.666468;-1.460463;
0.07765625;1.7622699;-0.8279515;8.94;-43.739998;-12.36;5.2148705;9.900323;3.0885203;
0.29084823;2.4775932;-0.8975901;11.82;-43.8;-11.219999;3.478775;9.610625;-1.376666;
-2.541734;2.550897;-0.58910316;13.08;-42.42;-9.66;2.7988217;10.259454;3.9456444;
0.23159428;1.1477394;-0.38079813;15.299999;-41.28;-11.82;-2.6719291;10.654497;-1.2976574;
-0.36094502;0.62544966;-0.80596036;16.859999;-39.899998;-10.92;-4.8698063;12.184392;-1.448492;
0.17050776;-1.5516741;-1.0441978;18.66;-39.6;-10.679999;-6.6968813;11.389517;-5.006575;
-1.8954386;-1.2199743;-1.4540883;19.8;-37.559998;-13.559999;-8.111855;6.845322;-3.0454245;
-0.5857434;-1.5186874;-1.0570259;22.56;-34.62;-15.839999;-8.214806;4.596867;2.7724855;
0.541303;-0.7514406;0.4377613;23.64;-33.719997;-20.76;-5.432743;7.570765;0.49799395;
0.04222606;-0.96035653;0.19097175;22.8;-33.6;-21.18;-2.7389667;11.118972;3.490746;
0.008017606;0.102549;0.0107665;20.939999;-34.86;-22.199999;-2.6982653;10.565911;4.7500963;
0.51137054;0.028023442;-0.029550606;20.82;-34.92;-21.3;-2.7868507;9.330503;1.9153614;
0.050778173;0.17218764;-0.022220224;21.6;-35.399998;-20.279999;-2.60968;8.899547;1.5753847;
0.026343564;-0.031841353;-0.0045051314;21.72;-34.98;-19.56;-2.6671407;8.882788;1.8555063;
0.22365303;-0.05138904;-0.020387627;21.9;-34.739998;-19.68;-2.7700913;8.930672;2.932897;
-0.010919216;0.14469871;0.07735081;21.42;-34.98;-19.02;-1.970428;9.292196;2.231396;
-0.05795584;0.14958562;0.005879578;21.84;-34.5;-18.9;-2.5833437;8.8444805;1.7741034;
-0.083001316;0.09155343;0.30520356;22.26;-35.04;-19.8;-1.8962077;9.608231;1.9895816;
0.110032104;-0.11797335;0.09934196;20.76;-35.34;-19.74;-1.7836803;9.998486;1.8722657;
-0.031688634;0.034742963;0.0687987;21.18;-35.94;-19.38;-2.2026656;9.366416;1.7405846;
-0.1043816;-0.0129045285;0.20746511;21.0;-35.34;-19.68;-1.9512744;9.098266;2.540248;
0.15645786;-0.06727154;0.19219348;20.16;-35.64;-19.5;-2.5258827;9.380781;2.4229321;
-0.12148582;0.15386169;0.1249983;20.039999;-36.18;-19.02;-1.5729905;9.727941;2.4851813;
0.26702446;-0.019013181;-0.2213623;20.58;-36.18;-19.68;-1.1899183;9.426271;2.8993783;
-0.1465313;0.05551238;-0.10957395;21.0;-36.059998;-19.5;-3.1771057;9.081507;1.1324574;
-0.3468951;0.20883955;0.24594963;21.72;-35.46;-18.84;-2.1859062;9.002498;2.0853498;
0.098425664;0.07811439;0.10667235;20.88;-35.94;-19.08;-2.1404164;9.215582;2.1667526;
-0.156916;0.14530957;0.1866957;21.06;-36.12;-19.38;-1.6089035;9.524434;1.9632454;
-0.014584408;0.00908662;0.123165704;19.439999;-35.94;-19.38;-2.0757728;9.277831;2.2409728;
-0.04757113;0.037797287;0.16103935;20.58;-36.12;-19.619999;-1.7621324;9.768642;2.2649148;
-0.05429065;-0.02695443;-0.058872137;19.74;-36.719997;-19.439999;-2.3391352;9.359234;2.372654;
-0.051236324;0.08483391;0.14943291;19.439999;-36.12;-19.02;-2.695871;9.031228;2.5594015;
