gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.07124216;0.058490347;0.019165898;-7.68;-53.34;16.98;1.3694834;9.548376;1.6998832;
-0.038713586;-0.12232576;0.043600507;-6.42;-53.579998;15.9;1.6112977;9.656115;1.7190368;
0.034590244;-0.038026363;0.10224357;-6.18;-53.34;14.759999;1.0031705;9.543588;1.958457;
-0.013057245;-0.0759;-0.0016035213;-5.7599998;-54.719997;15.599999;1.4915876;9.952995;1.4437037;
-0.09735665;-0.06612616;-0.03153592;-6.24;-53.52;16.5;0.6871359;9.644144;1.412579;
-0.2018146;0.05971208;-0.016875152;-5.7;-53.34;16.08;1.5753847;10.077495;2.267309;
0.03520111;-0.08933904;-0.112780996;-5.94;-53.399998;15.179999;0.5554548;9.639356;2.135628;
0.1830305;-0.13515393;0.080252424;-5.2799997;-53.46;15.12;1.4413095;10.163686;2.432509;
0.27710375;-0.101556346;-0.08407033;-6.2999997;-54.18;15.36;0.7733272;10.015245;1.3623008;
0.021762075;-0.082619525;-0.04558582;-5.58;-53.1;16.5;0.7158663;10.175656;1.1827357;
-0.012446379;-0.04046982;-0.09323331;-5.16;-53.52;15.719999;0.7757214;9.682451;2.042254;
0.15920675;-0.03863723;0.15355626;-5.64;-53.34;16.44;0.8690952;9.5292225;3.083732;
0.5929211;-0.18035796;0.2018146;-6.24;-53.46;16.859999;1.508347;9.730335;1.8243817;
0.47502407;-0.3819435;0.10529789;-6.3599997;-52.44;18.0;2.3175871;10.281001;1.9728222;
0.47930014;-0.058184914;-0.18486309;-6.06;-52.079998;19.68;0.79008657;9.483732;0.31603462;
0.39500073;-0.5511532;0.2916118;-7.14;-51.96;19.439999;1.292869;9.481338;0.60573304;
0.18425223;-0.1253801;0.06925685;-7.56;-51.48;20.039999;1.9201498;9.747094;0.021547815;
0.3742313;-0.54321194;0.14622587;-7.68;-51.719997;21.48;0.7158663;9.076718;0.10055647;
0.19830213;-0.4363105;0.41256312;-8.58;-51.239998;22.68;2.7485435;9.514857;-0.055066638;
-0.1175152;-0.28909197;0.21342105;-8.58;-50.46;23.46;1.946486;8.971373;-0.6440403;
0.2954297;-0.75396043;0.31848988;-9.059999;-51.12;24.0;2.873042;9.428665;0.8523358;
-0.11873693;-0.302531;0.26412287;-8.7;-50.399998;24.18;2.719813;9.273043;-0.074220255;
0.34002286;-0.6275113;0.34109187;-9.24;-49.739998;25.199999;2.3511062;9.136573;-0.44532153;
0.38461602;-0.6177375;0.23296873;-8.94;-50.219997;25.859999;2.7269957;8.995315;-0.02633622;
0.9600511;-0.7191411;0.10407617;-8.16;-50.34;27.0;3.2513258;8.825327;-0.055066638;
0.2233476;-0.2554944;0.6257551;-8.4;-48.6;29.519999;3.5913026;9.296985;-2.4061728;
-0.14989106;-0.14614952;0.3551418;-8.099999;-47.94;30.0;3.7181952;9.471761;-0.92416185;
0.22029328;-0.40332377;0.30627257;-9.96;-47.7;30.24;3.3806129;8.846874;-1.5873557;
-0.15172365;-0.056352317;0.27023152;-8.58;-47.579998;30.359999;3.928885;8.449437;-2.0685902;
0.4536438;-0.6415612;0.5396231;-9.599999;-46.5;30.72;3.095703;6.9961567;-1.4293385;
0.9887618;-0.8205447;1.3844497;-10.0199995;-45.84;32.52;3.9217024;7.5300636;-1.2282255;
0.756633;-0.77534074;0.94096154;-11.82;-43.44;35.64;6.6035075;9.20361;-5.2364182;
-1.2445616;-0.17547104;0.3917937;-13.259999;-41.7;36.719997;6.368876;8.186075;-3.6535518;
-1.3783411;-0.21456642;0.24518603;-13.799999;-41.94;35.34;6.014534;8.406342;-0.842759;
-0.5481752;-0.05085453;0.047876563;-12.84;-43.86;32.34;5.9618616;8.854057;1.0630256;
0.11644619;-0.034972034;0.103465304;-13.0199995;-44.7;32.34;5.028123;8.420707;-1.5897499;
-0.1755474;-0.06429356;0.011835515;-12.12;-44.7;32.219997;5.5093575;8.959402;-2.099715;
-0.23785566;0.05665775;-0.14149167;-13.799999;-44.34;31.98;5.1406503;8.377611;-0.7182605;
0.14943291;0.0926988;-0.07124216;-13.679999;-43.92;32.7;4.9491143;7.9442606;-0.8571242;
0.2233476;0.1348485;-0.123165704;-13.74;-43.68;31.92;5.6170964;8.590695;-1.3479356;
0.15615243;0.45921794;-0.35834882;-14.219999;-43.86;31.56;5.1813517;8.413524;-1.0175357;
0.42371142;0.41462478;-0.36079228;-13.86;-44.1;31.14;4.8147397;8.061577;-2.1164744;
0.25083655;0.1421789;-0.09201158;-13.86;-44.04;32.34;4.024653;7.319374;-2.7126305;
-0.27023152;-0.16142114;0.16821702;-13.259999;-44.64;32.94;5.3680997;8.300997;-1.5346833;
-0.28061622;0.14401148;-0.19097175;-13.679999;-44.16;31.859999;6.04087;8.339304;-1.4772224;
-0.3355941;0.18310685;-0.20746511;-12.9;-45.719997;30.599998;5.39683;8.087913;-0.32561144;
-0.37163514;0.43233988;-0.7010442;-12.719999;-46.44;31.019999;5.815815;8.583512;-0.6464345;
-0.094913185;0.56673026;-0.5190064;-12.3;-45.719997;29.46;4.7524905;8.253113;-0.641646;
-0.2757293;0.68218374;-0.52328247;-12.0;-46.739998;29.64;4.8267107;8.959402;0.50757074;
-0.123623855;0.5355761;-0.24533875;-11.04;-48.12;28.859999;3.071761;8.5476;-0.90500826;
0.010155635;0.38835758;-0.039477166;-11.219999;-48.6;26.939999;4.0677485;9.4143;0.16519992;
-0.42783475;0.87949324;-0.11033753;-12.9;-48.0;26.939999;4.6232033;9.486126;-1.0390835;
-0.21219932;0.5325218;-0.30886874;-13.32;-48.0;25.56;2.8778305;9.395146;0.24181437;
-0.2580142;0.28695396;-0.3412446;-13.2;-47.52;25.019999;4.1611223;9.847651;-0.94331545;
-0.42600214;0.39080104;-0.34857497;-12.36;-48.899998;23.64;2.2649148;9.502886;0.46926352;
-0.5866597;0.268628;-0.26244298;-11.58;-49.86;23.1;3.5458126;10.175656;0.8475474;
-0.50052774;0.16783522;-0.48113275;-10.92;-50.1;20.46;1.5993267;9.428665;0.8834604;
0.21479549;-0.037415497;-0.18486309;-9.36;-51.239998;20.46;1.376666;9.510069;1.5610195;
-0.057650406;0.19349156;-0.28932106;-8.22;-50.82;20.58;2.1859062;9.988909;0.8451532;
-0.08086329;0.123242065;-0.15554157;-7.74;-52.02;19.32;1.8698715;9.7447;1.2497733;
0.15859589;-0.05085453;-0.24533875;-7.7999997;-52.14;19.5;2.0973208;9.771036;1.7142484;
0.027259862;0.05971208;-0.118889645;-7.44;-52.079998;19.56;2.1667526;9.902718;1.0390835;
-0.28244883;0.2845105;-0.17325665;-6.6;-52.199997;19.38;1.3479356;9.277831;1.4508862;
-0.012446379;0.033444874;0.006948592;-7.14;-52.14;18.66;1.9393034;9.543588;1.412579;
-0.05826127;0.18432859;-0.2007456;-6.8999996;-52.98;18.72;1.0654198;9.416695;1.4269443;
0.10361802;0.09819659;-0.04314236;-6.3599997;-52.92;19.8;1.7956513;10.407894;1.1492168;
