gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.022220224;-0.09117164;0.03504839;14.4;-54.539997;2.82;1.6567876;9.296985;3.2034419;
-0.05642868;-0.055741455;-0.030925052;15.179999;-54.899998;3.06;2.0518308;9.620202;2.669535;
-0.075976364;0.22036964;0.0075594573;15.42;-54.66;2.04;0.9576807;9.9673605;3.8594532;
0.13232869;0.3211624;0.08208502;15.12;-54.539997;2.76;0.5674258;12.344803;4.486734;
0.2868776;0.5795584;-0.5080108;15.48;-55.079998;2.58;-0.36631286;12.622531;3.6296098;
0.7040986;0.22586742;-0.4450917;16.38;-54.18;4.8599997;-1.9608512;10.824485;2.6024973;
0.21051943;0.29856038;-9.92656E-4;17.039999;-54.12;5.2799997;-1.9129672;10.024822;-0.6967127;
-0.4705953;0.100029185;0.26595545;18.9;-54.18;5.8799996;-1.0319009;9.545981;0.7541735;
-0.51641023;-0.656222;0.5023603;18.0;-55.559998;4.38;0.6703765;9.182063;1.6831238;
0.55260396;-1.7056885;-0.07857254;19.14;-56.46;1.56;2.2361844;8.6936455;0.09816227;
1.205008;-3.0141618;-0.15920675;18.779999;-55.14;1.1999999;3.3135753;6.0911484;-0.15322891;
-0.19814941;-1.0862712;1.7485254;17.22;-54.539997;4.38;4.829105;3.8905778;-2.1523874;
-1.6404023;-1.3733778;1.9659934;11.88;-53.46;4.92;12.569859;7.2451534;1.922544;
1.345507;-2.1369593;0.5090798;3.8999999;-51.239998;1.56;8.533235;4.958691;3.2824504;
1.3277919;-1.3074044;0.9134726;2.28;-51.899998;3.72;8.913912;8.50211;0.59615624;
-0.85605127;-0.4363105;-0.1530981;1.38;-51.6;6.2999997;7.9921446;9.2107935;-0.1412579;
-1.1767555;0.6614143;-0.101174556;1.8;-52.079998;5.22;6.4095774;8.516475;5.8373632;
1.3656656;-0.34345898;-0.3974442;3.3;-51.96;2.34;3.6296098;7.3696523;-1.1444284;
-0.4369977;0.6046039;-0.4463134;4.14;-52.739998;4.98;6.426337;9.131784;0.4429273;
0.31742084;0.36453384;-0.4285983;5.04;-53.219997;3.84;6.0791774;8.20044;0.94331545;
-0.10285444;0.8782715;-0.8458193;7.62;-52.98;4.5;5.44232;7.628226;0.5554548;
0.03214678;0.48059824;-0.7578547;8.7;-52.98;4.2599998;7.7694836;8.224382;1.1994951;
-0.46631926;-0.3483459;-0.60574925;9.719999;-53.28;5.64;4.474763;6.5173163;-1.5011644;
-2.2543218;0.1330159;1.301372;11.16;-53.16;4.62;4.285621;6.3521166;2.657564;
0.5929211;0.5710063;0.67890036;6.54;-52.86;-0.53999996;9.0432;8.305785;5.456685;
1.2355514;1.0425943;-0.69432473;6.42;-52.32;0.06;3.8594532;8.475773;-0.9959879;
0.2447279;1.2050844;-0.23800837;8.82;-53.64;2.7;2.3199813;9.208399;0.45729253;
-0.13706289;0.9246973;-0.37728566;9.599999;-54.3;2.6399999;1.9249382;9.244312;0.7062895;
0.14332426;0.021227567;-0.5379432;12.36;-55.14;2.34;1.5849615;8.243536;1.0582372;
-0.5048038;0.34193182;-0.035811976;13.86;-54.539997;1.74;2.6527755;8.9187;3.6104562;
-0.22563834;-0.22739458;0.10163271;13.559999;-54.3;1.02;2.2936451;8.959402;2.1667526;
-0.5225189;-0.082619525;0.5438991;12.66;-55.68;0.12;2.44448;9.974544;2.7150247;
0.021762075;-0.80771655;-0.33574682;11.16;-55.02;0.06;2.6240451;10.81012;2.480393;
-0.35880697;0.032223143;0.12179126;12.059999;-54.42;-0.42;1.5562311;10.367192;3.7588966;
0.09323331;-0.037415497;0.12912165;11.5199995;-55.14;-0.78;2.4660277;10.783784;2.4181437;
0.32841644;-0.23716843;-0.21601722;12.54;-55.199997;-1.86;2.1523874;9.950602;2.0805612;
-0.07841983;0.29794952;-0.15615243;12.059999;-55.86;-0.42;0.6344634;8.6457615;1.6519991;
0.0077121737;-0.100334615;0.19081903;13.74;-56.52;-0.59999996;2.1667526;8.81575;2.006341;
-0.32765284;0.5056437;0.11629347;13.559999;-56.52;-0.84;3.5098996;8.959402;2.9616275;
-0.07841983;0.33399057;0.145615;12.719999;-56.039997;-0.29999998;3.8043866;8.9641905;3.3518825;
0.14149167;0.5001459;0.13584116;11.82;-55.5;-0.84;2.6503813;8.657733;2.303222;
-0.1737148;0.54046303;0.2683989;9.84;-54.539997;0.24;3.052607;8.743924;2.6024973;
0.089568116;0.1049161;0.09674578;9.059999;-53.82;-0.24;4.0414124;9.004891;3.371036;
-0.039935317;0.118966006;-0.044364087;8.46;-54.66;-0.42;3.5697548;8.945037;2.8491;
-0.07047858;0.18921551;-0.037644573;8.34;-55.079998;-0.17999999;3.323152;8.674492;2.6048915;
-0.23235787;0.14156802;-0.03214678;8.16;-54.12;-1.3199999;2.7748797;8.43986;2.8443117;
0.10178542;-0.09056077;0.18348865;8.28;-53.82;-0.35999998;3.572149;8.741529;4.0078936;
