gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.1567633;0.038331795;-0.0016035213;-2.9399998;-53.82;8.34;2.1021092;8.789413;4.5082817;
-0.009392053;-0.061239243;0.03688099;-1.1999999;-55.44;8.22;2.066196;8.856451;3.7205894;
-0.020387627;0.14156802;0.0026725354;-1.3199999;-54.66;7.62;1.6352397;8.899547;3.4141316;
0.019318614;-0.009315695;-0.008933905;-1.02;-54.84;7.56;0.59615624;9.373599;3.6870706;
0.105450615;-0.0013744468;-0.15737416;-0.78;-54.66;7.8599997;0.9504981;9.969755;3.7732618;
0.13965906;-0.21029036;-0.16592628;-0.78;-55.379997;7.3799996;0.92176765;9.517251;2.8395233;
0.06818783;0.2930626;-0.2569452;-0.53999996;-55.02;8.04;2.3870192;9.646538;5.4495025;
0.80061525;-0.41554108;-0.118889645;-0.35999998;-55.079998;7.68;0.11731588;9.536405;3.442862;
0.86903214;-0.5523749;0.19753855;0.29999998;-54.84;9.9;2.6431987;8.976161;3.3183637;
1.5654186;-1.0667235;0.31665727;0.24;-54.78;12.48;0.48841715;10.819696;1.484405;
0.43287438;-0.6030767;0.110795684;-0.53999996;-54.48;15.66;3.4213142;10.561123;2.1045034;
0.17325665;0.106137834;-0.25633433;-1.1999999;-54.0;17.82;2.1691468;9.052776;2.3391352;
0.6497315;-0.67149365;-0.05841399;-1.02;-53.219997;18.42;2.0254946;8.681675;2.1547816;
0.3907247;-0.41431937;-0.16409367;-0.84;-53.039997;19.38;0.8810662;8.538023;-0.6368576;
-0.4779257;-0.56031615;0.37163514;0.48;-53.28;20.22;2.2290018;8.846874;1.0606314;
-0.47487137;-0.21762075;0.09063713;0.0;-53.16;19.859999;1.9488802;8.834904;0.16280572;
0.23800837;-1.3434454;0.24885122;-1.0799999;-54.42;19.56;1.9847932;8.253113;1.1540052;
-0.18471038;-0.73991054;0.36858082;-0.59999996;-53.76;20.279999;3.58412;8.722376;0.59855044;
0.17997618;-1.1705705;0.32643113;-1.86;-52.68;19.68;2.1140802;7.4103537;-0.60094464;
-0.5652794;-0.61162883;0.748539;-2.04;-52.86;20.82;4.175488;7.642591;0.28491;
-0.2567925;-1.3422236;1.0539716;-3.78;-52.44;19.859999;5.3896475;6.7256117;0.24420857;
0.19769126;-1.2799155;0.92385733;-6.18;-51.12;20.039999;7.178116;7.4055653;2.0207062;
1.1115457;-1.2762502;0.9336312;-8.639999;-50.46;20.76;6.8405337;7.5540056;3.0573955;
0.44814602;-0.9390526;0.79007787;-11.639999;-48.78;25.199999;6.048053;7.934684;-2.1428106;
-0.5481752;-0.23655757;0.5463426;-10.98;-48.12;26.4;7.8245506;9.196428;0.3854665;
0.15859589;-0.39660427;0.12423472;-14.34;-47.039997;25.68;6.04087;9.445425;0.15801731;
-0.033826664;-0.09666943;0.23357959;-12.66;-47.28;26.279999;6.670545;9.584289;0.25378537;
0.24717134;0.118966006;-0.2587778;-12.54;-46.8;26.16;6.1629744;8.846874;-0.50278234;
0.15554157;0.1873829;-0.2270128;-12.24;-46.86;26.76;5.4255605;8.324939;-0.9911995;
0.0828486;0.236863;-0.33330336;-12.54;-47.039997;27.42;6.0193224;8.406342;-0.93852705;
-0.06925685;0.20082195;-0.3638466;-11.58;-47.46;27.0;6.052841;8.4231;-0.5602432;
-0.19570595;0.8355109;-0.7780132;-10.679999;-47.399998;26.519999;7.379229;8.557177;1.3215994;
0.5190064;0.61559945;-1.0223594;-10.26;-48.42;25.68;6.292261;7.3576813;0.031124622;
0.28809932;0.86727595;-0.9038515;-8.16;-49.2;25.74;5.6170964;7.6737156;-1.1492168;
-0.29222265;0.95340794;-0.88980156;-5.8199997;-49.98;25.32;5.372888;8.432677;-0.39504328;
-0.4058436;0.944245;-0.9356165;-4.98;-50.46;24.539999;5.4279547;8.887576;0.39025488;
-0.44860417;1.1128438;-0.6711118;-2.1599998;-51.48;24.06;3.9839516;8.468591;0.91219085;
-0.65935266;1.1733195;-0.5293911;-0.84;-52.02;22.32;3.9384618;8.370428;1.4676456;
-0.39729148;1.1439979;-0.5788712;0.78;-53.879997;20.76;2.8658595;8.705617;2.0733786;
-0.0313832;0.98822725;-0.51717377;1.38;-54.18;19.74;1.70946;9.112631;1.7788919;
-0.10163271;1.129948;-0.40416372;1.74;-54.18;19.38;1.0989386;9.14615;0.91697925;
-0.12484559;0.5038111;-0.33452508;3.06;-54.059998;18.119999;-0.10055647;9.064747;0.9959879;
-0.35575265;0.46777007;-0.12255484;4.68;-55.44;17.4;-0.1316811;9.455002;0.18674773;
-1.3594042;0.37186423;0.07047858;4.92;-55.8;16.68;0.62009823;10.125379;2.1164744;
-0.812069;-0.15836681;-0.020540344;4.02;-55.379997;14.04;1.0582372;10.271424;4.1252093;
-0.027718011;-0.54321194;-0.19341521;5.58;-56.46;11.759999;-0.22505496;10.328885;2.9951463;
-0.22808181;0.07315111;-0.31070134;5.64;-56.879997;11.88;0.32561144;9.890746;3.0262709;
-0.4376086;0.3474296;-0.020540344;6.96;-56.46;11.219999;-1.8028339;9.390358;2.8083985;
0.30764702;0.15683965;0.07964156;6.6;-56.16;10.139999;0.28491;10.108619;3.1771057;
0.16103935;0.16661349;-0.082237735;7.3799996;-56.46;10.139999;0.47405192;8.930672;2.3199813;
-0.18715385;0.14950927;-0.08162687;7.9199996;-56.699997;9.599999;1.079785;8.449437;3.1483753;
-0.05642868;0.05299256;-0.08712465;7.02;-56.039997;9.719999;0.58657944;8.700829;3.8426938;
-0.030161472;0.1385137;0.07964156;7.2;-55.68;10.679999;0.21308395;8.968979;2.6312277;
0.14210252;0.01450805;0.020387627;6.6;-56.219997;9.84;1.70946;9.773431;3.7110126;
