gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.0129045285;0.2308307;0.07307476;4.98;-30.66;-39.0;-1.8962077;8.607454;4.675876;
0.082543164;0.21250474;0.18180877;4.38;-31.56;-38.7;-2.3750482;8.880393;3.5051112;
0.2841287;0.026801713;0.09445504;4.14;-31.199999;-38.879997;-3.1196449;9.59626;3.6224272;
0.9676869;-0.041615196;-0.12912165;4.56;-32.34;-38.82;-4.853047;11.310508;4.173094;
1.4123968;0.35117117;-0.65935266;4.8599997;-33.48;-36.84;-6.65618;11.724705;1.4748282;
0.54863334;0.22899811;-0.7375434;6.8399997;-35.16;-34.559998;-7.891588;10.788572;0.8283938;
0.5510768;0.12270755;-0.79679734;7.3199997;-35.52;-32.579998;-7.747936;8.724771;1.1372458;
-0.04512767;-0.30856332;0.20441078;8.94;-35.7;-31.859999;-8.147768;7.036858;-1.0630256;
-0.1642464;-0.53275084;0.38889208;9.179999;-36.12;-31.74;-3.3518825;6.402395;1.1994951;
1.4221706;-1.3678037;1.132926;8.16;-36.42;-31.8;-1.8459295;3.6631286;2.4277205;
3.7251327;-1.8778762;2.9923997;3.54;-37.8;-29.34;6.110302;2.9113493;-2.9951463;
1.0177778;-1.6261996;4.4487023;-4.38;-42.54;-22.14;17.51179;7.249942;-4.378995;
-2.3590853;-1.8992563;1.3387876;-15.0;-42.42;-19.32;11.303326;13.218687;4.8147397;
-0.6847036;0.87162834;-0.11140655;-18.72;-41.1;-23.34;7.70484;11.827656;11.174039;
2.6640596;0.82398087;-0.62392247;-18.24;-40.379997;-24.96;6.3856354;7.072771;-0.6584055;
0.74777544;1.1434634;-0.87376636;-16.68;-42.6;-22.199999;5.576395;7.486968;-5.858911;
-0.7366271;0.8581893;-0.8413905;-13.0199995;-42.84;-20.64;5.0353055;8.633791;-1.6783354;
-1.136133;1.2283736;-0.053985216;-11.82;-43.62;-23.279999;4.867412;8.372823;1.4915876;
0.27130052;-0.4649448;-0.4076762;-10.74;-42.719997;-24.779999;8.856451;11.7678;1.115698;
-2.437887;1.2784646;-0.93057686;-9.84;-42.059998;-25.32;4.1371803;10.539576;1.685518;
0.22548564;0.7219664;-1.1773664;-5.94;-40.559998;-28.859999;4.225766;11.265018;3.2992098;
-0.66210157;1.2143238;-1.106506;-3.9599998;-40.26;-30.539999;1.5777789;10.482115;2.6001031;
-0.034132097;0.555811;-1.3575716;-0.17999999;-39.899998;-30.9;-2.0326772;9.342474;3.0885203;
0.3898084;-0.022678372;-1.3936127;2.9399998;-39.12;-30.9;-4.4723687;9.481338;0.12689269;
-1.0903181;0.016417004;-1.4870751;6.06;-39.12;-30.179998;-6.1174846;9.165303;-0.7757214;
-0.8789587;0.40553817;-2.1645246;7.68;-37.5;-32.219997;-8.842086;5.4854155;2.1523874;
1.4679855;-1.1723268;-0.38690677;12.3;-35.46;-32.46;-8.36564;5.7392006;-4.9850273;
-1.1837804;-0.6653086;0.1530981;11.759999;-35.94;-30.539999;-5.8301806;7.3361335;1.364695;
0.36964983;-0.7343364;0.21907155;9.9;-35.399998;-32.82;-2.6791117;9.68724;6.7327943;
-0.39393172;0.28092167;0.07368562;8.639999;-34.98;-33.18;-3.976769;9.07193;3.596091;
0.23831381;-0.0012980887;0.5043456;9.42;-35.1;-33.899998;-4.048595;8.131008;2.6048915;
-0.070173144;0.07506007;0.24839307;8.04;-35.64;-33.719997;-0.92655605;10.721535;0.80445176;
-0.4715116;-0.17661642;0.09078985;7.02;-35.82;-34.68;-2.6982653;9.067142;3.406949;
0.28351784;-0.14729488;0.027870728;6.8999996;-35.28;-34.02;-2.0733786;9.170092;3.074155;
0.032452215;-0.23220515;-0.033826664;6.8399997;-35.34;-33.84;-2.645593;9.182063;2.791639;
-0.104992464;-0.09903653;-0.071700305;7.7999997;-35.28;-34.14;-1.9033904;9.282619;3.2872388;
0.19188805;-0.17661642;0.06269005;6.24;-35.94;-33.42;-3.2968156;8.538023;3.2034419;
-0.13309227;0.05917757;0.05169447;6.7799997;-35.7;-34.079998;-2.1883004;9.227552;2.408567;
-0.008475755;-0.08132143;0.07735081;6.12;-36.12;-35.579998;-3.181894;8.652945;2.89459;
0.009850202;-0.072158456;0.1109484;6.48;-35.1;-34.68;-2.4492683;9.318532;2.645593;
-0.0603993;-0.051999904;0.10667235;5.58;-34.62;-34.079998;-2.2290018;9.474155;3.2848446;
0.07276932;0.013362677;0.003436117;5.3399997;-35.28;-34.86;-2.44448;9.26586;2.9712043;
0.056886826;0.013362677;0.052305337;5.64;-35.46;-35.219997;-2.779668;8.77026;2.3104045;
-0.010919216;-0.062384613;9.92656E-4;5.22;-35.28;-34.98;-1.9512744;9.387964;2.944868;
0.020845776;-0.027565295;0.03397938;5.2799997;-36.42;-34.38;-2.4756045;8.923489;2.8874073;
-0.039629884;0.02069306;0.08590292;5.52;-35.88;-34.14;-2.1547816;9.007286;2.7820623;
-0.048181996;0.028023442;0.07124216;4.3199997;-36.059998;-34.62;-2.3199813;9.086295;3.0597897;
0.008017606;0.022525655;0.052916203;4.44;-36.059998;-33.899998;-1.8387469;9.371204;3.016694;
-0.032910366;0.016417004;0.054137934;4.74;-35.579998;-34.98;-2.030283;9.38557;2.930503;
0.111253835;-0.06727154;-0.14928019;4.8599997;-35.82;-35.16;-1.6424223;9.739912;3.1196449;
