gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.27320948;0.024969118;-0.020540344;10.62;-39.239998;-20.1;-0.39025488;8.389582;5.753566;
0.082619525;0.1202641;0.18532124;11.099999;-39.66;-19.02;0.1604115;8.277055;4.853047;
0.0154243475;0.10377073;0.07475463;11.04;-39.239998;-18.18;0.22266077;8.190864;4.465186;
-0.094531395;0.07383834;0.04482224;12.54;-39.78;-17.58;0.31364042;8.415918;5.281908;
-0.027947085;0.015195273;0.06620252;12.42;-39.3;-19.5;-0.19871874;8.293814;5.6194906;
0.100334615;0.13736832;0.055206947;11.639999;-39.6;-18.72;0.1316811;7.8724346;5.698499;
0.22922719;0.12148582;0.16760615;11.639999;-39.78;-18.3;-0.20350714;8.241141;5.30585;
0.1479821;0.11720977;0.09980011;10.86;-39.36;-17.64;1.0127473;9.064747;5.078401;
0.20357084;0.25831965;0.084528476;9.42;-38.46;-17.46;0.08140286;8.676887;5.0472765;
0.5145013;-0.12835807;0.07475463;10.0199995;-40.02;-16.14;0.8643068;9.289802;4.237737;
0.25977045;0.17035505;-0.06391177;9.719999;-40.079998;-15.48;0.45489833;9.129391;4.9179897;
0.52122074;-0.09476047;-0.09017898;9.9;-39.78;-14.88;0.45250413;9.337686;5.1214967;
0.43386704;0.009697486;-0.124387436;9.48;-40.32;-12.96;-0.14844051;9.404723;4.144363;
0.43997568;0.093386024;-0.022372939;9.84;-41.1;-12.84;0.07182605;9.021651;4.5082817;
0.8339838;-0.16500998;0.068645984;9.84;-39.96;-11.88;-0.05267244;8.897153;3.4955344;
0.624457;-0.035506543;0.1474476;9.24;-41.7;-10.44;0.6799533;9.308955;2.992752;
0.4363105;-0.3946953;-0.115835324;8.82;-42.42;-7.8599997;0.2801216;10.089465;2.1571758;
-0.3199407;0.07383834;-0.20868684;8.76;-42.42;-8.34;-0.6703765;9.170092;3.9743748;
0.66416323;-0.39225185;-0.05352707;9.42;-41.879997;-8.82;0.82121116;10.060735;4.0797195;
0.39904773;-0.1821142;-0.17692184;9.719999;-42.96;-7.74;0.2825158;10.281001;0.9720459;
-0.04444045;-0.1821142;-0.36018142;9.84;-43.2;-6.54;0.25617957;10.020034;2.743755;
0.059406646;-0.21632266;-0.1512655;10.5;-43.8;-6.18;-0.2801216;9.828497;2.4396915;
0.49556443;-0.545579;0.001450805;12.66;-42.78;-5.8799996;-0.39264908;9.31135;2.0231004;
0.5945246;-0.8271879;0.26106852;11.88;-42.66;-4.92;-0.5626374;8.8923645;1.99437;
-0.012064588;-0.6127742;0.07414377;12.12;-42.12;-5.22;0.17477672;9.1868515;1.2066777;
-0.1873829;-0.8412378;0.1559997;13.259999;-42.36;-4.14;2.2697031;9.957784;1.8650831;
0.4381431;-0.89132875;0.24885122;11.94;-41.64;-6.06;0.16519992;8.660127;3.241749;
0.6721045;-1.1222358;0.27084237;11.58;-40.62;-5.1;1.5131354;8.5978775;2.1404164;
-0.4298964;-0.554742;0.11629347;11.099999;-41.52;-5.64;2.1212628;9.170092;1.4173675;
0.18585575;-0.91026556;0.4095088;10.74;-40.739998;-6.66;1.508347;8.595484;3.6176388;
0.82726425;-0.87544626;0.62453336;10.679999;-40.32;-7.02;1.271321;7.874829;3.1196449;
-0.16539176;-0.65858907;0.580551;9.0;-41.46;-5.52;3.2010477;8.961796;0.11252748;
0.23533584;-0.94630665;0.6666831;7.98;-41.1;-6.42;3.5434184;8.904335;1.6208745;
0.22250767;-0.89255047;0.7564803;6.12;-40.62;-6.54;3.7732618;8.727164;2.9520507;
0.2750421;-0.75021887;0.53534704;4.2;-41.1;-6.66;3.787627;8.482956;-0.79487497;
-0.62109727;-0.4020257;0.5744424;3.24;-40.5;-7.02;3.3877954;9.356839;1.532289;
0.13942999;-0.9530261;0.76319975;1.86;-40.2;-8.46;3.1747115;8.57633;2.7389667;
-0.043829583;-0.31711543;0.38751763;0.53999996;-41.16;-8.94;6.0097456;10.43423;0.45729253;
0.041691553;-0.19799669;0.07475463;-0.48;-39.84;-8.46;4.4460325;8.660127;0.9935937;
-0.088422745;-0.13141239;0.10407617;-1.14;-40.5;-8.76;4.6160207;8.9641905;0.2896984;
-0.15439619;0.083001316;-0.2795472;-0.59999996;-39.96;-9.179999;5.284302;9.263466;1.757344;
0.03680463;0.6547712;-0.30886874;-0.24;-40.26;-9.54;4.663905;8.233959;2.4636335;
0.25793785;0.6126215;-0.36995527;0.35999998;-39.84;-9.719999;5.245995;8.856451;1.2114661;
-0.0804815;0.81726134;-0.7187593;1.02;-39.899998;-7.98;5.6290674;8.801385;0.6344634;
0.123547494;0.5845217;-0.78839797;2.7;-39.84;-9.24;4.841076;8.6457615;1.5969325;
0.36117408;0.80321145;-0.7169267;4.5;-40.92;-7.3799996;4.086902;9.244312;1.3814543;
-0.22953261;0.14164437;-0.59353197;6.12;-40.26;-6.0;3.6487634;9.826103;0.90740246;
-0.12385293;0.8508589;-0.60758185;7.3799996;-40.559998;-6.18;1.9249382;9.206005;1.5849615;
0.17180584;0.06772968;-0.35040757;9.36;-41.579998;-5.46;1.9656396;9.411906;1.400608;
-0.205098;0.49716794;-0.26244298;8.94;-41.7;-5.52;2.4779987;9.395146;1.4796166;
-0.094531395;0.37438405;-0.36812267;10.38;-41.46;-5.46;2.3463178;8.822932;1.5777789;
-0.032223143;0.18501581;-0.019929478;10.26;-42.059998;-5.46;0.35194764;8.834904;1.8698715;
0.19135354;-0.11552989;-0.04925101;9.96;-42.239998;-4.8599997;2.0853498;10.371981;2.0231004;
-0.062155537;0.43424883;0.043600507;8.82;-42.18;-5.58;1.3455414;9.591472;1.721431;
0.08628472;0.09644035;0.0026725354;9.179999;-42.36;-4.74;0.45968673;9.301773;0.39264908;
-0.13912456;0.5576436;-0.13477215;8.22;-42.059998;-5.1;0.58418524;9.514857;1.8770541;
0.2866485;0.08116872;0.13217597;8.7;-42.42;-4.8599997;0.90021986;9.842862;0.82599956;
-0.14278975;0.3908774;-0.21479549;9.12;-42.239998;-4.68;1.376666;9.811738;1.0007763;
0.14126259;0.09094256;-0.05963572;9.54;-43.14;-4.2599998;0.9864111;9.735124;1.2114661;
-0.13118331;0.41836634;-0.21601722;10.08;-42.3;-4.74;-0.25139117;9.5292225;1.079785;
0.014202617;0.2607631;0.2195297;10.8;-42.54;-4.44;0.90261406;9.780613;0.92176765;
-0.259465;0.2693152;-0.08162687;10.679999;-42.059998;-4.3199997;0.91458505;9.751883;1.0893618;
-0.42562035;0.35239288;0.033826664;9.3;-41.82;-4.44;0.6991069;9.500492;1.5945383;
-0.26068676;0.1782963;-0.18486309;10.559999;-42.36;-5.04;1.2258313;9.876381;2.147599;
-0.17944166;0.1428661;-0.1390482;9.54;-42.239998;-5.8799996;0.7254431;9.83568;2.4540567;
0.031306844;-0.018402316;-0.1286635;9.66;-41.52;-5.58;0.9600749;9.62499;1.7597382;
-0.15989397;0.18135062;-0.069409564;10.139999;-41.1;-5.8799996;0.50757074;9.488521;1.5442601;
-0.1647809;0.11049025;0.02405282;9.42;-40.379997;-5.7;1.0654198;9.620202;2.480393;
0.074067414;-0.11369729;0.03810272;9.78;-40.14;-5.7599998;0.6871359;9.419088;1.9153614;
-0.300393;0.27908906;0.11385001;9.48;-40.62;-6.66;0.59855044;9.404723;2.0015526;
-0.035888333;-0.11491902;0.10163271;9.599999;-40.62;-7.08;0.5243302;9.313744;2.5187001;
-0.3810272;0.16363552;0.05215262;9.96;-40.92;-7.14;0.9983821;9.299378;1.9249382;
-0.49953505;0.18135062;0.12789991;10.38;-40.379997;-7.74;0.4213795;8.6697035;3.6008794;
-0.17944166;-0.04344779;0.263512;10.559999;-41.219997;-8.4;0.80684596;9.00968;2.6719291;
-0.5013676;0.1288162;0.28550315;9.78;-40.32;-9.84;1.8315643;9.627384;2.4971523;
-0.6290385;0.14592044;0.12118039;8.82;-40.44;-11.4;2.0087352;9.062353;3.5553896;
-0.33215797;-0.3403283;0.19509509;8.88;-41.04;-12.24;1.127669;9.31135;3.0813377;
-0.6082691;0.09094256;0.11446088;8.04;-41.219997;-13.5;1.4987702;10.094254;2.870648;
-0.3492622;-0.23403774;-0.047418416;8.4;-41.28;-14.16;1.3024458;9.395146;3.2034419;
-0.23441954;-0.18028161;-0.17753272;8.34;-40.739998;-16.08;1.1994951;9.481338;3.3806129;
-0.24785857;-0.25297457;0.17066048;7.3799996;-39.899998;-15.96;0.78769237;8.748713;3.9384618;
-0.16233744;-0.17478381;-0.285045;7.3799996;-40.5;-17.46;1.8986019;9.002498;4.7261543;
-0.0010690142;-0.0025198192;-0.12622003;8.099999;-41.04;-16.199999;0.9720459;8.743924;4.94672;
