gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.10606148;0.23564127;-0.028481591;1.14;-54.36;11.099999;1.9871874;9.222764;2.566584;
-0.11629347;0.22525656;0.115071744;-1.5;-53.879997;12.0;1.4676456;9.10066;3.1028855;
-0.022831088;0.0047342055;0.06681339;-0.42;-55.5;11.58;1.2258313;9.337686;3.8618474;
-0.012446379;0.26374108;0.11323915;-0.24;-54.84;11.219999;0.031124622;10.254665;3.845088;
-0.029550606;0.45982882;-0.005879578;-0.84;-54.899998;11.04;-0.32561144;10.946589;4.012682;
0.44814602;0.5392413;-0.28076893;-1.3199999;-54.48;10.38;-1.6950948;10.321703;2.492364;
0.5055674;-0.27382034;0.46326494;-0.42;-54.239998;11.28;-2.2481554;10.09186;3.2824504;
0.67538786;0.076816306;0.2775619;-0.29999998;-53.82;12.0;3.0621839;12.256218;3.9001546;
0.5959754;0.18188512;-0.7957283;0.06;-54.6;12.599999;-1.0726024;9.692028;1.5801731;
1.0357984;-0.47907108;0.13461943;1.5;-54.66;13.259999;0.7230489;10.036793;2.6144683;
1.0522918;-0.47662762;-0.71326154;2.22;-55.079998;15.24;0.5267244;9.2107935;-1.0223241;
1.3296245;-1.6274977;0.37346774;3.24;-55.14;17.76;-0.62967503;7.5037274;-0.6775591;
0.42371142;-0.6617198;0.372246;3.3;-54.18;21.119999;1.2521675;7.355287;-2.4588451;
0.6014732;-1.3110695;1.0374782;2.22;-53.1;22.68;3.643975;6.124667;-1.1659763;
-0.47487137;-0.5163339;1.6819412;0.0;-53.1;24.24;7.2355766;6.354511;-1.6112977;
1.0205268;-1.19134;1.868255;-3.84;-51.36;24.6;8.65055;7.726388;3.1004913;
2.0461695;-1.7863227;1.1083386;-7.2599998;-48.96;27.359999;9.064747;8.818144;-3.6774938;
-1.7106518;0.36575556;0.49808425;-8.639999;-46.44;30.9;8.334516;10.597036;-1.5346833;
-0.9855547;0.21975878;-0.5422193;-8.94;-48.12;28.859999;4.132392;7.0751653;2.7724855;
0.87452996;-0.028252518;-0.016264288;-8.22;-49.5;26.519999;3.9695864;7.142203;-0.48362875;
0.275882;0.48243082;-0.04192063;-7.56;-49.2;27.48;6.6011133;9.483732;-3.4883518;
-0.4272239;0.5758932;-0.60208404;-6.7799997;-49.079998;29.22;5.5955486;9.225159;-1.7429788;
-0.49808425;0.798859;-0.9007972;-8.22;-49.8;27.24;6.7136407;9.440637;0.79726917;
-0.09796751;0.74082685;-1.1775191;-6.2999997;-50.28;26.46;7.484574;8.866028;-0.9983821;
-0.67401344;1.0065532;-0.9362273;-4.56;-51.3;24.9;6.8165917;8.224382;0.12210429;
0.066355236;0.80557853;-1.0419071;-3.8999999;-50.94;23.16;5.255572;8.150162;1.0103531;
0.8836929;0.10797043;-0.76518506;-2.34;-51.96;24.06;3.4117374;8.619426;-2.0566192;
-0.4217261;0.35537085;-0.43043092;-0.24;-51.059998;25.8;1.0271125;8.542811;-2.5139117;
-0.12851077;0.12935072;-0.26794076;0.59999996;-52.32;25.08;1.1971009;9.411906;1.2689269;
-0.5970444;-0.042913284;-0.30825788;1.86;-51.42;24.84;0.46686932;9.371204;-0.4141969;
-0.5799402;-0.16997325;-0.14210252;3.24;-52.68;24.24;-0.5602432;8.162133;1.553837;
-0.19570595;-0.7301367;0.13584116;4.2599998;-53.399998;24.06;0.9888053;10.048764;0.15801731;
-0.4974734;-0.81077087;-0.2551126;5.3399997;-53.399998;22.92;-0.6536171;10.676044;0.4381389;
-0.6648505;-0.6598872;0.08819367;7.2599998;-53.699997;22.439999;-3.0190883;10.137349;0.15322891;
-0.9030879;-0.8205447;0.07964156;8.22;-54.36;20.34;-2.4756045;10.010457;0.39504328;
-0.5457317;-0.30069843;0.295277;10.38;-55.68;17.52;-0.90261406;10.422259;1.0582372;
-0.038713586;-0.43569964;0.05826127;10.559999;-55.5;16.32;-0.14844051;10.4605665;1.673547;
-0.100410976;-0.13454308;0.13889548;10.62;-55.8;15.599999;1.0869676;10.170868;2.7389667;
0.0046578473;-1.5271631E-4;-0.09078985;9.54;-56.219997;16.619999;1.2473791;9.873987;2.0254946;
