gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.11720977;0.59788436;-0.015118915;-14.88;-45.059998;-8.16;-1.8602947;9.4143;2.7246015;
-0.12698361;0.5367978;0.08628472;-13.44;-46.02;-8.639999;-1.30484;8.494926;2.906561;
0.046502117;0.36880988;-0.05177083;-13.32;-46.02;-8.88;-0.5793968;8.791808;2.9616275;
-0.25648704;-0.06734789;0.1516473;-12.84;-45.3;-9.3;-1.3024458;9.845257;2.4516625;
-0.04390594;0.23136522;0.069791354;-13.799999;-45.0;-9.96;-1.8650831;10.048764;4.084508;
0.114308156;0.25335637;0.2060143;-13.74;-45.18;-10.139999;-2.1140802;10.10383;3.2704794;
-0.15141822;0.34865135;0.14248432;-13.559999;-45.36;-9.9;-1.8219875;10.640132;3.8355112;
0.38736492;0.59666264;0.22922719;-14.16;-45.719997;-10.08;-2.1859062;10.348039;3.5075054;
0.38553232;0.0627664;0.6177375;-14.88;-45.36;-10.26;-0.81163436;10.235512;3.4332852;
1.1381183;0.14767668;0.5529858;-16.199999;-44.7;-8.94;0.6991069;9.14615;-0.4333505;
0.31589368;0.01450805;0.20479257;-16.8;-45.18;-7.3199997;0.80924016;9.730335;-1.0127473;
0.06543894;0.18616119;0.021533;-17.16;-46.2;-6.12;-0.5722142;9.605837;1.8004397;
0.4545601;-0.5853616;0.66721755;-17.699999;-46.14;-6.42;-1.5490485;9.375993;0.11492168;
0.13141239;0.0016798794;0.34468073;-18.96;-44.94;-4.5;1.5107412;9.62499;-0.7637503;
-1.122694;-0.065515295;-0.13179417;-20.46;-44.879997;-5.1;-0.31124622;10.355222;0.92416185;
-0.8820131;0.50869805;-0.9082039;-19.32;-45.78;-7.3199997;-0.12449849;10.410288;4.1132383;
0.6537022;-1.4259121;0.60063326;-19.439999;-45.96;-8.34;0.6919243;9.830892;2.2768857;
-1.0115165;-0.49189925;-1.2392929;-18.84;-45.899998;-7.5;1.7645266;9.285013;3.4284968;
-0.87162834;-0.29092458;-0.9204212;-17.82;-45.66;-8.22;-0.20590134;9.256283;4.1611223;
-0.42691845;-0.9860892;-0.5868888;-15.059999;-46.5;-10.139999;-0.05746084;7.058406;7.218817;
-0.7934376;0.36209038;-2.0670152;-13.98;-45.899998;-10.92;-0.45250413;7.7694836;6.0217166;
