gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.007254025;0.33773214;0.08651379;10.8;-38.64;0.12;-1.1444284;9.493309;3.4883518;
-0.00786489;0.3853796;-0.03932445;10.26;-37.44;0.24;-1.30484;9.409512;3.071761;
-0.011530082;0.38782308;-0.071700305;11.58;-38.16;0.29999998;-3.5984852;10.008062;2.5187001;
0.07887798;0.7616726;0.013820826;11.219999;-38.46;0.65999997;-6.7375827;12.459725;3.3207579;
1.1943179;1.1373547;-0.8401688;11.5199995;-37.44;1.1999999;-8.131008;12.699145;1.5658079;
0.9524153;0.63766694;-0.7625889;12.599999;-37.98;3.78;-10.673651;11.741465;-2.1308396;
0.7245625;0.7396815;-0.9672288;14.639999;-36.96;7.56;-9.766248;8.104672;-1.4508862;
2.1124485;-1.2083678;0.2373975;16.14;-36.48;9.66;-7.4079595;6.452673;-1.0390835;
1.8650479;-1.3250431;1.4291956;15.78;-34.92;13.92;-0.79487497;2.6767175;-2.4708161;
0.7911469;-0.9359219;4.189696;14.34;-34.02;17.64;9.246706;1.163582;-2.822764;
-0.5051092;-1.6213127;4.4267116;3.3;-34.44;18.84;20.032885;7.752724;4.5274353;
-1.8997146;-1.5669457;0.7938957;-4.2599998;-35.16;17.1;9.55077;14.322413;6.318598;
-0.38415787;1.4812719;-0.90797484;-4.56;-36.0;13.62;6.0911484;7.963414;9.150938;
2.1179461;0.23999368;0.12194397;-3.9599998;-35.82;13.08;4.781221;5.918766;-1.6328455;
-0.7378489;0.9290497;-0.7772497;-4.2;-36.3;16.56;7.0512233;9.150938;-4.27365;
-1.779985;0.87651527;-1.3123677;-2.22;-36.12;14.58;7.963414;8.461408;2.813187;
-0.97547543;1.92476;-0.3581961;0.29999998;-37.38;9.78;9.811738;5.8110266;3.4883518;
-0.6321692;1.0231229;-0.49808425;1.02;-38.7;8.04;8.300997;8.813355;1.7812861;
-1.1190288;2.283949;-0.87071204;0.65999997;-38.82;6.06;3.4644098;8.377611;2.9616275;
0.8656724;0.73235106;-0.65935266;3.48;-39.66;4.38;-1.3934253;8.992921;0.94092125;
-0.17402023;0.6682102;-0.34475708;4.02;-39.48;4.44;-4.4484267;11.1931925;0.7254431;
0.3488804;-0.7764861;-0.5237406;5.64;-38.34;4.3199997;-8.447042;10.728717;-1.2761095;
-0.9485974;-1.1399509;-1.1321623;5.94;-39.84;4.56;-7.427113;11.954549;-2.5115175;
-0.5912412;-0.67813677;-0.63919413;9.54;-39.239998;3.12;-10.86758;6.146215;-0.46926352;
-0.619341;-0.9157634;-0.5280166;10.62;-38.46;1.1999999;-2.9735985;9.526828;-0.05746084;
0.34093916;-0.69218665;0.49335003;11.82;-38.04;-1.92;-2.1906946;10.041581;6.4981627;
0.3702607;-0.19860756;-0.13095424;11.28;-38.7;-2.1;-0.61770403;11.344027;3.016694;
0.22548564;-0.29084823;-0.32398766;11.46;-38.399998;1.02;-1.70946;9.031228;4.1922474;
0.5968917;-0.41546473;-0.14805846;12.059999;-38.219997;-0.12;-1.8842367;8.851663;1.8698715;
-0.10987939;-0.15034921;-0.349644;12.66;-38.76;1.4399999;-2.291251;8.166922;3.5889084;
0.25663975;-0.13935363;0.025427265;12.059999;-38.52;1.14;-2.9233203;8.049605;3.13401;
-0.24793494;0.112322845;-0.091248;12.719999;-37.62;1.14;-1.30484;9.723152;2.743755;
0.28473955;-0.18944459;-0.031994067;12.599999;-38.16;0.17999999;-2.2816741;9.004891;2.8921957;
-0.31818444;0.17585284;-0.16882788;13.32;-37.079998;0.59999996;-0.58657944;10.04637;2.147599;
0.20105103;-0.25541803;-0.25190556;13.259999;-37.739998;1.26;-2.8562827;8.121431;3.1172507;
-0.117820635;-0.1259146;0.2111303;14.219999;-37.38;1.0799999;-1.8219875;8.851663;2.0398598;
0.05627596;-0.38003454;0.22823453;14.04;-37.02;0.53999996;-1.5562311;8.894758;3.8738184;
-0.09949467;0.1043816;0.18608482;12.66;-37.44;0.29999998;-1.3383588;9.5795;3.5075054;
0.03733914;0.007254025;0.013209961;12.78;-37.68;-0.12;-1.376666;9.543588;3.2944214;
-0.09155343;-0.014737124;-0.032604933;12.719999;-38.04;-0.42;-1.6424223;8.957007;2.7509377;
0.10453431;-0.26580274;-0.08269588;12.66;-38.1;-0.84;-1.1731589;9.105449;2.767697;
-0.062842764;-0.124692865;0.05841399;13.92;-37.5;-0.24;-1.376666;8.954614;3.514688;
-0.0322995;-0.07582365;0.05963572;12.9;-38.28;-0.71999997;-1.472434;8.9641905;4.015076;
0.02695443;0.04390594;0.11644619;12.54;-38.04;-0.35999998;-1.4101849;9.050382;3.6343982;
-0.037797287;0.026190847;0.1372156;12.9;-38.46;-0.9;-1.3982137;9.155726;2.9376855;
-0.0017562376;-0.03795;0.14698945;12.54;-37.739998;-0.53999996;-0.9648633;9.593865;3.4117374;
-0.032910366;0.07933612;-0.0020616702;12.66;-39.12;-1.02;-1.2808979;9.256283;3.560178;
7.6358156E-5;0.16363552;0.09750936;12.0;-37.26;-0.9;-1.2234371;9.285013;4.19943;
0.1381319;0.1868484;0.07979427;11.7;-38.04;-0.48;-0.92416185;9.354445;3.5936968;
-0.08239045;0.21189389;0.0046578473;11.82;-38.04;-0.42;-0.79726917;9.26586;3.3518825;
