gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.31566462;0.20135646;0.03932445;17.34;-16.5;-43.02;-3.9025488;7.000945;5.5356936;
-0.3669773;0.10789407;0.32337677;18.3;-16.56;-43.5;-3.4835634;8.121431;5.2483892;
-0.38591412;0.6008623;0.4376086;18.539999;-14.639999;-43.739998;-3.6032736;9.933842;5.064036;
-0.0016798794;1.0480157;0.7741953;19.8;-14.88;-44.04;-2.906561;10.97532;3.5984852;
-0.313832;0.53611064;1.0234283;21.3;-15.66;-42.84;-3.5458126;11.399094;3.5482068;
0.28115073;0.47746754;1.2787701;21.24;-16.92;-41.94;-7.202058;11.760618;7.520487;
0.7154759;0.39255726;1.6061938;21.359999;-17.76;-43.079998;-3.9097314;10.443807;3.53863;
0.39171734;0.90629494;0.38201985;22.14;-21.06;-40.739998;-3.8307228;9.26586;5.332186;
0.105832405;0.6821074;0.04970916;23.519999;-23.699999;-41.16;-2.8802247;8.047212;3.9264908;
0.055741455;-0.6892851;0.404011;24.84;-22.56;-39.36;-1.4891934;6.1174846;3.928885;
0.54993147;-0.82367545;-0.0028252518;23.279999;-23.699999;-39.96;-1.2497733;3.0238767;10.395923;
-1.0108292;-2.8505263;0.7424303;21.18;-24.06;-40.62;0.24420857;-1.8195933;8.329727;
-2.1439843;-1.1089495;-1.3485614;16.32;-22.74;-44.16;-0.5722142;-0.2681506;14.966753;
-0.029168816;-0.29222265;-1.4157566;14.58;-17.46;-46.68;-3.3997664;2.7246015;14.147637;
0.14187345;0.2673299;-0.98754;14.219999;-15.9;-46.62;-1.7070658;2.3463178;6.3640876;
0.12843442;0.0022143866;0.15538885;15.599999;-15.54;-46.02;-1.2497733;3.2321723;9.488521;
0.081397794;0.35285103;0.7173849;15.66;-15.9;-46.68;-1.661576;3.323152;8.48535;
0.3043636;0.35651624;1.1853076;15.12;-16.98;-45.84;-2.4109612;3.6032736;10.74787;
1.1467468;0.89591026;1.4730252;16.199999;-17.52;-45.78;-1.1085154;2.2529438;13.290513;
1.2414309;1.9679787;0.5255732;16.92;-20.039999;-44.16;-0.7110779;1.3551182;13.616124;
0.99464136;1.4389695;0.6843982;19.08;-24.119999;-41.579998;-3.5242648;3.064578;8.190864;
0.31658092;2.1188624;-0.275882;21.359999;-26.58;-38.16;-1.1947067;7.7886376;9.749489;
0.54260105;1.2483795;0.06925685;24.66;-26.88;-35.34;-4.307169;8.210017;3.8786068;
0.085673854;0.9124036;-0.3198643;27.0;-28.38;-32.76;-1.5705963;10.149321;1.4772224;
-0.20082195;0.0046578473;2.2907447E-4;28.019999;-27.06;-32.7;-2.6886885;10.048764;-1.6543933;
-0.7958047;-1.8994092;0.11323915;27.24;-27.599998;-33.54;2.777274;12.63929;2.2768857;
0.004428773;-1.9580522;-1.4236978;24.539999;-25.32;-35.219997;3.3758245;11.308114;1.8531121;
-0.2350304;-1.1364385;-1.59474;22.92;-23.64;-37.92;-1.0726024;9.900323;3.4931402;
0.46379945;-1.5347226;-1.0577896;22.619999;-22.56;-39.48;-1.9776106;9.112631;3.7062242;
0.049632803;-0.4003458;-1.413924;21.779999;-20.939999;-40.079998;-7.570765;8.324939;5.171775;
0.24938573;-0.18104519;-0.36873353;21.779999;-20.279999;-40.079998;-6.304232;7.633014;5.076007;
-0.13790283;-0.042378776;-0.17570011;22.02;-20.34;-41.1;-3.6415808;7.3959885;4.6016555;
-0.1226312;-0.17188221;-0.17447838;22.08;-19.5;-41.28;-3.6104562;7.024887;6.3616934;
-0.0627664;-0.16455182;-0.21907155;21.359999;-20.1;-41.94;-2.6168625;7.1469913;5.928343;
-0.11346822;0.040698897;-0.39316815;21.66;-18.96;-41.34;-3.6966474;6.9913683;5.8397574;
-0.021838432;-0.24029912;-0.028481591;23.039999;-18.6;-41.52;-4.110844;7.592313;6.7687073;
0.031306844;-0.14866933;-0.20318905;21.72;-18.84;-41.94;-4.292804;7.5635824;5.940314;
0.0025961774;-0.10713049;-0.08162687;21.96;-17.82;-41.46;-4.6710877;7.084742;6.2587423;
0.13881913;0.12988523;-0.081016004;21.6;-18.18;-41.52;-4.2066126;6.7256117;5.7128644;
0.03436117;0.17264579;-0.02115121;22.439999;-18.42;-42.12;-4.1156325;6.608296;5.650615;
-0.04932737;0.035811976;0.055206947;22.439999;-18.9;-41.7;-3.7134068;6.807015;5.394436;
-0.18310685;0.07918341;0.001450805;22.56;-18.18;-41.399998;-4.357447;6.5915365;5.7727194;
-0.16172658;0.025427265;0.24885122;22.32;-18.42;-40.92;-4.0294414;6.9698205;6.2635307;
-0.12690726;-0.13156511;0.24640776;21.6;-18.0;-42.12;-3.4811692;6.9003887;5.945102;
-0.19715676;0.0669661;0.14072809;21.119999;-18.119999;-41.64;-3.3734303;6.8381395;6.3257804;
-0.03894266;0.022372939;0.13706289;21.18;-17.279999;-42.12;-3.5936968;6.443096;6.0815716;
-0.32482758;0.020540344;0.18348865;21.359999;-17.58;-41.46;-3.7852328;6.428731;6.1294556;
-0.023060163;-0.0735329;0.13095424;22.38;-16.98;-41.399998;-2.944868;6.929119;6.857293;
-0.13118331;0.016264288;0.037491854;20.58;-17.88;-42.48;-3.5098996;6.5771713;5.918766;
-0.09941832;0.055970527;-0.034590244;21.24;-17.52;-41.46;-3.2585084;6.7088523;6.467038;
