gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.1647809;0.9368382;0.06803512;21.18;-30.179998;-33.0;-2.755726;10.5084505;0.81642276;
-0.11652254;0.5086217;0.9403507;22.92;-30.539999;-32.52;-2.9161377;10.5802765;1.2282255;
0.24510968;0.60574925;1.083904;22.98;-30.179998;-32.34;0.1604115;12.222699;1.1013328;
-0.12018774;0.3308599;0.3282637;22.439999;-32.399998;-32.28;-0.8714894;12.380716;-0.9816227;
0.18829921;0.12560916;0.31910074;23.46;-32.579998;-31.859999;-2.5330653;12.363956;2.5139117;
-0.047494773;-0.44371724;0.53534704;22.68;-33.0;-31.32;-0.6392518;9.677663;-1.5753847;
-1.1501065;0.8824712;-1.1310934;21.119999;-33.059998;-31.8;-2.7365725;11.250653;7.735965;
0.4980079;-1.3258066;0.812069;23.699999;-31.56;-32.16;-3.0813377;6.1390324;1.3455414;
-0.8868236;0.0028252518;-1.0492374;21.66;-32.34;-33.0;-3.0669725;8.5260515;10.371981;
0.017256944;-1.6287959;0.89025974;23.46;-30.96;-33.78;-2.9113493;3.5936968;2.6551697;
-1.1128438;-2.207896;0.8420014;20.34;-31.74;-35.399998;2.4301147;2.932897;8.341698;
-2.3431263;-0.78396916;-1.0095311;16.68;-30.599998;-39.42;-0.5315128;2.1523874;12.105383;
-0.5862779;-0.51885366;-1.4713453;15.059999;-25.74;-41.94;-2.9041667;4.5322237;12.193969;
-0.0071776668;0.9154579;-1.2966379;15.42;-23.22;-43.14;-6.4239426;4.9730563;11.00405;
0.63361996;0.35895967;0.65874183;19.08;-23.1;-42.6;-3.311181;4.098873;6.5340757;
-0.11285736;0.31253394;1.4137713;18.6;-23.82;-41.82;0.4285621;5.138256;7.3864117;
0.5035057;0.86048007;0.7625889;17.699999;-24.48;-41.28;1.2210429;5.1933227;11.035175;
0.9085093;1.2074515;0.3038291;16.98;-26.82;-39.3;0.44771573;4.3406878;11.152491;
0.9256136;1.603903;-0.3216969;20.1;-28.019999;-37.5;-2.27928;4.06296;8.217199;
0.710589;1.5483143;0.07108945;21.96;-29.58;-34.739998;-3.169923;3.9217024;9.134179;
0.4558582;1.4004849;0.60742915;24.6;-31.019999;-31.679998;-3.9624038;6.3856354;6.2755017;
0.34529158;0.7841219;0.56650114;25.859999;-31.74;-29.939999;-0.8523358;7.910742;2.504335;
0.2658791;0.018096883;0.21342105;25.56;-33.84;-29.4;-0.6847417;9.902718;2.3247697;
0.1516473;-0.5414557;-0.056581393;25.439999;-33.719997;-29.4;-0.5386954;10.412683;0.095768064;
-0.25396723;-0.80412775;-0.9734901;25.199999;-33.6;-30.0;0.33518824;12.071864;2.2864625;
0.36361754;-0.4602106;-1.4792866;24.42;-32.04;-31.14;-3.608062;10.920253;0.6751649;
-0.05177083;-1.2861004;-0.275882;24.6;-31.14;-30.0;-2.8514943;11.882722;0.62967503;
0.61346143;-1.2360095;-0.56909734;24.3;-30.3;-31.98;-2.657564;11.190798;1.1492168;
0.17058411;-0.1914299;-0.50251305;24.66;-31.439999;-33.059998;-2.4013844;10.711958;1.5275006;
0.6262896;-0.5787185;-0.04375322;24.72;-30.359999;-32.04;-1.2785037;9.56753;1.9991584;
0.023365596;0.11461359;-0.23189972;23.64;-31.8;-31.98;-2.066196;8.629003;1.42455;
0.2866485;-0.14072809;-0.24350616;24.42;-31.5;-31.439999;-1.1492168;9.325715;1.9895816;
-0.01450805;0.2092977;-0.73036575;24.3;-32.34;-31.38;-3.6966474;8.990526;2.384625;
-0.087201014;-0.48647782;0.12301299;26.279999;-31.14;-31.26;-4.036624;8.887576;4.0916905;
-0.043218717;0.20807597;-0.50373477;25.5;-30.72;-31.679998;-2.5761611;9.062353;3.940856;
0.14614952;-0.47303876;0.17249307;25.08;-29.939999;-31.199999;-4.0797195;8.293814;3.857059;
7.6358154E-4;-0.32582024;0.06009387;24.84;-30.779999;-31.26;-2.920926;8.739136;3.5170822;
0.1779145;-0.1614975;-0.07429648;24.24;-30.539999;-32.219997;-2.801216;9.031228;3.4811692;
0.011148291;-0.17493653;-0.08407033;23.58;-30.359999;-32.52;-4.1036615;8.437466;2.9759927;
0.08506299;-0.29283354;0.22075143;23.88;-30.599998;-32.579998;-2.8921957;8.552388;3.2920272;
-0.14095716;0.0071013086;-0.06574437;23.16;-30.9;-32.34;-3.5984852;8.518868;4.1012673;
-0.01572978;-0.09980011;0.088804536;22.32;-31.38;-32.34;-2.5785553;8.425495;2.8203697;
-0.045662176;-0.15355626;0.06314819;22.199999;-31.08;-31.38;-3.0597897;8.277055;4.0462008;
-0.0786489;-0.006948592;-0.038255434;20.88;-29.34;-32.34;-2.906561;8.533235;3.7229836;
0.001985312;-0.09246973;-0.014431692;19.92;-29.4;-33.239998;-2.896984;8.629003;3.9552212;
-0.09086621;-0.05215262;-0.013209961;20.34;-29.76;-32.46;-3.004723;8.5499935;3.4691982;
-0.01572978;-0.1175152;0.037491854;21.3;-29.699999;-33.239998;-3.229778;8.715194;4.0581717;
-0.0804815;-0.11690433;0.036270123;21.48;-30.119999;-33.059998;-2.554613;8.8205385;3.715801;
0.0795652;-0.26290113;0.08697194;21.18;-29.939999;-32.579998;-3.0789435;8.676887;4.120421;
-0.13912456;0.1091158;-0.11522446;19.8;-29.64;-33.84;-2.6144683;8.523658;3.2824504;
