gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.14042264;-0.14973834;0.2496148;-41.46;-25.439999;8.04;4.9036245;8.281843;-1.4772224;
0.28290698;-0.81374884;-0.0735329;-41.399998;-24.84;7.5;5.150227;8.856451;-1.8938135;
-0.12209669;-0.31100675;0.061468314;-40.079998;-25.199999;8.639999;4.4723687;8.265083;-3.1531637;
1.9139172;-2.7917306;0.14576772;-40.5;-25.019999;10.5;2.8562827;9.445425;-5.2986674;
0.83818346;-2.4502568;0.07735081;-38.52;-23.1;16.56;1.3479356;7.549217;-11.837233;
3.6243398;-4.2749114;1.2447143;-34.98;-22.32;23.4;-2.15957;4.3598413;-2.801216;
-0.5063309;0.78549635;1.028468;-31.38;-17.58;30.179998;3.0502129;9.225159;-18.33779;
0.6866889;-2.9139035;0.6307947;-32.94;-16.14;29.16;4.661511;6.974609;2.7940333;
5.6340866;-2.5308912;-0.027107146;-29.76;-13.799999;32.82;4.4077253;6.8644757;-13.199533;
-3.6406806;-0.9817368;1.6882025;-26.64;-4.56;38.16;3.0597897;3.265691;-19.159;
-1.1251374;-2.4643068;2.052889;-26.46;-7.2;39.48;10.2379055;3.241749;3.787627;
2.4911847;-1.7092773;1.8983401;-23.58;-4.68;43.5;7.3983827;2.8802247;-9.179668;
-0.9345475;-0.7636579;1.7633389;-20.82;2.1;46.32;8.265083;4.0581717;-8.3752165;
1.8711566;-1.3574189;0.57031906;-15.42;3.78;48.12;5.418378;-1.340753;-3.691859;
1.7410423;-0.4423428;1.7987691;-11.4;8.5199995;48.78;5.8110266;6.230012;-12.433389;
-1.3126731;0.1306488;-0.9855547;-10.0199995;10.32;47.7;3.0382419;2.1739352;-7.0679827;
0.74899715;0.022525655;-0.018555032;-10.26;8.5199995;48.78;3.490746;2.0111294;-7.261913;
-0.051236324;0.35789067;-0.7595346;-10.74;9.42;48.48;1.9033904;0.7374141;-8.095096;
0.2786309;0.34994942;0.022983804;-11.34;9.54;48.239998;2.5091233;2.1691468;-7.5420346;
0.102701716;0.48311806;-1.0667998;-13.799999;9.54;46.86;6.7711015;4.699818;-9.095872;
-0.11720977;0.56925005;-1.514564;-15.839999;8.94;46.26;6.608296;3.0023289;-9.20361;
-0.24060455;0.5313764;-1.5811484;-16.98;7.2599998;46.2;7.096713;2.5689783;-10.336068;
-1.598558;0.5093852;-1.0649672;-19.68;4.2599998;45.3;5.2531776;2.789245;-9.201217;
-0.79771364;0.8264243;-1.0808496;-20.4;-1.56;43.26;6.538864;5.0137577;-7.355287;
-0.10377073;1.0866529;-0.9910525;-20.1;-5.7;40.8;3.5194764;4.6830587;-6.977003;
-0.6034585;1.2760211;-0.54939693;-20.939999;-7.2599998;40.26;4.1180267;6.08636;-10.072706;
-1.1672871;1.6510924;-0.3899611;-23.4;-9.84;39.3;2.5019407;6.82138;-7.8604636;
-0.87651527;0.6712645;-0.122402124;-25.74;-12.78;37.2;0.9576807;6.8357453;-6.443096;
-1.7158442;1.2149346;-0.27145323;-26.58;-14.16;34.98;4.896442;10.412683;-6.4981627;
-0.7812203;1.2198216;-1.3917801;-29.099998;-18.42;31.8;-0.7398083;7.0177045;-12.612954;
-2.1000783;0.39637518;-1.0979539;-29.279999;-21.06;30.0;-4.223372;3.2345665;-12.790125;
0.2364812;-0.8711702;0.27710375;-28.619999;-24.9;26.58;-0.9648633;5.4159837;-6.692093;
-0.48372892;-0.7190648;0.31925344;-26.58;-25.38;27.9;2.2697031;9.00968;-4.5441947;
-0.6144541;-0.015347989;0.13416128;-26.519999;-26.46;28.08;4.6686935;10.455778;-2.4013844;
0.03306308;0.25098926;-0.03932445;-27.66;-26.939999;27.06;1.8291701;7.7215996;-3.6607344;
-0.05062546;0.18257235;0.081016004;-26.76;-26.939999;26.34;2.542642;7.6378026;-5.648221;
-0.05551238;0.05429065;-0.032604933;-27.84;-26.58;26.4;3.0454245;8.083124;-4.6950297;
0.24136813;-0.09292787;-0.064369924;-27.359999;-27.0;26.34;4.6591167;8.930672;-4.94672;
-0.31390837;0.27908906;-0.1559997;-26.939999;-26.16;27.18;3.5769374;8.480561;-3.5913026;
0.13568844;0.11476631;-0.1914299;-27.9;-26.82;26.939999;3.2824504;7.9059534;-4.4220905;
-0.087277375;0.22655465;-0.042378776;-27.779999;-27.24;25.8;3.3279405;7.8365216;-4.7429137;
0.054443367;0.1324814;-0.025274549;-28.199999;-27.0;25.26;3.3303347;8.104672;-4.7524905;
-0.0023671028;0.13736832;-0.010613783;-27.42;-26.279999;25.8;3.3063924;8.083124;-3.8666358;
-0.051847186;0.0035888334;-0.06009387;-28.32;-27.3;25.14;3.1196449;8.107066;-4.4675803;
-0.04757113;0.098883815;0.17203492;-28.32;-26.099998;25.98;3.2585084;7.9203186;-4.3502645;
0.06971499;-0.014737124;-0.038713586;-28.68;-27.119999;25.68;3.311181;8.339304;-3.7612908;
-0.15263996;0.34384078;0.056581393;-28.74;-27.0;25.619999;3.9983168;8.437466;-4.0222588;
0.10636691;0.07506007;-0.10713049;-29.34;-27.48;24.66;3.9576154;8.221988;-3.9432502;
-0.03901902;0.10987939;0.065133505;-29.34;-26.58;25.32;3.9911342;8.490138;-4.522647;
0.03733914;-0.0019089539;-0.119347796;-29.82;-26.46;25.32;3.620033;8.090307;-4.0438066;
