gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.46685377;-0.25297457;-0.24045183;9.96;-32.16;-25.439999;-0.557849;6.4478846;6.4981627;
-0.05971208;0.16180293;-0.24045183;9.66;-32.7;-25.019999;-1.7669208;6.440702;6.98658;
0.18524489;-0.07948884;0.020998493;9.66;-31.859999;-24.72;-1.3862427;7.1996636;8.133403;
1.0196868;-1.3238213;-0.08407033;10.559999;-33.12;-25.32;-0.46926352;8.607454;8.257901;
1.3807082;-2.0134883;-0.6729444;9.48;-35.52;-24.779999;1.3479356;11.056723;6.6370263;
1.0135782;-0.24686591;-0.6130796;6.0;-38.34;-24.66;-1.0055647;10.12059;9.103054;
2.3354905;-0.5077054;-0.4957935;6.54;-39.899998;-22.74;-0.8690952;9.83568;7.508516;
2.3098342;0.12331842;0.010002919;6.54;-41.64;-19.38;-2.5210943;8.063971;3.0669725;
1.834581;-0.9860129;-1.1097131;6.66;-43.5;-14.58;-0.581791;9.251494;-0.1340753;
1.5859588;-0.42401683;-0.40172026;8.46;-44.399998;-10.5;-1.9512744;8.205229;0.05267244;
0.12232576;-1.7575357;-0.38400516;9.599999;-45.3;-8.16;0.4381389;9.8955345;-0.20590134;
-0.07070765;-0.46433395;0.037491854;12.059999;-45.66;-7.7999997;0.51714754;8.29142;7.4223247;
0.6782131;-1.7691422;-0.12927435;12.96;-43.32;-7.5;0.92655605;9.2347355;0.34237084;
-0.33582318;-0.34277177;-0.14026994;13.62;-42.6;-7.68;3.5218706;7.984962;5.588366;
-0.8019133;-0.44112107;0.1633301;14.16;-41.28;-8.88;2.0685902;7.4821796;1.8746599;
1.0526736;-0.83512914;-0.15920675;13.2;-39.6;-11.16;4.367024;6.3138094;9.993697;
0.7912232;-0.73311466;1.1089495;13.139999;-38.64;-10.559999;2.348712;7.2092404;1.364695;
-0.52274793;-1.1729376;1.1559861;10.679999;-39.12;-10.26;4.261679;8.708011;6.6298437;
0.38866302;-0.7917577;0.8291732;8.639999;-39.54;-10.86;3.3207579;8.145373;3.715801;
