gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.30909783;0.21968241;0.22831088;-24.18;-11.34;-40.2;6.002563;6.0432644;5.207688;
0.3145956;0.065133505;0.2759584;-23.519999;-12.3;-40.68;5.4159837;6.0935426;5.777508;
0.07086037;0.566043;0.1421789;-22.619999;-13.139999;-39.899998;4.7788267;6.064812;7.616255;
0.95172805;0.82199556;0.5141958;-20.82;-13.139999;-40.86;3.9863458;5.1430445;11.027992;
1.5039502;1.3601679;0.5349652;-20.16;-13.259999;-40.379997;5.336975;5.992986;8.928277;
1.3029755;1.8708512;0.43600506;-17.52;-16.26;-39.3;5.480627;5.2986674;9.555558;
1.6560557;2.071215;0.45433104;-14.94;-19.199999;-38.28;5.964256;4.9778447;9.720758;
2.0769417;2.2770765;0.61743206;-11.04;-21.72;-37.8;6.574777;4.292804;9.608231;
1.8020525;2.3571;0.47876564;-7.7999997;-24.0;-35.64;7.9442606;5.2388124;7.1469913;
1.9077321;2.4132996;0.7322747;-5.1;-28.199999;-33.0;7.3241625;3.952827;8.904335;
2.0054705;2.203162;0.5545129;-3.84;-30.9;-29.64;8.516475;4.5298295;5.183746;
1.5870279;2.148184;0.60032785;-1.62;-35.04;-27.0;8.224382;4.5154643;3.7110126;
1.3616186;1.6155095;0.48731774;-0.84;-37.079998;-24.119999;8.41113;4.110844;1.412579;
1.5754215;1.2709816;0.3352123;-0.06;-38.76;-21.539999;9.653721;4.735731;1.6280571;
2.0048597;0.5098434;0.54901516;-0.17999999;-40.44;-18.42;7.534852;6.514922;-3.679888;
0.9224065;0.1427134;0.21303925;-0.96;-41.34;-13.799999;8.356063;11.537957;-2.9017725;
0.26267207;-0.5994879;-0.3831652;-0.59999996;-42.0;-11.16;6.4454904;13.096582;-0.47644615;
0.61453044;-0.5817728;-0.49189925;0.12;-41.76;-9.96;5.942708;13.166015;2.7006595;
