gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.18822286;-0.114308156;0.3375794;-39.899998;18.359999;-3.12;9.182063;1.7286136;2.0278888;
-0.3542255;-0.24992025;0.20624338;-39.84;18.48;-3.84;9.10066;1.8267759;2.5187001;
-0.4629595;-0.091095276;0.07551821;-39.6;19.02;-2.34;9.007286;1.6448165;3.9073372;
-0.33162346;-0.38919753;-0.0753655;-39.78;19.439999;-2.46;9.301773;2.657564;8.5476;
0.8534551;-0.09048442;-0.23602305;-38.879997;19.08;-2.04;5.566818;3.6631286;14.880562;
2.53028;0.4715116;0.29176453;-39.239998;15.9;-2.8799999;6.1270614;2.4636335;16.695368;
3.6451092;2.500195;0.38889208;-38.579998;14.099999;-6.72;9.383176;0.7134721;15.02182;
4.218101;2.9216921;0.4365396;-38.28;13.259999;-13.559999;11.808502;-2.2409728;13.831602;
4.3463826;2.9925525;0.50006956;-35.219997;10.5;-20.88;17.03295;-4.096479;5.856517;
2.8424323;2.9785025;0.29848403;-31.56;6.06;-26.939999;14.420576;-7.7982144;2.1619642;
3.882736;1.5612952;1.1268173;-29.519999;1.9799999;-31.56;10.400711;-7.843704;-8.183681;
1.4240032;0.42997277;0.8128326;-27.3;-2.22;-32.82;12.756606;0.50996494;-10.3097315;
-0.64316475;-0.3122285;0.035811976;-27.18;-3.54;-32.34;10.7789955;5.6410384;-0.9720459;
-0.23144157;-0.90354604;-0.30505082;-26.46;-1.9799999;-32.46;11.722311;13.213899;2.4995465;
1.4191164;-1.4997505;-0.7430412;-28.019999;-3.06;-31.26;16.238075;20.90198;6.1653686;
1.8186222;-1.5443437;-2.30258;-30.06;-5.4;-29.099998;18.333;21.668123;6.6657567;
1.5602262;-1.7343228;-3.5744016;-30.9;-12.66;-25.98;17.935564;15.325884;8.391976;
3.0782263;-2.100842;-3.5560756;-28.26;-19.98;-21.9;16.956335;9.912294;8.708011;
1.5864934;-2.1020637;-3.939088;-24.119999;-29.16;-13.08;9.981726;2.1667526;7.838916;
0.46799913;-0.45333838;-3.603723;-15.54;-35.94;-7.62;3.359065;-8.640973;10.99208;
2.0666335;-0.6897432;-1.854816;-10.08;-39.059998;-5.8799996;-3.7181952;-12.732664;0.6344634;
0.9347002;-0.36231944;0.3290273;-4.5;-41.1;0.24;-2.2864625;-5.279514;-6.4359136;
0.94630665;-1.0318278;0.6008623;-4.5;-40.02;2.76;1.5394717;1.8890251;-7.9442606;
0.7129561;-1.2468523;0.9887618;-6.0;-39.48;5.2799997;3.6272156;5.4734445;-9.787796;
1.1210141;-2.417881;1.3723851;-7.98;-39.54;7.74;4.3263226;6.9602437;-15.392921;
-0.8471937;-3.2230015;1.345507;-10.38;-37.44;12.24;8.763078;8.214806;-12.521975;
-1.480661;-3.900451;0.8769734;-10.679999;-37.62;12.12;8.8684225;8.482956;-6.917148;
-1.1703415;-4.49299;0.7040986;-10.86;-37.44;11.04;6.7615247;8.312967;5.6889224;
-0.8337547;-3.3170745;0.955775;-9.179999;-37.8;12.3;2.0566192;10.723928;11.051934;
-0.3047454;-1.8790978;0.36018142;-9.059999;-37.86;11.94;-0.62728083;12.170027;13.017574;
0.21693352;-0.1961641;0.26855165;-9.179999;-36.96;13.92;-2.528277;9.794978;10.680833;
0.3000112;0.5631414;0.081016004;-10.139999;-36.84;14.58;-2.1547816;6.2874727;3.3087866;
0.2664136;0.7806094;0.59047765;-10.32;-35.76;14.639999;-3.157952;-1.364695;1.9177556;
-0.15386169;1.0952051;1.7584519;-12.24;-35.219997;15.24;-1.2425907;-3.6966474;-0.50757074;
-0.083001316;0.9510408;2.6387088;-17.58;-33.6;14.16;2.2409728;-4.4819455;0.92895025;
-1.0420598;1.213102;3.6173148;-25.38;-30.3;12.059999;5.777508;-5.1526213;1.0247183;
-1.9779053;0.9913579;5.0528483;-32.82;-24.779999;7.2599998;11.001657;-6.455067;1.9201498;
-1.1410199;0.6651559;6.922096;-38.76;-14.7;1.8;23.866001;-1.2162545;6.0696006;
-0.38171443;0.5839108;6.313063;-43.14;0.9;-0.96;35.301308;9.1389675;3.1747115;
-1.8117499;0.89056516;3.7419314;-40.92;17.22;-0.78;32.607533;12.694357;0.055066638;
-2.0383809;0.5124396;1.3907111;-38.64;23.22;0.17999999;21.071968;10.290578;1.2737153;
-1.7488308;0.48983756;0.3675118;-36.719997;24.6;0.96;14.073417;5.803844;2.456451;
-0.5826891;-0.007406741;0.2691625;-35.82;25.26;1.14;10.482115;2.6743233;3.8642416;
0.08926269;-0.18089247;0.28443414;-35.46;25.56;1.1999999;10.8987055;1.6352397;2.3798366;
-0.17707457;-0.14118622;-0.04970916;-35.76;25.74;2.7;10.551546;0.44771573;2.1859062;
-0.22838724;0.026190847;-0.19326249;-35.28;24.9;3.12;10.345645;-0.78769237;2.9113493;
0.06116288;-7.6358156E-5;-0.16577356;-36.12;24.84;3.24;10.051158;-1.460463;2.8514943;
0.31650457;-0.032452215;-0.15050192;-35.399998;25.92;2.9399998;9.31135;-1.9393034;2.5378537;
0.64515007;-0.16012305;0.15798502;-36.239998;24.66;2.6399999;8.8923645;-1.8866309;2.2625206;
0.74349934;-0.1924989;0.16653714;-36.0;25.92;2.22;9.732729;-1.5682021;1.7405846;
