gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.50579643;-0.7192175;-0.04718934;-12.78;-4.2599998;-44.64;3.8714242;4.618415;7.0392523;
-0.021380283;-0.490143;0.5856671;-13.98;-4.02;-45.66;3.1411927;4.307169;8.380005;
-0.13194689;-0.32948545;0.24236079;-14.94;-3.3;-45.059998;4.309563;5.5572414;7.5037274;
0.6597345;-1.976989;1.184315;-16.859999;-6.24;-46.5;-0.7302315;1.7501614;15.210962;
1.8240436;0.8464302;1.3321444;-21.66;-11.099999;-45.48;2.1164744;5.016152;13.297695;
2.375044;2.5556312;1.0462594;-20.1;-14.28;-45.36;5.981015;4.9155955;17.28434;
1.9168952;3.671071;0.9839512;-15.42;-18.06;-44.219997;3.371036;3.181894;15.069704;
3.6291504;3.6796231;1.5642731;-9.36;-21.0;-44.16;8.324939;1.0175357;16.922815;
3.5185838;3.933743;1.5752687;-4.56;-27.3;-39.899998;11.849203;-0.09816227;10.817303;
3.590055;3.1292336;1.2392929;-2.04;-32.46;-33.36;17.720085;0.3854665;1.5035586;
-0.081855945;2.3552673;0.513585;-0.17999999;-37.86;-29.22;12.165238;-2.078167;-1.4628572;
1.3768903;1.2697598;1.1702651;-0.12;-39.18;-27.779999;14.547469;-0.35673606;0.36152446;
0.8900307;0.34613153;0.9088148;-0.53999996;-42.84;-25.019999;11.909059;6.4000006;-3.9600096;
0.20158553;-0.29283354;-0.18096884;-1.68;-42.42;-24.06;11.200375;16.02978;-2.789245;
0.9016371;-1.4143821;-0.5890268;-1.5;-43.62;-24.06;12.780548;23.83727;1.9991584;
1.4715744;-1.4039974;-1.8419114;-0.48;-44.28;-22.08;11.547534;25.8487;7.6856866;
2.7800477;-1.3300827;-2.787531;3.54;-45.719997;-18.24;11.265018;18.17259;12.507609;
3.2168164;-1.3862823;-3.0691397;9.599999;-45.78;-12.719999;9.337686;10.077495;10.664074;
3.0494392;-1.4479797;-2.6140451;16.02;-44.219997;-7.14;5.767931;-0.055066638;7.474997;
2.83808;-1.5970309;-0.9127854;21.06;-42.239998;-2.3999999;-1.1540052;-6.1510034;0.7182605;
1.72264;-1.6703347;0.14156802;24.24;-40.2;1.68;0.62009823;-4.1611223;-6.196493;
1.2974777;-2.3697753;0.8379544;25.68;-40.8;3.54;0.5434838;-1.9273324;-7.735965;
1.210735;-2.49317;1.4763086;24.48;-41.399998;3.3;3.4261026;2.195483;-9.993697;
0.960891;-3.0484467;1.6650659;22.74;-42.48;0.84;6.644209;6.9841857;-12.488456;
-0.66523224;-3.7619371;0.7677049;20.039999;-44.16;-0.84;9.598654;10.316915;-11.224317;
-1.6719382;-4.202371;-0.45097128;16.619999;-46.559998;-8.639999;8.911518;10.077495;-3.25372;
-1.1038336;-4.0026183;-0.8181013;14.46;-45.48;-15.24;3.4452562;7.640197;10.027216;
0.68600166;-3.6648097;0.20082195;11.04;-44.82;-17.699999;-4.76925;7.6737156;13.632884;
0.3744604;-1.7674623;0.6217081;9.3;-44.46;-17.46;-6.122273;7.922713;14.291289;
1.2852604;-0.26595545;0.79152864;7.3799996;-44.219997;-15.719999;-5.856517;5.990592;7.570765;
0.54183745;0.7413613;1.1018482;6.24;-44.94;-12.9;-5.245995;0.5770026;5.1071315;
0.62858033;1.2569315;1.669342;3.9599998;-45.18;-11.46;-1.4796166;-1.1420342;0.91219085;
-0.20097467;1.4316391;2.0468566;1.62;-45.18;-10.62;0.8834604;-2.4899697;-0.04309563;
-1.269378;1.5971836;2.5648704;-3.0;-43.379997;-12.36;3.6750996;-2.621651;-0.033518825;
-2.4330764;1.48173;3.3944254;-5.94;-41.879997;-16.619999;6.304232;-1.5562311;-0.9576807;
-2.2699752;0.9301187;4.4426703;-10.559999;-40.079998;-20.699999;11.566688;6.977003;2.360683;
-3.2516358;0.15798502;3.0095804;-17.64;-34.02;-25.619999;20.652983;21.1414;-3.2752678;
-2.8820622;0.10239629;2.2985332;-20.16;-28.8;-31.439999;15.383345;17.3011;16.884508;
-0.61208695;0.7877871;1.5825992;-24.84;-21.24;-36.84;10.563518;17.791912;7.218817;
-1.2980887;0.39133555;0.70661837;-25.68;-18.3;-38.879997;10.448595;13.549087;2.8874073;
-0.42394048;0.23189972;0.64858615;-25.08;-14.5199995;-40.86;8.111855;9.337686;6.426337;
0.1282817;-0.05215262;0.3407101;-25.38;-13.2;-41.04;8.470984;9.466972;2.0326772;
-0.6291912;0.11827879;-0.0154243475;-27.06;-12.179999;-40.62;7.546823;7.5564;3.821146;
-0.18570304;-0.0313832;-0.07162395;-27.42;-10.98;-41.219997;7.1015015;5.9594674;4.733337;
-0.03970624;0.2392301;0.0664316;-25.98;-9.719999;-40.86;7.597101;5.5452704;4.6710877;
0.16187929;0.019318614;0.0364992;-26.22;-10.5;-41.52;7.2475476;4.982633;4.477157;
0.14477506;0.2673299;0.17577648;-26.039999;-10.62;-41.04;3.7588966;4.8602295;6.3377514;
0.14660765;0.052916203;-0.027030786;-25.92;-11.04;-41.16;6.998551;4.9658737;3.8259344;
-0.26939157;0.09323331;0.13545936;-25.68;-10.92;-41.219997;9.593865;4.4460325;5.1526213;
0.1001819;0.03214678;-0.20662516;-25.019999;-10.2;-41.1;7.010522;4.76925;3.679888;
