gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.34842226;0.14538592;0.22571471;-30.599998;-1.68;-37.68;6.268319;3.9719806;5.954679;
0.28122708;0.45631635;0.29535335;-29.76;-2.04;-39.0;6.2515597;4.158728;7.285855;
0.340481;0.63529986;0.2678644;-28.38;-2.04;-38.82;5.2483892;3.9911342;8.324939;
0.7625889;0.64812803;0.528093;-28.019999;-1.8;-39.239998;4.0054994;3.643975;11.109395;
2.7369053;1.2712106;0.464563;-26.46;-4.2;-40.2;4.1946416;3.3399115;12.304102;
1.8132771;1.8924606;0.89644474;-24.06;-8.099999;-41.879997;5.0089693;4.9275665;9.141361;
2.3251822;2.3426683;0.8567385;-20.88;-10.8;-42.48;4.280833;3.2010477;12.474091;
2.2469914;2.4055874;1.0351112;-16.92;-14.4;-43.92;5.9235544;2.542642;9.040805;
1.9989802;2.6145031;1.5115861;-13.86;-17.699999;-42.54;5.743989;1.7166426;9.024046;
2.2433262;1.9107865;2.201253;-9.059999;-20.34;-43.379997;6.4119716;1.685518;6.428731;
0.6269768;1.518611;2.214081;-7.9199996;-22.68;-40.379997;11.442189;3.0262709;5.466262;
1.6892715;1.3286319;0.89827734;-7.2599998;-24.119999;-41.34;9.14615;1.9057846;5.4878097;
1.093067;1.1166617;0.528093;-7.08;-25.859999;-40.32;8.796597;2.4708161;2.834735;
0.73571086;0.8167268;0.56230146;-5.58;-27.18;-38.579998;8.121431;2.9951463;2.0566192;
0.28855747;0.50579643;0.6948592;-5.52;-28.14;-37.86;8.322544;3.8666358;1.0295067;
1.1657599;-0.33414328;1.0503827;-6.48;-28.98;-37.26;8.672098;5.698499;0.48602295;
0.5341253;-0.7770206;0.25686884;-6.72;-31.14;-35.04;11.461343;11.751041;1.934515;
-0.1653154;-0.79229224;-0.7974846;-8.82;-32.219997;-34.32;9.651326;14.540286;5.06643;
0.9140835;-1.0030408;-1.2739595;-8.58;-31.92;-33.899998;8.710405;13.8363905;9.289802;
1.4003322;-0.71837753;-1.5842791;-8.82;-34.2;-31.98;8.123826;12.359168;7.762301;
1.6410131;-0.6591236;-1.8102992;-7.3799996;-36.3;-29.58;6.5436525;10.173263;6.98658;
1.7741817;-1.0005972;-1.5818355;-4.02;-38.7;-25.859999;5.018546;8.420707;5.6769514;
1.7937294;-0.979217;-1.3362677;-3.54;-40.44;-23.519999;4.369418;7.1374145;4.173094;
1.746082;-1.1044444;-0.84574294;0.53999996;-43.62;-18.48;2.822764;6.443096;2.966416;
1.5707636;-1.0769554;-0.46944994;-0.48;-44.1;-15.54;2.480393;5.952285;0.5363012;
1.8010598;-1.2565498;-0.5439755;1.5;-45.18;-12.84;2.2577322;6.2228293;-0.7278373;
1.2176836;-1.1160508;-0.4364632;1.3199999;-46.92;-9.24;2.6001031;6.7615247;-2.5737667;
0.67951125;-1.0977248;-0.419359;3.24;-46.68;-5.64;1.9991584;6.5460467;-1.7621324;
0.49625164;-0.6719518;-0.17867808;2.3999999;-47.579998;-3.48;0.40701428;6.4981627;-1.7645266;
1.047863;-1.0635164;-0.06566802;4.5;-46.739998;-3.0;0.91219085;7.204452;-1.9560628;
0.6269768;-0.48808134;0.0888809;2.1599998;-47.34;-0.17999999;-0.088585466;6.77589;-3.2489316;
0.3386484;-0.57971114;-0.009468411;2.52;-47.039997;0.9;0.39743748;6.8525047;-3.4620156;
0.7522042;-0.09101892;0.4334089;2.34;-46.079998;2.46;-1.9991584;7.1015015;-3.2561142;
0.54695344;-0.56505036;0.42730024;2.28;-47.34;2.8799999;0.8690952;7.340922;-5.6649804;
0.0051159966;-0.27000242;0.35033122;1.26;-46.68;4.08;1.8579005;7.8604636;-5.490204;
-0.29970577;-0.3549127;-0.124311075;0.17999999;-47.46;4.92;0.60812724;7.0536175;-6.407183;
-0.10789407;-0.61941737;0.26847526;0.71999997;-48.0;4.74;1.0702082;7.0177045;-6.1270614;
-0.10972667;-0.7666359;0.34605515;1.26;-47.34;4.08;1.340753;7.2595186;-5.9498906;
-0.31375566;-0.9645562;0.52015173;0.17999999;-47.34;3.54;2.1308396;7.6952634;-6.5053453;
-0.44264823;-0.9755518;0.5500842;0.17999999;-47.52;3.24;1.388637;7.388806;-5.4255605;
-0.37545305;-1.2382239;0.763887;-0.35999998;-47.52;3.72;2.006341;7.913136;-5.7511716;
-0.46769372;-1.3359623;0.73273283;-1.26;-46.8;2.9399998;2.681506;8.162133;-5.7751136;
-0.5428301;-1.5045611;0.8188649;-2.82;-46.86;0.84;2.6719291;8.071154;-5.3896475;
-0.60697097;-1.6841555;0.9098838;-3.8999999;-46.62;0.78;3.0478187;8.459014;-4.922778;
-0.5092325;-1.8118263;1.0436633;-6.42;-47.76;-0.59999996;3.4261026;8.827721;-3.821146;
-0.54588443;-1.8698585;0.9257663;-6.72;-47.7;-1.56;2.60968;8.482956;-3.1172507;
-0.040698897;-1.9651535;1.2153164;-8.82;-47.34;-1.74;3.6750996;9.395146;-3.2249897;
-0.3644575;-1.8319849;1.1053606;-11.04;-46.2;-1.02;3.4356794;9.8715925;-3.040636;
