gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.043982297;-0.0753655;0.23136522;-16.8;-28.38;-13.62;5.4518967;5.708076;3.5553896;
-0.28221974;0.4976261;0.44822237;-16.8;-27.24;-14.34;6.083966;5.806238;5.329792;
0.3042109;0.4084398;0.39813143;-17.16;-27.84;-13.74;5.894824;5.818209;7.2595186;
0.3145956;0.42432228;0.59727347;-17.64;-27.48;-14.94;3.3662477;5.102343;10.292973;
1.8509218;1.0675634;0.91919947;-18.779999;-27.539999;-14.639999;3.7205894;3.940856;14.066235;
2.497828;1.8012125;0.8874345;-19.32;-29.46;-13.799999;7.144597;6.332963;9.318532;
1.4269812;2.579455;0.5160284;-19.74;-30.539999;-11.639999;6.026505;6.3856354;13.075035;
3.1215215;2.674139;0.52274793;-19.199999;-31.98;-12.179999;9.328109;5.2364182;8.763078;
2.9455922;2.7217865;0.45921794;-18.18;-33.0;-4.92;12.893075;5.1191025;7.508516;
2.701857;2.6460392;0.2350304;-19.32;-34.62;-1.0799999;11.870751;2.9759927;1.4173675;
1.9254472;1.9783635;0.29184088;-20.76;-33.96;1.92;10.099042;2.1883004;-3.4141316;
0.6047566;1.3222942;0.25518894;-22.32;-32.64;2.8799999;9.074324;2.992752;-2.719813;
-0.29016098;0.9710467;-0.028863383;-23.64;-31.8;2.8799999;7.690475;4.9012303;-0.93134445;
0.9242391;0.10789407;-0.12843442;-23.039999;-33.12;1.5;6.253954;8.518868;0.35194764;
0.9083566;-0.2140319;-0.10888673;-22.92;-33.0;1.92;6.488586;15.055339;0.17477672;
0.8436049;-0.7369326;-1.182177;-22.26;-33.66;4.02;9.26586;19.903597;-0.6536171;
1.3652838;-0.85605127;-2.0270035;-20.52;-34.02;6.0;7.4438725;18.603546;2.315193;
0.8020661;-1.5988634;-2.741716;-14.28;-35.579998;11.7;6.220435;15.407287;3.4572272;
