gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.21762075;-0.076358154;0.13920091;-39.059998;-28.26;-14.4;7.2930374;4.3526587;4.271256;
0.018784106;0.1685988;0.18379408;-39.48;-27.779999;-14.639999;7.666533;4.747702;5.89243;
0.35964692;0.20525073;0.2308307;-40.379997;-26.519999;-14.759999;6.265925;5.1885343;7.8365216;
1.1330023;0.09101892;0.37071884;-39.66;-26.82;-13.38;5.8541226;8.6697035;17.267582;
1.6308575;2.9523118;0.21067216;-38.219997;-27.3;-13.5;2.8658595;2.9951463;22.544401;
3.958865;3.3298264;0.4806746;-35.94;-28.5;-16.38;10.348039;1.553837;15.507843;
3.3400583;4.850881;1.0377837;-33.84;-30.599998;-14.88;13.491626;-1.0606314;7.690475;
3.944815;3.5369098;1.1966087;-34.26;-29.82;-15.0;12.213122;-3.169923;2.1045034;
2.761569;1.8930714;1.3285556;-36.899998;-28.92;-16.26;16.652271;1.5107412;-7.5061216;
0.18432859;0.8875872;-0.24625506;-37.26;-28.98;-17.88;14.897322;3.8833952;-5.638644;
1.048703;-0.27916542;-0.22853996;-37.02;-28.68;-20.1;12.28016;11.628937;-3.0909145;
2.462245;-2.1331415;-0.82169014;-36.36;-30.06;-17.279999;15.486295;24.637234;-4.0294414;
0.054825157;-2.4868324;-3.2052863;-37.86;-33.239998;-12.179999;19.012955;25.245361;3.4524388;
0.7432703;-1.9804251;-4.481384;-32.76;-38.52;-7.68;14.480432;12.723087;16.951546;
2.4164302;-1.0274754;-4.2297072;-24.84;-45.059998;-3.6599998;10.281001;1.1013328;13.359944;
1.6039795;-0.15332718;-3.188793;-16.32;-49.86;1.38;0.062249243;-8.775048;6.0552354;
1.6418531;-0.5552765;-0.917596;-8.4;-52.079998;5.58;-1.8148049;-8.607454;-0.61770403;
1.5086844;-0.8179486;0.6669885;-5.46;-52.26;10.92;-0.4309563;-3.7134068;-5.3226094;
2.109165;-2.0781636;1.4922675;-5.1;-50.039997;14.16;2.2577322;1.7860745;-12.694357;
0.9967794;-3.1196887;2.206369;-7.3199997;-47.7;19.619999;7.616255;7.4295073;-16.463129;
-0.787558;-4.0543127;1.4605024;-6.06;-46.26;21.9;10.008062;10.429441;-12.050317;
-2.8620565;-4.416556;0.60223675;-3.4199998;-46.98;21.24;8.810962;9.057565;2.5091233;
-1.0722213;-3.9174788;-0.105756044;1.4399999;-50.16;15.54;3.205836;8.092701;19.041685;
-0.1815797;-1.7403551;0.2925281;3.9599998;-50.82;13.2;-0.7565677;7.9921446;16.920422;
0.86666507;-0.3567453;0.49167016;5.04;-52.5;13.679999;-3.0454245;4.3502645;10.371981;
-0.28298333;0.37507126;0.85452414;4.62;-51.3;14.219999;-2.0278888;-0.19153613;2.255338;
-0.7893906;0.57726765;1.920484;0.65999997;-51.84;13.74;-0.9911995;-3.6296098;2.7102363;
-1.267698;0.46853364;2.8966467;-3.48;-52.739998;11.94;1.532289;-4.7165775;3.086126;
-1.7227927;0.44104472;4.522159;-10.139999;-52.44;7.74;5.5189342;-4.355053;3.6224272;
-1.2176071;-0.25167647;6.126902;-20.82;-48.66;1.92;14.06384;2.705448;8.691252;
1.1232284;0.1423316;5.0132947;-34.68;-40.68;-1.86;27.84307;18.526932;1.2569559;
-2.6048822;0.82772243;2.6345854;-39.6;-31.679998;-2.22;22.905926;18.462288;-0.45010993;
-1.6048957;0.13927728;1.2442561;-41.82;-24.72;-6.66;16.558897;12.694357;6.431125;
-0.15714508;0.26816985;0.78549635;-42.719997;-22.26;-9.84;12.991238;9.572318;4.7548847;
0.069485925;0.1740966;0.22044599;-42.84;-20.4;-9.24;10.999262;7.285855;1.9297266;
-0.58169645;0.12767084;-0.15706873;-42.719997;-19.8;-9.66;9.332897;5.0951605;1.9153614;
-0.55848354;0.005497787;-0.24136813;-41.879997;-19.199999;-10.26;8.590695;3.5936968;3.8618474;
-0.10216721;-0.009162978;-0.06971499;-42.3;-20.039999;-9.96;8.545205;3.0621839;3.4476504;
-0.16997325;-0.069027774;-0.14607315;-41.82;-21.119999;-11.5199995;9.00968;2.6982653;3.2513258;
-0.16325374;-0.06352998;-0.07338019;-42.42;-21.18;-11.04;8.78702;2.1332338;3.2800562;
-0.077121735;-0.021380283;0.051236324;-42.42;-20.939999;-10.32;8.741529;2.1787236;3.6104562;
0.048716504;-0.0030543262;0.06345363;-42.48;-20.82;-10.38;8.729559;2.528277;3.347094;
-0.081397794;0.02687807;-0.0055741454;-42.42;-20.039999;-9.96;8.976161;2.552219;3.406949;
0.035277467;0.029321533;0.029245174;-42.6;-19.5;-10.679999;8.863634;2.554613;3.2249897;
-0.03191771;0.03604105;-0.01656972;-43.079998;-20.279999;-10.74;9.02644;2.597709;3.2034419;
-0.044135015;0.23335053;-0.011682798;-42.84;-19.439999;-10.559999;8.980949;2.2409728;3.9360676;
0.12385293;0.24862215;-0.050778173;-41.64;-20.4;-11.099999;9.543588;2.8514943;3.5649664;
0.063988134;-0.0;-0.10086913;-42.3;-21.119999;-11.34;8.810962;2.6647465;3.086126;
-0.28848112;0.069027774;-0.21998784;-41.76;-20.16;-11.639999;8.803779;2.4061728;3.1411927;
-0.20112738;0.007941248;-0.028787024;-42.0;-21.0;-11.639999;8.657733;2.2649148;3.5242648;
