gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.71158165;-0.11385001;0.24953845;-32.76;-0.24;-26.22;3.667917;5.219659;7.1829042;
0.48006374;-0.4253913;0.12370021;-31.56;-0.9;-27.24;4.027047;5.767931;6.8979945;
-0.2242639;0.10972667;0.0571159;-32.64;-0.59999996;-24.96;2.4540567;6.08636;8.681675;
0.1923462;-0.13156511;0.0290161;-32.28;-2.22;-24.96;0.6727707;4.4723687;11.980885;
0.41225767;0.48540878;-0.13041973;-32.579998;-2.1599998;-25.619999;-1.0199299;3.3854012;13.77893;
0.2467132;0.74258304;0.7870999;-32.579998;-5.22;-26.939999;-3.2273839;-1.0271125;16.587627;
1.9168187;2.3815346;2.1664336;-31.019999;-6.54;-28.859999;1.5107412;-3.3063924;17.839796;
2.91314;3.0540972;2.6801713;-27.0;-6.8999996;-31.08;6.8620815;-3.0358477;15.00506;
2.949181;3.4707072;2.7046058;-23.699999;-7.8599997;-35.46;10.740688;-1.8100165;10.52521;
2.618703;3.6228127;2.2366831;-18.96;-10.679999;-36.18;9.794978;-2.066196;7.927501;
3.616246;2.9123764;2.2782218;-13.62;-14.16;-36.899998;17.425598;7.240365;2.054225;
-0.4179082;2.089541;0.27214047;-9.36;-17.94;-35.04;8.877999;6.9363017;-5.102343;
-0.35865426;0.21968241;0.87995136;-5.8199997;-16.5;-36.36;8.468591;8.061577;3.1292217;
2.1825452;-0.3478114;0.25686884;-5.52;-16.38;-36.96;11.837233;15.694591;1.2066777;
0.9675342;-1.4088843;-0.95325524;-7.08;-19.619999;-35.1;9.368811;20.935497;0.2657564;
1.181948;-2.0026453;-1.81091;-7.74;-23.82;-34.14;5.9474964;19.434334;10.513239;
2.2527947;-0.90614223;-2.5934284;-8.88;-28.439999;-30.779999;7.814974;13.647249;14.875773;
2.6211464;0.044974953;-2.5677722;-6.2999997;-34.739998;-27.3;4.4556093;5.882853;11.794137;
3.5948656;0.18975002;-1.7504344;-3.3;-39.719997;-22.98;2.1619642;0.7398083;6.902783;
3.2698853;0.07918341;-1.7919732;2.34;-43.739998;-13.74;3.1483753;0.16280572;-2.0254946;
2.3621395;0.17692184;-0.98929626;7.2;-45.18;-6.48;-1.9919758;-1.2641385;-5.1765633;
1.8429041;-1.4980706;0.473726;8.34;-46.68;-0.17999999;1.0654198;1.5921441;-7.7790604;
0.8844565;-1.6752216;0.9575313;7.5;-46.739998;2.76;1.673547;2.9951463;-7.4893622;
1.2491431;-2.30258;1.5561792;5.22;-47.039997;4.5;2.7485435;4.7285485;-8.353669;
0.92721707;-2.9030607;1.8903224;1.62;-46.68;8.58;2.8443117;5.885247;-9.148544;
-0.44661885;-3.6165514;1.9960022;-2.58;-46.86;9.48;4.620809;7.9562316;-8.454226;
-1.3494776;-4.0826416;1.4450017;-5.52;-46.2;8.88;6.0576296;10.8747635;-3.145981;
-1.9096411;-3.9238164;0.6582073;-9.059999;-44.879997;6.96;4.8626237;12.237064;8.454226;
-0.62743497;-2.3154085;0.4541783;-9.24;-45.6;4.02;-1.7717092;11.358392;15.35222;
-0.08620836;-0.59093577;0.011301007;-10.62;-45.36;4.44;-2.4636335;11.279384;9.313744;
-0.35315648;0.275882;-0.28985557;-10.26;-45.36;4.2;-3.8666358;7.582736;5.8876414;
0.46051604;0.4377613;0.28069258;-9.84;-45.42;3.9599998;-3.4045548;4.0294414;2.0231004;
-0.2859613;0.46830457;0.6600399;-10.8;-45.719997;4.68;-2.0326772;2.0326772;-1.7046716;
-0.88827443;0.38767037;1.6734654;-11.88;-44.579998;2.82;-2.0733786;0.557849;-0.45968673;
-0.6249915;0.06452264;2.2782218;-16.14;-42.84;0.29999998;3.145981;2.4349031;-1.352724;
-2.3806183;0.26183212;2.6435194;-21.72;-40.32;-1.38;1.2569559;1.5969325;0.3878607;
-1.3506994;-0.7412086;3.3136384;-27.66;-35.52;-6.06;7.3696523;5.6530094;2.9281087;
-1.6933948;-0.5481752;3.3771684;-33.42;-30.24;-6.7799997;9.569923;8.624214;5.3633113;
-1.456379;-0.32704198;2.741258;-38.64;-22.8;-9.0;14.066235;12.8092785;6.7591305;
-1.1631638;-0.31177035;1.8897116;-41.28;-16.68;-9.719999;13.173197;14.047081;5.906795;
-1.9310215;-0.031994067;0.8707884;-42.899998;-11.639999;-11.34;11.657667;13.965678;5.006575;
-0.88827443;0.029092457;0.4083634;-43.86;-8.82;-11.28;9.201217;11.643302;6.584354;
-0.69646275;0.07246389;0.19333886;-43.739998;-7.68;-12.42;8.698434;9.811738;4.453215;
-0.67874765;0.12560916;-0.22388211;-43.68;-5.58;-12.48;7.9777794;7.843704;4.2281604;
-0.3684281;-0.005726862;-0.046120327;-43.8;-6.12;-12.84;6.9458785;6.016928;4.876989;
-0.1998293;0.2233476;-0.04917465;-43.2;-6.18;-13.139999;8.5260515;5.2148705;4.5681367;
-0.26885706;0.09934196;-0.1957823;-43.02;-5.4;-13.5;7.498939;5.315427;5.1071315;
-0.19799669;0.15920675;-0.15974127;-43.379997;-6.24;-14.639999;7.1493855;4.8386817;5.2244473;
-0.10514518;0.046196684;-0.27947086;-42.719997;-5.94;-13.38;7.3600755;4.8099513;4.7381253;
-0.30795243;0.07368562;-0.31490102;-43.079998;-6.12;-14.5199995;6.926725;4.6806645;4.5154643;
