gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.29084823;-0.28962648;0.27893636;-29.22;-12.179999;-20.4;8.3512745;3.6966474;2.6264393;
-0.029245174;0.06834055;0.04802928;-29.58;-11.82;-20.039999;9.217976;3.7588966;3.071761;
0.06543894;-0.2120466;0.10667235;-29.699999;-12.0;-20.34;7.853281;3.2082303;3.1794999;
0.1399645;0.09705122;0.34552065;-30.179998;-11.5199995;-19.5;7.154174;2.9113493;4.8219223;
0.19310978;0.026801713;0.53733236;-30.48;-11.4;-19.56;6.8740525;2.992752;5.743989;
0.2767983;0.056123246;0.62163174;-30.3;-11.04;-19.8;6.6729393;3.7900212;11.715128;
3.106937;0.27542385;1.0834459;-32.16;-10.98;-19.98;6.3497224;1.1803415;20.396803;
4.2828526;2.1257348;1.1091022;-32.52;-13.92;-17.82;7.762301;1.6591818;13.201927;
3.7092502;3.2063553;0.65522933;-32.52;-13.92;-19.439999;12.110171;-1.508347;19.573198;
5.186933;3.5802047;0.7578547;-31.26;-13.74;-22.439999;16.38412;-7.1733274;12.335226;
4.502764;3.3004286;1.3613895;-29.039999;-19.26;-24.66;15.728109;-7.3864117;0.0047884034;
3.2785902;2.31999;1.1824061;-25.8;-23.76;-23.46;19.63066;-8.617031;1.42455;
5.134399;0.5411503;-0.17799085;-24.9;-26.4;-19.56;22.71918;1.5705963;-21.38082;
-0.22288945;-2.3622923;0.5080108;-25.68;-30.0;-11.759999;23.138165;22.427086;-10.247482;
0.953637;-3.021416;-2.4644594;-26.88;-30.779999;-9.719999;29.782373;27.637169;-0.5386954;
1.5492306;-3.6127334;-4.2591815;-22.02;-36.78;0.65999997;28.137556;18.14386;13.486837;
1.3006085;-3.3372333;-5.418604;-12.78;-39.84;7.2599998;26.672304;4.4699745;17.10238;
1.2963324;-0.96341085;-4.755204;4.14;-40.559998;13.74;8.739136;-16.350601;15.895703;
2.8467083;-1.4429401;-1.6116916;14.58;-38.52;17.52;-3.7852328;-20.286669;-0.7134721;
2.989651;-2.1949153;0.8274933;19.98;-32.82;22.439999;3.2369606;-8.794202;-18.61073;
0.05138904;-3.4642932;1.7260761;21.66;-30.359999;25.619999;9.541193;0.81881696;-15.15829;
0.13446671;-5.998773;1.8757381;25.38;-31.859999;23.82;14.607324;7.5420346;-14.58817;
-3.8838048;-6.0421443;0.7040986;27.72;-33.719997;16.56;15.701774;6.6849103;3.0334535;
-1.4299592;-5.2516847;-0.021609358;30.48;-37.079998;2.82;1.5729905;7.4582376;37.250187;
1.3769666;-1.166829;0.14149167;29.4;-36.42;-6.96;-4.5920787;12.38311;22.07035;
1.0800861;-0.08498663;-0.37041342;28.38;-37.32;-7.2599998;-8.466196;9.435848;3.4500446;
-0.012751812;0.024358252;-0.08269588;29.519999;-36.36;-5.52;-6.330569;7.7551184;-0.6536171;
-0.4715116;0.005421429;0.07551821;29.939999;-37.32;-4.56;-4.5561657;6.977003;-0.23463176;
0.10881037;0.09644035;0.633849;30.0;-37.5;-5.52;-3.466804;6.2132525;1.6304513;
0.30978504;0.22716552;0.7774024;27.599998;-37.8;-5.3399997;-2.6431987;4.1036615;0.7781156;
0.35376734;0.6694319;1.6943111;24.6;-37.86;-3.9599998;-2.7509377;-1.5466543;2.7485435;
1.8400024;0.104992464;2.3687065;21.96;-39.54;-3.24;1.0390835;-3.3303347;3.904943;
-0.45623997;1.852678;2.497599;15.96;-41.16;1.5;2.9520507;-5.5835776;-0.035913024;
-2.269288;2.0805306;3.3057737;11.099999;-41.219997;1.8;4.584896;-8.626608;1.6687586;
-2.9827785;1.2784646;6.205551;-0.53999996;-42.18;-3.0;7.642591;-14.430153;6.4622498;
-0.14775303;1.1990521;9.163361;-16.38;-36.12;-9.12;34.769794;-1.2880806;9.672874;
-2.9168053;2.034716;4.7016006;-32.28;-23.519999;-10.38;40.83431;16.190191;-5.868488;
-2.3590853;0.941267;2.4817164;-35.76;-11.94;-18.06;28.496687;13.891458;10.702381;
-0.8978956;0.46784642;1.4572954;-34.68;-5.22;-22.439999;20.018518;11.415853;4.175488;
-0.078725256;-0.1924989;0.7890088;-34.38;-0.48;-25.5;13.024756;6.6968813;0.3854665;
-0.41286856;0.0011453723;0.83726716;-33.899998;0.65999997;-25.439999;10.47972;3.0789435;2.9257145;
0.18272507;-0.44906232;0.052916203;-34.38;2.1599998;-23.699999;11.286566;1.9536686;4.06296;
-0.0322995;0.08239045;-0.18837558;-34.8;3.36;-24.359999;9.783008;-0.30406362;4.3382936;
0.3140611;-0.2767983;-0.4742605;-34.5;2.34;-24.24;9.462184;-0.7422025;2.9281087;
0.05933029;0.0322995;-0.3759112;-35.1;1.9799999;-23.34;7.972991;-2.0015526;2.3750482;
-0.06528623;-0.10147999;-0.061926465;-35.28;0.17999999;-23.88;8.6457615;-1.6807296;2.6623523;
0.36109772;0.09216429;-0.145615;-35.52;0.84;-23.82;8.911518;-1.8028339;3.2752678;
0.4191299;-0.048945576;0.20624338;-35.34;0.17999999;-24.9;9.598654;-1.3838485;2.6647465;
0.067882404;0.032910366;-0.17738;-35.28;0.78;-23.16;10.465355;-0.25857377;1.1468226;
-0.20212004;0.090331696;-0.01488984;-34.38;0.59999996;-23.039999;9.196428;-1.1994951;2.992752;
