gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.27084237;0.52473325;0.39553526;-11.82;-33.66;-28.08;5.1885343;4.570531;6.1917048;
0.4657084;0.12767084;0.46089783;-11.219999;-33.059998;-28.019999;5.0089693;4.932355;6.34254;
0.3728569;0.34330627;0.4437936;-11.759999;-34.2;-27.72;4.6495395;5.0712185;7.580342;
0.7570911;0.73853606;0.600786;-12.66;-34.14;-27.779999;4.1036615;5.198111;9.727941;
0.88842714;1.0635164;0.4877759;-12.96;-33.96;-27.66;4.661511;5.5332994;9.371204;
1.1181124;1.5674802;0.59040123;-12.36;-34.98;-26.4;5.420772;4.910807;9.976937;
1.1846968;1.754405;0.6301075;-12.42;-36.3;-25.74;4.9371433;4.0438066;9.799767;
1.1963032;1.9608774;0.6747007;-11.82;-37.38;-24.6;5.052065;3.8402996;9.1629095;
1.4882969;2.2333233;1.071763;-10.92;-37.8;-24.48;5.2388124;2.9281087;11.559505;
1.4766904;2.1410828;0.84696466;-11.04;-38.579998;-22.5;5.645827;3.454833;8.368034;
1.3019829;2.284636;0.9795224;-11.639999;-40.079998;-21.6;5.3250036;2.5594015;9.1389675;
1.4101061;2.0244074;1.2415836;-11.4;-40.92;-20.939999;5.614702;2.6743233;9.215582;
1.2280682;2.0867157;1.0687088;-12.0;-40.559998;-19.859999;7.1589622;4.1659107;7.1254435;
0.80229515;1.8594738;0.75777835;-13.559999;-40.559998;-19.56;7.508516;4.5753193;5.743989;
0.5200754;1.6255124;0.7669413;-13.92;-39.84;-20.1;7.2930374;4.3358994;3.691859;
0.7399869;1.1636983;0.6630942;-14.219999;-38.879997;-20.82;7.1589622;4.661511;2.8514943;
0.4815909;0.58459806;0.8390234;-14.639999;-38.7;-20.939999;6.5292873;6.088754;2.2050598;
0.33315063;0.04886922;0.68630713;-15.9;-38.82;-20.4;7.130232;8.478168;2.6120741;
0.62819856;-0.4783075;0.019242255;-17.34;-38.1;-19.439999;7.805397;12.675203;3.8666358;
0.5048038;-0.9053023;-0.46395215;-17.82;-38.52;-17.88;5.84694;13.625701;4.9036245;
0.91469437;-1.1044444;-0.8585711;-16.859999;-40.26;-15.24;6.194099;13.85315;7.2331824;
1.3844497;-1.3402383;-0.8567385;-15.839999;-41.399998;-12.78;4.477157;12.617743;7.738359;
1.9537761;-1.1930199;-0.8707884;-13.559999;-43.44;-6.8999996;3.3159695;11.430218;8.092701;
2.131538;-1.024421;-0.9416488;-12.0;-44.04;-2.1;3.2824504;10.680833;6.1988873;
1.904296;-1.065349;-0.8732319;-9.78;-44.7;3.0;2.8179753;9.478944;4.1419687;
