gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.09949467;-0.05261077;0.19463694;-35.88;1.4399999;-17.64;7.994539;1.3335704;3.4572272;
0.2083814;-0.24136813;0.20685424;-35.219997;2.3999999;-19.26;9.196428;2.1739352;3.9935284;
0.105756044;-0.5125923;-0.1614975;-35.7;1.68;-18.359999;9.706393;3.5697548;3.9217024;
-0.9919688;-1.3519212;-0.76625407;-35.94;1.56;-18.48;9.620202;6.8716583;3.071761;
0.21449006;-0.44356453;-0.78152573;-37.68;-1.68;-17.22;11.731888;7.7192054;14.272136;
1.5559502;0.88873255;-0.97517;-38.219997;-5.2799997;-18.48;7.0272813;3.5745432;14.099753;
1.5669457;2.4476607;-0.6373615;-36.84;-12.66;-22.199999;4.630386;-1.5801731;14.188338;
3.1826842;2.8288405;0.9191231;-34.62;-17.52;-24.18;4.9299607;-8.928277;25.238178;
6.2418976;3.2656093;1.3693308;-31.619999;-22.199999;-20.52;14.399028;-8.617031;15.349826;
5.210757;4.090277;0.80122614;-30.9;-24.42;-12.42;19.829376;-6.2970495;6.062418;
3.6200638;3.6871064;0.27282768;-29.46;-23.82;-9.179999;15.701774;-7.1996636;-2.5953147;
2.0525837;1.8826103;1.4798974;-30.599998;-23.76;-8.82;15.337854;-4.5394063;-9.629779;
3.537597;0.5857434;0.25938866;-32.94;-22.02;-9.0;21.191677;4.2640734;-15.17026;
0.9004917;-1.8754326;0.4518112;-33.96;-22.08;-5.04;14.339173;16.506226;-18.05288;
-0.4977788;-3.193069;-1.0582477;-33.48;-21.84;-1.62;29.411272;31.135098;-0.90979666;
0.76793396;-3.4539084;-4.0606503;-31.98;-23.46;3.06;25.83673;22.95381;12.948142;
1.0403799;-3.2718706;-5.231068;-26.76;-31.859999;10.86;22.642565;9.062353;15.536573;
-0.00908662;-0.8620072;-5.8278837;-11.04;-39.3;14.16;11.576264;-9.273043;16.702549;
3.083724;-0.7422776;-3.3581553;2.8799999;-39.42;15.9;0.11252748;-15.086464;4.43885;
2.227902;-1.3213779;-0.707611;10.92;-35.579998;22.32;-6.574777;-13.359944;-9.5052805;
1.3360387;-2.9584968;1.2105058;14.099999;-32.46;27.48;4.024653;-1.4628572;-19.62587;
0.7007388;-3.5125515;1.3656656;17.58;-30.96;27.96;4.19943;3.2369606;-15.445594;
-0.46845728;-5.051932;0.8794169;20.64;-30.9;27.119999;9.668086;8.097489;-12.533945;
-1.979127;-5.3488126;1.3021356;25.56;-32.04;22.32;7.8868;7.604284;5.89243;
0.045280386;-3.9578724;0.1286635;28.019999;-34.8;13.559999;6.098331;13.541904;21.66573;
0.9585239;-1.778916;-0.4602106;31.439999;-35.76;7.8599997;-2.3127987;11.849203;13.01518;
0.5632941;-0.31772628;-0.5096907;33.84;-34.739998;7.98;-6.560412;7.51091;8.528446;
1.3647493;-0.33055446;0.24350616;33.239998;-33.719997;8.88;-6.7016697;4.620809;3.2561142;
0.36720636;0.3114649;0.44386995;33.78;-32.82;9.719999;-4.4915223;6.172551;-0.7493851;
-0.34994942;0.18745928;0.33208162;32.7;-33.899998;12.42;-3.0933087;9.239524;-3.502717;
-0.51121783;0.15935947;0.67783135;32.1;-33.719997;11.639999;-2.96881;8.638579;0.7757214;
0.59078306;-0.040393464;0.68394;30.359999;-34.8;9.84;-1.2641385;7.6593504;-0.4381389;
-0.33895385;0.34567338;0.7438048;29.46;-35.64;11.04;-1.3862427;2.7581203;-0.15083471;
0.19860756;0.20395264;1.6014596;26.519999;-36.96;11.58;-1.0630256;-0.7637503;0.62728083;
-0.050014593;0.25587618;2.2282073;23.34;-38.879997;11.88;1.721431;-2.135628;-0.38307226;
-0.41653374;0.32734743;3.1249576;18.48;-40.14;11.16;3.442862;-3.4691982;1.1468226;
-1.4427874;0.4366923;4.2202387;8.58;-43.14;9.12;8.566753;-5.7152586;1.4676456;
-2.227749;0.21922426;6.3570457;0.65999997;-44.94;6.6;10.723928;-10.010457;5.9738326;
0.6341545;-0.12102768;8.955667;-23.76;-43.2;-3.36;32.744;-2.9113493;5.8277864;
0.033673946;-0.13080151;6.581844;-44.879997;-26.039999;-11.099999;41.05936;11.777377;-7.75033;
-3.6272414;0.83619815;3.9032;-43.559998;-5.94;-12.12;34.844013;14.030321;1.6998832;
-0.60468024;0.26503915;1.2019538;-36.78;2.34;-9.179999;18.854937;10.10383;6.143821;
0.87544626;-0.021456642;0.4902957;-37.68;3.84;-7.62;13.187562;6.6418147;1.328782;
0.50159675;-0.29940033;0.082237735;-39.059998;2.52;-7.08;11.439795;3.833117;-0.33997664;
0.15096007;-0.22365303;-0.11995866;-38.76;3.78;-7.02;11.114183;2.0901382;1.0055647;
-0.28031078;0.0182496;-0.57199895;-39.54;2.82;-6.18;11.035175;0.51475334;1.5682021;
-0.42264238;0.28641945;-0.60315305;-38.52;2.1;-6.7799997;9.797373;-1.1683705;2.4971523;
0.16867517;0.13675746;-0.6336963;-38.76;2.58;-7.3199997;9.222764;-2.0566192;2.6886885;
0.618272;-0.04344779;-0.30749428;-38.28;1.68;-7.3799996;8.789413;-2.4013844;1.745373;
0.79786634;-0.30856332;-0.16394097;-39.6;0.59999996;-7.9199996;8.588301;-1.8148049;0.4261679;
