gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.21991149;-0.001450805;0.13545936;-12.0;-32.16;-12.12;6.112696;6.9482727;2.837129;
-0.056199603;0.013209961;0.18432859;-13.08;-32.82;-10.98;5.430349;6.7854667;2.956839;
-0.043982297;0.07979427;0.24236079;-13.08;-32.399998;-11.4;4.9491143;6.5819597;3.4332852;
-0.05131268;0.23861924;0.23380867;-12.599999;-32.16;-11.46;4.3406878;6.5652003;5.9834094;
0.3200934;0.83787805;0.39202276;-13.559999;-31.74;-11.759999;3.1268275;6.1869164;8.073547;
1.6438384;0.38583776;0.37186423;-14.759999;-32.579998;-11.5199995;7.214029;7.747936;7.972991;
0.5888741;1.776778;0.40790528;-14.16;-33.059998;-9.36;4.8626237;6.8740525;7.889194;
0.7892379;2.1005366;0.29794952;-15.78;-34.02;-11.219999;4.9658737;7.237971;11.614572;
1.813659;3.0595949;0.4708244;-15.179999;-34.62;-11.099999;6.1150904;6.256348;12.708722;
1.0995574;3.639917;0.4335616;-13.5;-34.26;-10.32;8.904335;7.0655885;12.581829;
2.3970351;3.5513415;0.88071495;-12.24;-35.34;-9.12;8.851663;5.346552;12.759;
3.2351422;3.838448;1.5673275;-12.66;-35.46;-4.08;13.510779;2.1547816;7.946655;
3.196047;3.1487813;0.93202764;-16.56;-35.82;0.48;15.057733;2.1859062;-1.769315;
1.6811012;2.2746332;0.18188512;-19.14;-34.14;2.82;12.811672;2.123657;-5.638644;
0.18997909;1.4065936;0.19226983;-20.88;-33.78;4.08;8.312967;1.8148049;-4.015076;
0.45753807;0.6014732;0.70417494;-21.72;-32.579998;2.82;9.440637;8.075942;-2.183512;
0.72204274;-0.3386484;0.22708915;-22.859999;-32.28;4.02;8.482956;16.738462;-4.865018;
1.3414601;-1.3722324;-0.79733187;-23.4;-32.82;5.1;9.4143;20.554821;0.35913026;
1.5931365;-1.2683853;-1.6293303;-21.06;-32.7;9.719999;8.442254;18.105553;2.4037786;
1.7977765;-1.3148111;-2.0178406;-17.76;-32.64;13.38;6.1533976;13.970467;4.6040497;
1.9260582;-1.3074807;-1.8779525;-11.7;-34.739998;19.439999;4.6710877;8.523658;3.4356794;
0.8222246;-0.99349594;-1.1510228;-6.8399997;-33.239998;24.18;3.572149;3.9097314;1.6448165;
-0.3304781;-1.1394928;-0.75945824;-2.1599998;-31.74;25.56;4.256891;1.3431472;0.44771573;
1.3536774;-0.65935266;-0.72586066;0.24;-33.12;25.26;2.4779987;-0.78529817;-4.197036;
2.1923954;-1.8761963;0.52946746;2.1;-32.219997;29.22;1.42455;0.80445176;-9.2586775;
0.6591236;-2.7619507;1.478752;4.08;-28.859999;32.219997;4.132392;4.367024;-10.963348;
-0.33475417;-3.159624;1.9814942;6.3599997;-28.98;33.48;6.0815716;6.694487;-7.178116;
-0.75686204;-3.8780017;1.3987287;8.639999;-28.8;31.619999;7.680898;9.165303;-6.2731075;
-1.2883148;-3.9287035;0.9980011;11.94;-31.08;28.439999;7.295432;10.506057;0.05267244;
-0.86376345;-3.8633409;0.5349652;16.44;-33.18;21.06;5.5835776;12.627319;9.478944;
-0.39461896;-2.335567;-0.19624045;18.6;-34.38;19.14;2.066196;12.498033;7.7575126;
-1.1954633;-1.2323443;-0.6983717;21.84;-34.079998;13.74;-1.496376;8.758289;6.0432644;
-0.9437868;-0.34658965;-0.31230485;24.18;-34.559998;11.4;-4.297592;4.4101195;7.2834606;
0.75808376;-0.404011;0.36453384;24.9;-33.66;9.48;-2.9041667;3.5482068;3.5458126;
0.25350907;0.28932106;0.70417494;23.82;-33.96;9.66;-2.6024973;3.2561142;0.19632454;
-0.45448375;0.43043092;1.206917;22.439999;-34.44;9.66;-0.34237084;3.2441432;0.92895025;
-0.1301143;0.58436894;1.6931658;19.08;-36.0;9.96;0.37828386;3.2513258;-0.12689269;
-0.8014552;0.43104178;2.0798435;14.099999;-37.739998;10.139999;3.5936968;4.084508;0.878672;
-1.9101756;1.0076985;2.5086708;9.54;-38.76;8.16;5.732018;5.0855837;2.645593;
-3.0610456;1.2386056;2.1806362;3.72;-39.78;3.3;8.5739355;8.9402485;3.4452562;
-3.1245756;1.1439215;2.0963368;-0.96;-40.14;-0.29999998;9.261071;10.101437;5.0257287;
-2.4966063;-0.39973494;1.8745927;-7.74;-38.04;-9.66;8.954614;10.58746;7.4055653;
-1.3341297;-0.36247218;1.7658587;-14.5199995;-34.5;-16.619999;10.043976;11.818079;7.6976576;
-0.77763146;-0.64102674;1.5373951;-17.46;-31.32;-17.699999;10.553941;13.01518;5.6051254;
-0.34574974;-0.3300963;0.88071495;-19.199999;-28.08;-17.34;9.617807;11.329661;7.0775595;
-0.37934732;-0.32582024;0.21426098;-20.22;-26.46;-17.58;9.541193;9.979332;5.490204;
-0.33475417;0.06818783;0.05971208;-20.939999;-26.699999;-18.3;7.1852984;7.242759;6.0097456;
0.009773844;0.038255434;0.0047342055;-20.699999;-25.32;-18.18;7.7072344;6.2228293;4.7788267;
-0.23273966;0.26794076;-0.0154243475;-19.8;-26.279999;-19.08;6.8477163;4.8386817;5.468656;
0.204029;-0.04970916;-0.06490443;-20.22;-25.8;-19.5;7.1757216;4.63278;4.819528;
0.11728613;0.13416128;-1.5271631E-4;-19.56;-26.22;-19.92;6.8405337;4.259285;4.7381253;
0.1563815;-0.05459608;0.17516561;-20.76;-25.619999;-20.039999;7.5061216;3.4620156;3.383007;
0.11789699;0.18852828;0.15378532;-20.46;-25.98;-18.42;8.506898;4.1635165;6.6035075;
