gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.098883815;0.16653714;0.13469578;-38.52;15.12;-23.82;6.1414266;2.1859062;7.520487;
-0.05627596;0.23434319;0.22937989;-38.16;15.179999;-24.18;4.9275665;3.0430303;9.062353;
-0.26702446;0.69554645;-0.2910773;-37.079998;14.82;-25.439999;2.9975405;4.357447;13.1277075;
1.0072404;1.1017718;0.029626964;-36.0;14.639999;-26.58;-1.2856863;0.24181437;22.02486;
2.827008;1.8977293;1.4993688;-33.84;13.74;-27.06;-0.32800564;-4.8027687;18.768745;
4.0890555;2.093817;2.46759;-30.3;12.36;-30.9;8.346486;-5.382465;14.683938;
3.479412;1.9844722;1.670411;-26.4;9.12;-35.579998;11.001657;-4.7189717;5.705682;
1.398805;1.9301051;1.7504344;-23.519999;5.16;-37.38;10.281001;-5.138256;2.861071;
1.729894;1.1830169;2.3374758;-20.699999;3.84;-39.66;11.542746;-2.2577322;-0.1604115;
0.9143889;-0.09980011;0.97035944;-19.859999;2.9399998;-41.1;15.998654;4.06296;-3.9719806;
0.4085925;-0.1755474;0.3368922;-19.68;1.4399999;-40.559998;11.418247;9.122208;-2.3199813;
0.35483634;-1.4223233;-0.57696223;-20.64;-0.78;-39.84;13.731046;18.977041;7.034464;
1.335275;-0.55306214;-1.9312505;-22.02;-2.6399999;-38.52;15.586852;20.13823;15.95077;
2.7469847;-1.1987467;-2.843883;-23.519999;-7.2599998;-37.079998;13.0319395;14.638449;17.923592;
2.6333637;0.14576772;-3.3325753;-23.46;-15.059999;-34.32;12.720693;7.6617446;12.960114;
3.365791;-0.09857838;-3.1774156;-18.72;-23.88;-31.019999;9.201217;0.6967127;9.213187;
3.0915127;-0.3392593;-2.4798074;-13.92;-31.859999;-25.74;4.8027687;-3.040636;2.9496565;
2.1434498;-0.67890036;-1.1346822;-9.059999;-37.32;-19.98;2.5498247;-3.371036;-1.3335704;
1.7360027;-1.0081568;-0.81214535;-7.62;-39.899998;-14.759999;2.327164;-1.4221559;-3.916914;
0.6639342;-1.1981359;0.2501493;-6.6;-41.94;-9.96;1.685518;-0.18435353;-6.620267;
0.37132972;-1.2897656;1.0369438;-7.56;-41.94;-7.2599998;3.277662;3.8474822;-11.880328;
-0.6347653;-2.5011113;0.7840455;-10.0199995;-40.44;-6.18;8.162133;7.3337393;-13.161226;
-1.4514922;-3.1791718;0.44012842;-12.719999;-39.239998;-5.22;9.498097;9.498097;-6.1893106;
-2.5956428;-3.0117948;-0.19028452;-15.179999;-37.739998;-7.7999997;7.5564;8.509292;3.7804444;
-0.06116288;-4.015446;-0.29657507;-15.42;-37.8;-10.5;0.92895025;6.974609;14.839861;
0.3120758;-2.7167468;0.5195409;-16.5;-38.879997;-7.68;-1.9153614;8.545205;11.837233;
0.55397844;-1.1498774;0.46883908;-18.42;-38.52;-5.3399997;-2.6072857;7.5061216;10.611402;
0.38782308;-0.15905404;0.41263947;-20.1;-38.04;-1.92;-1.7860745;6.107908;1.7764976;
-0.18455766;-0.06498079;0.68325275;-20.699999;-36.84;-1.14;-3.2848446;1.3958195;0.272939;
-0.23342688;0.0052687125;1.5335772;-23.519999;-36.3;-1.74;-1.8028339;-1.6567876;0.12689269;
-0.87361366;0.3479641;2.4327707;-26.46;-34.079998;-1.68;0.50038815;-2.2744915;1.7836803;
-0.63965225;-0.13461943;3.0778446;-30.359999;-30.0;-4.68;4.5298295;-1.685518;0.51714754;
-1.533959;0.36690095;3.9923098;-36.48;-23.519999;-6.66;9.964967;0.4381389;5.272331;
-1.8357264;-0.15722144;3.0179799;-40.68;-14.88;-8.34;14.573805;5.5452704;4.980239;
-2.408718;0.6540076;3.2947018;-44.1;-8.34;-10.559999;17.665018;9.361628;2.966416;
-3.2168927;0.5263368;2.1474967;-44.34;-0.53999996;-11.88;17.193361;10.381557;11.540352;
-1.5913804;0.20990857;1.561677;-44.94;6.7799997;-13.559999;16.910845;12.754211;9.184457;
-0.49182287;0.53488886;0.8720101;-44.28;11.16;-14.16;13.977649;10.551546;6.917148;
-0.59567;0.20441078;0.26725355;-43.92;14.099999;-15.299999;10.824485;7.3816233;4.3502645;
-0.18272507;0.26305383;0.24281894;-43.02;14.5199995;-15.059999;9.440637;4.355053;5.2005053;
-0.091095276;0.25205827;0.17928895;-43.2;15.48;-15.36;9.593865;3.2632968;4.7907977;
-0.13263412;0.06085745;-0.0693332;-42.66;16.08;-16.08;9.246706;2.4875755;4.19943;
-0.31528282;0.23984097;-0.14508049;-43.379997;15.96;-16.5;8.767866;1.9440918;5.1550155;
0.07689266;-0.0173333;-0.0571159;-42.96;16.26;-15.299999;8.447042;1.4341269;4.441244;
-0.09292787;0.105450615;-0.04428773;-43.379997;16.38;-16.02;8.461408;1.2880806;4.699818;
-0.13141239;0.3693444;-0.008246681;-43.98;16.38;-15.719999;7.573159;1.3000516;4.781221;
0.0463494;0.09506591;0.110872045;-42.12;16.859999;-17.1;7.9562316;1.5179238;4.8937483;
-0.1417971;0.085292056;0.0693332;-42.18;16.74;-17.699999;8.626608;2.0853498;4.4436383;
-0.28962648;0.03214678;-0.034513887;-42.48;17.82;-16.8;8.389582;1.6496049;5.320215;
0.006032294;-0.05093089;-0.03023783;-41.46;17.76;-16.68;8.20044;1.4796166;5.384859;
