gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.013362677;-0.22808181;0.15485434;10.679999;27.96;-38.219997;-3.9815574;-1.2617443;9.232341;
-0.17722727;0.26794076;-0.06566802;11.34;28.859999;-37.98;-3.4452562;-0.7661445;8.41113;
-0.34277177;-0.44188464;0.44929138;11.46;28.8;-38.579998;-4.8482585;-0.6344634;9.617807;
0.14103352;-0.41011965;0.5164866;12.24;29.4;-37.86;-5.6673746;1.2761095;10.683228;
0.2784782;0.3552945;0.4877759;10.98;28.439999;-38.879997;-9.696816;2.5761611;10.319308;
0.62422794;0.8317694;0.98929626;12.48;26.76;-38.46;-13.067852;1.6424223;7.3481045;
0.33528867;1.1695778;1.88849;15.54;25.74;-38.28;-14.945206;-0.93134445;6.3377514;
-0.5241987;1.5819119;3.0430253;19.8;23.519999;-37.62;-16.518196;-4.5896845;5.0927663;
-1.0642036;1.7187457;4.4498477;25.859999;21.72;-36.36;-12.651261;-7.702446;10.817303;
-0.85101163;1.9148334;4.2940774;31.439999;17.4;-32.94;-6.5556235;-8.324939;8.894758;
-0.9151525;1.6558266;3.6654968;35.94;10.679999;-29.46;-2.3056161;-7.7982144;12.007221;
-1.375134;2.0596085;2.2928827;39.66;6.54;-26.039999;0.12928689;-4.3526587;10.33128;
-0.5596289;1.0412961;1.7253889;41.579998;3.1799998;-21.6;2.0278888;-1.4293385;12.062287;
-0.78625995;0.38950294;1.8164078;42.96;0.42;-20.22;0.5315128;-0.7278373;7.520487;
-0.55229855;-1.179199;2.2843306;41.879997;-3.3;-20.52;3.7660792;1.8339585;9.622596;
-0.17111863;-0.6178138;-0.48288897;40.2;-5.22;-22.619999;8.004115;9.016863;12.617743;
1.2118803;0.12377657;-3.2006285;39.84;-5.52;-24.18;-9.852439;13.345579;24.354418;
2.0279963;-1.6483436;1.3289373;40.92;-1.56;-22.38;-18.637064;13.561058;15.562909;
2.5429556;-2.3416755;3.2311716;38.76;-5.7599998;-23.46;-9.122208;10.733505;17.056892;
2.7885234;-2.1578052;2.1383338;32.399998;-16.32;-27.359999;-8.664915;7.1350203;14.878168;
3.1788664;-1.9971476;1.4010195;26.16;-23.039999;-27.66;-9.584289;4.3263226;8.159739;
1.9461403;-1.9091829;1.956296;22.26;-28.8;-24.72;-8.162133;2.0087352;5.4351373;
1.7060703;-1.5567137;1.357648;16.14;-33.36;-23.699999;-2.5474305;-0.4333505;3.4476504;
0.70974904;-1.042976;0.66737026;12.059999;-36.54;-21.96;-0.6991069;-1.5035586;1.1085154;
0.16791159;-1.6831628;1.2672399;9.78;-38.1;-20.939999;2.0111294;-1.9752164;-0.89782566;
-0.25663975;-2.2689826;1.4468343;4.92;-38.64;-21.72;6.356905;-0.7254431;-0.24899697;
-0.55535287;-1.5597681;0.36254853;-0.06;-38.82;-21.72;10.403106;1.2880806;-0.22744916;
-1.8002962;-1.7118735;-0.5928447;-2.8799999;-38.82;-23.699999;11.707946;3.4691982;1.520318;
-1.7477618;-1.9110155;-1.647809;-3.4199998;-36.12;-26.76;8.947431;4.7429137;6.9458785;
-1.0379364;-2.5371525;-1.8664987;-2.82;-33.66;-30.96;5.0975547;6.3616934;9.457396;
-0.45028403;-2.548148;-2.2030854;-3.0;-33.18;-32.46;-0.15562311;7.865252;8.27466;
0.27420214;-1.1419362;-2.7473664;-1.02;-32.1;-32.7;-6.9219365;9.107842;6.8381395;
0.32368222;-1.5787048;-1.0485502;2.04;-33.12;-30.48;-11.066299;8.968979;1.8866309;
0.24304801;-0.059483003;-1.0149527;1.9799999;-32.579998;-30.72;-8.499715;7.7670894;-0.79248077;
-0.5052619;0.34368807;-0.24831672;3.24;-33.059998;-28.859999;-7.0895305;5.746383;-2.4253263;
-1.0525972;-0.094913185;0.7467828;4.98;-32.7;-29.939999;-2.6719291;3.940856;-0.047884032;
-1.1295662;0.55688006;0.37598756;3.72;-30.179998;-32.1;-0.80205756;0.81881696;-0.90021986;
-1.9621755;0.9056841;-0.16768251;3.6;-28.8;-34.44;0.107739076;-0.30885202;0.51235914;
-2.0446424;0.83543456;-0.5867361;4.3199997;-23.58;-36.78;0.85473;-1.6496049;2.9496565;
-3.256599;1.8115972;-2.0705278;7.98;-19.859999;-39.12;-2.5258827;-1.8555063;3.6511576;
-4.072104;0.6509533;-1.4089607;12.0;-11.46;-42.48;-4.405331;-0.35194764;13.130101;
-3.8674643;1.5843554;-3.111442;15.9;-2.7;-43.92;-7.6856866;2.0039468;17.143084;
-4.2260423;-0.14256068;-1.2177598;18.6;10.26;-41.879997;-11.135732;3.8235402;26.05939;
-2.5156195;0.25450173;-0.8347474;18.119999;17.82;-40.379997;-5.159804;6.5460467;19.31223;
-1.0299952;0.5452736;-1.5451837;17.88;22.859999;-38.82;-3.9552212;5.758354;18.670584;
-0.29878947;0.17814358;-1.2293663;18.3;26.4;-36.96;-5.7870846;3.6176388;12.208334;
0.06345363;-0.40340012;-0.6728681;17.34;28.199999;-36.54;-5.4471083;2.0159178;12.636896;
-0.023900103;-0.3056617;-0.6087272;15.66;28.859999;-36.78;-5.308244;-0.02633622;12.368745;
0.106214195;0.2270128;-0.67103547;13.92;29.88;-37.92;-5.346552;1.1755531;10.300155;
0.50266576;-0.38690677;0.25686884;13.5;29.039999;-37.68;-3.9791632;0.5291186;7.7431474;
