gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.32215506;-0.40744713;0.03573562;1.26;-25.68;-35.04;1.2306197;4.0318356;8.305785;
0.20059288;-1.0146471;0.20005837;0.53999996;-25.38;-35.64;1.2785037;3.6966474;8.703222;
0.7717519;-1.378112;0.2648101;-1.0799999;-26.699999;-35.04;2.2505496;4.0222588;10.225935;
0.9892199;-0.9786061;-0.5140431;-3.78;-29.4;-34.44;-1.9081788;4.237737;9.32332;
0.18348865;-0.7611381;1.7162259;-8.28;-34.14;-33.059998;1.6280571;2.777274;10.446201;
1.7308103;0.7189884;1.7705929;-10.139999;-33.059998;-32.52;4.8147397;1.8794483;16.173431;
2.961093;1.2583824;1.361924;-12.719999;-36.36;-28.8;3.5697548;2.9113493;10.132561;
2.3367887;2.0390682;1.1151345;-13.559999;-38.76;-25.98;5.6410384;2.8275523;10.652102;
2.3471735;1.5851953;1.8359555;-15.059999;-40.98;-21.24;6.668151;1.2473791;11.24347;
3.6605337;1.8142698;2.1676552;-17.699999;-42.3;-18.48;10.697593;3.016694;9.337686;
2.8731284;2.2424862;0.9104946;-20.16;-42.3;-13.259999;14.367904;4.9275665;0.35913026;
0.99716115;1.5332718;0.061391957;-22.5;-41.399998;-10.32;9.727941;2.8275523;-0.94570965;
0.79679734;1.0629056;0.27091873;-22.8;-42.84;-10.2;8.638579;2.4468741;0.04070143;
1.1682035;0.40683624;0.5531385;-22.38;-42.96;-10.08;7.8820114;5.904401;-0.5243302;
0.32215506;-0.15699236;-0.14385876;-23.1;-42.0;-7.74;9.1868515;10.158897;-4.3263226;
0.27206412;-0.7965683;-0.40530908;-22.8;-42.12;-7.62;8.109461;13.453319;2.918532;
0.47914743;-1.3078625;-1.1304061;-22.26;-42.6;-5.8799996;7.9059534;16.123154;0.49799395;
0.4553237;-1.1575897;-1.3710871;-19.08;-43.5;-3.54;8.176498;15.354614;6.136638;
1.5035684;-1.2449434;-1.7650951;-15.66;-45.719997;-0.53999996;7.702446;13.61373;6.7304;
