gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.010995574;0.6167448;0.3052799;-26.46;-27.66;-2.22;6.0791774;5.8780646;4.1683054;
0.7684685;-0.115071744;0.2527455;-27.42;-27.119999;-0.24;5.969044;5.978621;6.170157;
0.5131268;0.54588443;0.23991732;-27.42;-27.42;0.42;5.56203;6.000169;5.5955486;
0.73853606;0.8775843;0.14828753;-28.38;-26.64;0.78;4.237737;6.208464;10.8268795;
1.5943583;1.4383585;0.4989242;-29.22;-27.66;0.0;4.1036615;5.4375315;11.181221;
1.2516629;2.4530058;0.38835758;-29.88;-26.64;0.42;5.8517284;5.574001;11.327268;
1.8545868;2.6539805;0.57833666;-30.96;-26.58;-2.6399999;6.064812;4.048595;13.146861;
2.2540927;3.576387;0.84772825;-32.04;-26.34;-3.24;8.300997;3.2968156;11.322479;
1.3298537;4.201302;0.7835874;-32.52;-25.38;-6.0;8.633791;3.0334535;6.1031194;
0.9627236;3.2324698;1.6833919;-32.52;-24.779999;-10.8;11.011233;1.460463;9.591472;
2.4104743;3.1206815;1.6161968;-32.94;-23.76;-15.42;14.772823;0.9744401;5.3010616;
2.8350255;2.1017582;1.2777774;-33.54;-21.359999;-16.8;13.711892;4.122815;-4.197036;
0.1826487;1.3070226;0.39019018;-33.0;-21.9;-17.4;8.911518;4.4220905;-4.7429137;
0.17837265;0.5043456;0.29061913;-31.019999;-22.02;-18.42;7.4055653;8.482956;-0.39504328;
0.8381071;-0.35941783;0.13118331;-32.64;-21.539999;-18.779999;7.2236056;16.743252;1.5801731;
1.8655825;-1.0215957;-0.6580546;-32.82;-22.08;-17.16;8.607454;23.1645;3.7708676;
2.552806;-1.4449254;-1.6409367;-31.56;-24.9;-12.48;9.857227;20.899586;6.7351885;
1.4721853;-0.9715048;-2.5816693;-30.66;-28.74;-6.8999996;8.686463;15.038579;9.141361;
2.5259278;-1.0735193;-2.559678;-24.42;-33.48;-1.8;4.3047748;7.9921446;8.676887;
2.0781636;-0.5267949;-2.0013473;-20.88;-35.46;3.24;3.371036;4.1060557;5.68174;
2.4623978;-0.8114581;-0.95432425;-15.96;-37.62;9.0;0.055066638;-0.47405192;1.6352397;
1.4801265;-0.87620986;-0.6104071;-13.92;-37.32;13.259999;1.5969325;0.12928689;-3.0502129;
1.2253957;-1.4064409;-0.21517728;-11.099999;-36.66;18.72;0.24660277;0.011971008;-4.982633;
0.89736104;-1.6599499;0.48609602;-10.2;-34.86;21.42;0.46926352;2.1883004;-6.809409;
0.68416905;-2.0716732;0.9222538;-8.5199995;-33.899998;23.76;0.47644615;4.357447;-7.7431474;
0.35735616;-2.8609111;1.9601139;-7.2599998;-32.76;25.98;3.4356794;7.3959885;-8.672098;
0.116675265;-2.9299388;1.5092953;-7.14;-31.08;27.119999;4.0797195;10.154109;-8.557177;
-1.3628404;-3.3764813;0.84223044;-5.46;-30.48;28.199999;5.5716066;10.544364;-4.594473;
-0.7855727;-3.1480176;0.3724751;-2.7;-31.019999;28.019999;4.2880154;10.513239;2.8060043;
-0.698219;-2.9733102;0.07498371;0.9;-33.18;26.16;1.1061212;9.040805;3.2202013;
-0.38240165;-2.4064274;0.05665775;4.8599997;-34.559998;25.5;-1.8052281;8.032846;7.264307;
0.3475823;-1.587257;0.51053065;7.74;-35.46;24.72;-3.8235402;7.6976576;9.244312;
0.7654142;-0.38079813;0.69806623;8.94;-34.62;24.66;-2.2649148;8.743924;6.0815716;
-0.13561209;0.33513594;0.29000828;9.24;-34.32;25.92;-2.3127987;6.680122;2.8802247;
0.07391469;0.74746996;0.6094908;7.62;-34.38;26.34;-2.1428106;2.231396;3.7660792;
0.40133846;1.0266354;1.3040446;4.74;-34.14;26.88;-1.7884687;1.1013328;-0.49320555;
-0.1600467;0.6686684;1.4805846;2.22;-32.88;26.34;1.1252748;2.7030537;-2.2960393;
-2.6401596;1.2196689;2.131767;-3.1799998;-34.2;25.439999;0.4237737;0.61052144;1.4149733;
-1.6920967;0.49335003;2.7872255;-8.5199995;-35.04;19.439999;6.6777277;3.857059;2.9951463;
-2.6786442;0.6356816;3.4811683;-15.48;-35.1;15.36;8.617031;7.364864;2.767697;
-1.8209893;0.09017898;3.0376801;-22.5;-33.719997;9.48;14.997878;14.430153;6.8165917;
-2.111761;0.5238933;2.3773348;-28.38;-29.76;5.58;14.372692;16.659454;5.2244473;
-1.7256943;-0.091858864;1.0957395;-33.18;-26.46;2.8799999;12.35438;14.75367;5.597943;
-1.1722504;0.10483975;0.762818;-34.86;-24.359999;-0.53999996;10.295366;11.724705;5.940314;
-0.45753807;0.05963572;0.28878653;-36.059998;-23.519999;-2.58;8.073547;9.038411;4.8099513;
-0.5204572;0.066355236;0.29061913;-36.12;-22.8;-3.54;7.2930374;6.953061;3.8474822;
-0.25595254;-0.0081703225;0.10125092;-37.02;-22.199999;-3.48;7.6234374;6.0432644;5.2364182;
0.030543262;-0.12606731;0.07742717;-36.66;-21.06;-4.5;7.3912;5.3010616;5.040094;
