gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.029245174;0.18440494;0.14576772;-24.9;-7.9199996;-27.84;8.296208;3.1387985;6.2132525;
0.34338263;0.017638734;0.08345947;-24.84;-8.099999;-28.74;7.774272;3.4715924;4.6495395;
-0.0884991;0.18745928;-0.068645984;-25.859999;-8.16;-27.66;7.7982144;3.7972038;5.0616417;
-0.077503525;-0.11980595;0.15370896;-26.039999;-8.58;-27.84;4.958691;4.4220905;9.601048;
0.7832056;0.4544074;0.08407033;-26.4;-8.22;-26.939999;5.0376997;5.296273;16.894085;
2.7165942;0.16546813;0.23006712;-25.8;-10.92;-26.58;2.3678656;3.7421372;14.7824;
2.3170881;2.5386796;0.10972667;-27.3;-14.46;-24.48;6.65618;3.5290532;14.942811;
2.622521;2.7237718;0.43409613;-26.82;-17.52;-26.279999;8.743924;-0.6919243;15.728109;
3.814319;3.034702;1.1384238;-25.92;-19.98;-28.5;11.042357;-4.9395375;11.401487;
4.453895;2.17888;1.7957147;-23.699999;-25.859999;-28.859999;14.267347;-6.110302;6.4502788;
3.1857386;2.5618925;0.9533316;-21.119999;-31.5;-24.6;16.606781;-2.0374656;-6.052841;
0.35498905;1.6883552;0.73219836;-19.56;-35.28;-20.58;9.725547;-2.5617957;-4.4005427;
1.0916926;0.65660375;0.99792475;-18.24;-35.399998;-20.699999;10.19481;-0.5291186;-2.2385786;
1.2126439;-0.3910301;0.64056855;-19.02;-35.46;-17.82;12.600983;6.7112465;-6.4598556;
-0.9919688;-0.8613964;-0.21708624;-21.24;-35.04;-15.599999;12.94096;14.276924;-2.030283;
0.16012305;-1.9982166;-1.5408312;-21.06;-35.7;-15.54;17.5908;23.77502;3.4141316;
1.8864282;-2.4319308;-2.3874905;-20.039999;-38.94;-13.0199995;19.271528;24.383148;6.6849103;
1.593213;-2.3830616;-3.8156934;-14.759999;-42.96;-5.1;18.091187;19.546862;8.370428;
1.4808137;-2.0898464;-4.361196;-5.7;-44.94;3.1799998;15.182232;9.897929;11.892299;
1.5559502;-1.3342061;-3.7008507;5.46;-43.68;8.7;8.430284;-0.33758244;11.317691;
1.3006085;-1.1436161;-2.2830324;15.42;-40.98;12.3;0.6368576;-7.379229;8.813355;
2.0134883;-0.9560805;-1.4791338;21.119999;-38.76;12.96;-1.6687586;-9.4143;3.739743;
0.45333838;0.101938136;-0.51518846;24.3;-36.42;17.58;-2.885013;-6.2946553;-2.219425;
1.4404966;-0.90782213;0.49518263;25.92;-34.98;18.9;-2.6264393;-1.067814;-8.451831;
0.042836927;-1.0238866;1.4939473;24.359999;-34.2;21.0;0.59136784;3.4883518;-12.088624;
0.5968917;-2.5541039;1.6045139;24.539999;-34.98;19.439999;5.626673;7.680898;-14.243405;
-0.24793494;-3.148476;1.5031103;22.38;-36.84;18.42;7.2810664;9.316138;-10.266636;
-0.7531205;-3.7306304;1.1225412;22.32;-38.46;14.099999;8.353669;11.396699;-5.873276;
-0.9852493;-4.022013;0.4976261;21.119999;-39.12;9.059999;7.012916;13.182774;0.7445967;
-2.3322072;-2.7526352;0.198913;21.06;-39.719997;2.7;1.2665327;11.1931925;12.912229;
0.41118866;-1.833283;-0.011835515;20.279999;-40.5;-4.68;-2.9472623;9.581895;17.011402;
0.98479116;-0.49793154;0.21601722;19.26;-40.26;-5.94;-3.727772;7.120655;8.013692;
1.0428233;0.002977968;0.371177;18.42;-40.079998;-2.9399998;-3.1531637;3.4715924;0.78290397;
-0.23877195;0.4263076;0.7193702;17.22;-40.92;-2.1;-3.4596214;-1.4532804;-0.80205756;
-0.6004042;0.43608144;1.6216182;15.0;-40.68;-1.38;-1.0486604;-3.6942532;0.38067806;
-0.3310126;0.1746311;2.6045003;11.28;-41.94;-2.28;0.48123455;-5.777508;2.7365725;
-0.4965571;0.67492974;4.4480915;6.24;-42.239998;-2.7;5.2028995;-7.2236056;3.3375173;
-1.1776718;1.0304533;5.8677425;-4.3199997;-41.7;-3.84;13.65922;-5.2124763;4.8578353;
-0.29008463;0.83741987;6.74861;-17.46;-37.5;-6.54;26.260502;2.743755;6.5292873;
-2.0964131;1.4195745;4.295986;-31.38;-26.099998;-8.46;30.74963;14.006379;-2.3391352;
-2.6742916;0.682871;3.3289864;-34.38;-16.98;-13.559999;27.682657;14.264953;7.0416465;
-1.7518852;0.94432133;1.5251014;-36.059998;-4.62;-19.02;18.792688;12.203546;4.560954;
-0.6523277;-0.022067508;0.8635344;-33.3;1.92;-18.539999;15.122376;9.407118;2.2290018;
-0.14408784;-0.019013181;0.31253394;-32.34;3.9599998;-17.16;10.671256;5.3680997;2.4372973;
0.24564418;-0.22976169;0.09140071;-32.46;4.02;-14.58;10.376769;2.9903579;1.4221559;
-0.15997034;-0.17600554;-0.09674578;-32.16;4.5;-15.24;10.302549;1.2689269;1.958457;
-0.09949467;-0.11797335;-0.18043432;-33.3;4.44;-14.82;9.668086;-0.047884032;3.2321723;
0.27496573;-0.16928603;-0.13034338;-33.899998;4.98;-14.5199995;9.364022;-0.81881696;3.2273839;
0.26335928;-0.12530373;-0.065591656;-32.82;3.54;-15.54;9.1150255;-1.0606314;2.2409728;
-0.017638734;0.061621033;0.17142406;-33.6;3.3;-15.9;8.77026;-1.0127473;2.372654;
