gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.14775303;-0.0173333;-0.14752395;8.16;18.9;-43.32;-3.5051112;1.4580688;10.032004;
0.36827537;-0.21036673;0.13958271;8.4;18.24;-43.559998;-3.881001;1.9177556;9.548376;
0.34567338;0.015653422;0.22266038;8.04;17.039999;-43.5;-5.1885343;3.1603463;10.173263;
0.33773214;0.13599387;0.63194007;7.68;16.38;-44.04;-8.317756;4.0078936;8.8444805;
0.49411362;0.3186426;0.75533485;8.46;16.199999;-44.16;-7.2571244;4.3861775;7.6138606;
0.43180537;1.1811843;0.39675698;10.44;14.16;-44.16;-12.646473;2.8993783;6.790255;
5.345071E-4;1.944155;2.0100522;12.48;12.599999;-44.16;-16.34342;-0.38067806;6.5077395;
-0.6268241;2.2220986;3.6948185;18.3;11.46;-42.66;-12.859556;-2.8083985;10.048764;
-1.0868056;2.3546565;4.6056185;25.56;8.22;-38.76;-8.863634;-4.9179897;10.642526;
-1.0599276;2.1261928;4.6636505;29.4;4.7999997;-36.36;-5.327398;-5.317821;12.14369;
-1.1265118;1.9453768;3.9709296;33.0;-0.48;-33.66;-2.6791117;-4.699818;9.62499;
-1.1533899;1.7230217;3.2708778;33.66;-4.7999997;-31.38;-1.5107412;-3.8139634;9.474155;
-1.0452667;1.4731779;2.4492643;34.62;-8.4;-28.8;1.9321208;-1.8219875;9.696816;
-0.65981084;1.4310282;0.799928;35.34;-10.32;-27.42;3.9073372;-0.24899697;8.710405;
-1.4349989;0.13843733;1.2965615;36.3;-11.34;-25.68;2.7988217;1.7286136;11.616966;
-1.0348821;-1.1315515;0.81153446;34.86;-11.58;-26.939999;8.600272;9.969755;19.501371;
0.9705885;-0.5799402;-1.2495248;32.76;-11.16;-28.619999;-0.19871874;13.302484;23.411102;
1.7457765;-2.3410647;0.22327125;32.7;-10.74;-29.58;-8.332121;14.545074;22.455816;
2.2986095;-2.8847349;2.0485365;29.58;-14.4;-31.5;-8.248324;10.8508215;14.715363;
2.3975697;-3.3447163;1.4773777;22.14;-20.16;-32.579998;-7.7814546;7.728782;16.635511;
2.9962177;-2.0924425;0.6429357;15.12;-25.92;-32.1;-5.758354;2.8754363;9.0839;
2.3627503;-1.2671636;-0.07238753;11.16;-31.8;-29.34;-4.711789;-0.62967503;3.277662;
1.0927615;-1.1388819;0.3173445;8.4;-35.34;-25.8;-3.074155;-2.5761611;-1.0079589;
-0.35926512;-2.0612884;1.3460416;6.24;-37.079998;-24.359999;1.4101849;-2.0446482;-1.0055647;
-0.8143597;-2.158416;0.8885035;2.7;-36.78;-25.8;5.159804;-0.60094464;2.731784;
-0.6793585;-1.9110155;0.3203988;-4.44;-36.48;-27.06;7.376835;0.8571242;1.1803415;
-0.9481392;-2.0069213;-0.3032946;-6.42;-35.219997;-28.98;10.714352;1.3623008;2.6001031;
-1.3549755;-2.489505;-1.2513574;-8.7;-34.26;-29.46;10.065523;2.6743233;4.369418;
-0.35193473;-1.7014887;-3.089451;-9.3;-33.36;-30.179998;5.284302;4.1611223;6.5412583;
-0.32322407;-1.8853592;-3.5555413;-4.7999997;-33.719997;-31.199999;-3.0382419;7.4199305;6.4957685;
0.6700428;-2.2750912;-2.1578815;-0.65999997;-34.14;-30.42;-10.563518;9.79019;6.692093;
0.27053696;-1.1016191;-0.61361414;-0.17999999;-34.44;-28.68;-9.057565;10.149321;0.81402856;
-0.63843054;-0.404011;0.21227567;-0.35999998;-35.04;-27.48;-4.783615;8.202834;-1.6879122;
-1.4734833;-0.24090998;0.5305365;-0.71999997;-34.26;-28.74;-1.7717092;5.1933227;-0.47165772;
-1.5516741;0.16042848;0.034513887;-1.38;-31.08;-31.859999;-0.19871874;2.1260512;1.2138603;
-1.9927188;1.015029;-0.47616947;-1.14;-29.58;-35.16;-0.89064306;0.50517654;1.1085154;
-1.4942528;1.3809372;-1.5305228;1.92;-26.099998;-37.26;1.7597382;-0.90261406;2.791639;
-3.2724814;1.3284029;-2.2110267;7.02;-21.06;-40.5;-4.1922474;-3.0454245;-1.3742718;
-3.4722345;0.35224018;-1.9709567;9.96;-13.44;-41.82;-3.5673606;-3.5338416;8.748713;
-5.5455112;0.2251802;-1.5183055;12.54;-2.76;-45.239998;-7.4103537;-3.4859576;16.092028;
-3.8082104;0.32658383;-1.8530598;12.48;9.24;-44.28;-5.56203;0.7637503;23.844454;
-3.2492685;1.0932198;-2.5011878;11.639999;19.439999;-41.76;-10.738294;3.9217024;25.140017;
-1.7251598;0.45608726;-1.0784826;11.94;26.22;-38.399998;-7.3385277;4.9371433;21.526867;
-1.1368966;0.3644575;-0.54519725;12.0;30.42;-36.36;-5.2651486;3.727772;17.15266;
-0.44784057;0.27221683;-0.63438356;12.36;33.42;-34.92;-4.51307;1.9057846;12.294525;
-0.20288362;0.05169447;-0.38148534;11.5199995;34.14;-34.559998;-3.5889084;0.0;11.506833;
0.09216429;0.26855165;-0.83169305;11.099999;34.32;-33.0;-3.892972;-1.1013328;10.85561;
0.54786974;-0.047876563;-0.6649268;10.98;35.28;-33.78;-5.0113635;-2.0638018;9.929053;
0.39271;-0.07780896;-0.18478674;9.66;34.62;-33.48;-4.343082;-2.0566192;8.605061;
0.18073976;-0.006948592;0.052839845;8.88;33.96;-34.5;-4.7070007;-2.3080103;8.945037;
