gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.055741455;0.049480084;0.10682506;-40.14;-27.06;-13.559999;8.248324;3.6822822;4.697424;
-0.22922719;0.5882632;0.1642464;-38.64;-26.46;-13.38;7.5564;4.197036;6.277896;
-0.19624045;0.57848936;0.010919216;-39.0;-25.56;-14.759999;7.0272813;5.992986;11.413459;
0.73899424;1.8399261;-0.3366631;-38.399998;-27.119999;-16.8;4.8841715;4.1515455;21.263504;
3.7029123;2.7214046;0.8484155;-36.48;-29.22;-19.68;5.9498906;0.2705448;19.532495;
3.4121406;3.6706893;0.7250207;-34.26;-31.679998;-20.64;10.982503;0.5602432;12.495638;
3.3351715;4.1233406;1.3700944;-31.92;-33.059998;-22.439999;13.546693;-1.9680338;9.069535;
4.639369;2.928488;1.2069933;-28.14;-34.8;-22.14;15.172655;-2.2361844;0.93373865;
2.8428142;0.9266826;-0.11797335;-28.98;-37.44;-18.359999;14.410999;4.6016555;-8.662521;
1.8916969;0.6078109;-0.13080151;-28.32;-39.3;-12.78;12.311284;11.00405;-2.006341;
2.8489227;-1.0641272;-1.2670109;-28.199999;-40.739998;-9.54;12.146085;17.581223;-3.181894;
1.0743593;-1.4129313;-2.3958898;-25.8;-43.26;-4.44;12.96969;18.522142;2.8275523;
1.8208365;-2.0696115;-3.3757176;-21.779999;-45.96;1.38;11.176433;11.909059;6.6729393;
1.288773;-1.2944235;-3.1277065;-14.5199995;-49.26;5.4;6.426337;2.2481554;7.142203;
1.4036156;-1.1136073;-1.9334649;-7.9199996;-50.879997;10.0199995;0.7110779;-3.7349546;4.7261543;
1.6888897;-0.7147123;-0.43195808;-2.82;-50.7;13.98;0.35913026;-2.60968;0.23223756;
1.0810788;-1.0256428;0.036575556;-1.9799999;-49.26;17.82;2.6623523;-0.10055647;-5.315427;
1.4610369;-1.5485435;0.81726134;-1.56;-47.46;19.199999;1.9608512;1.9752164;-9.076718;
0.3914119;-2.9810224;1.2100477;-0.48;-46.5;22.859999;5.281908;5.3393693;-12.562675;
-0.9812023;-3.4122932;1.213102;1.56;-46.14;23.58;7.534852;8.183681;-7.0153103;
-0.9793697;-3.944357;0.7726682;4.68;-47.579998;21.9;8.949825;11.154885;-3.2345665;
-1.8467983;-4.2277985;0.11720977;7.2;-48.3;18.72;6.586748;10.709563;4.3263226;
-1.5645787;-3.0952542;-0.21876612;10.8;-50.879997;14.46;1.0031705;9.050382;15.457564;
0.4708244;-1.6255124;0.21433735;13.559999;-51.899998;8.4;-2.9712043;6.7567363;15.881338;
0.7530441;-0.17104226;0.6847036;13.86;-52.079998;9.12;-2.4133554;5.39683;7.8939824;
0.44822237;0.30115658;0.7476227;12.66;-51.42;10.26;-0.78290397;1.5921441;2.135628;
-0.5523749;0.552833;1.2772429;11.759999;-51.239998;11.4;-1.8483237;-2.030283;1.067814;
-0.8596401;0.6017023;2.4519367;7.44;-52.5;10.92;0.22505496;-2.8634653;2.5354595;
-1.1724031;0.48197266;3.1965814;0.48;-53.52;8.04;3.5649664;-2.741361;0.4141969;
-1.8296942;0.40866885;5.294293;-9.059999;-54.78;4.5;9.148544;-2.1523874;6.5316815;
-0.22006421;-0.23457226;5.8605647;-25.98;-48.96;-3.0;19.678543;6.3616934;10.541969;
0.20693061;1.1410962;4.8556914;-37.26;-40.68;-5.4;27.776031;15.2013855;0.6919243;
-2.564565;0.9816604;1.6272687;-41.94;-27.0;-9.179999;21.416733;15.464747;-1.8579005;
-2.4882069;0.47647488;0.46540296;-41.879997;-22.859999;-11.34;16.32187;11.2315;5.9858036;
-0.6030767;0.058643065;0.074449204;-40.92;-20.82;-14.099999;11.446978;7.1829042;5.1310735;
-0.2939789;0.034208454;-0.022678372;-41.399998;-21.48;-14.34;9.593865;4.968268;3.13401;
-0.52122074;-0.02565634;-0.27068967;-41.94;-20.88;-14.34;9.402329;3.5625722;3.8666358;
-0.36178493;-0.09590584;-0.39958224;-40.92;-22.02;-13.5;8.6697035;2.4229321;4.235343;
-0.3904956;0.11362094;-0.0978148;-40.98;-22.32;-13.38;8.380005;1.8171991;4.4220905;
0.082924955;0.04642576;-0.008017606;-40.739998;-22.56;-14.46;7.898771;1.3120226;4.3766007;
0.24846944;0.07941248;0.26015225;-40.079998;-22.26;-15.0;8.040029;0.9672575;4.189853;
0.25030205;-0.18448131;0.10865766;-40.62;-21.779999;-14.34;9.117419;1.9081788;3.3183637;
-0.27198774;0.26328292;0.07811439;-40.68;-22.02;-13.98;8.880393;1.685518;4.548983;
-0.021533;0.13744467;-0.094149604;-40.92;-21.84;-15.059999;9.074324;1.7836803;4.831499;
0.39568797;0.039095376;0.1043816;-40.8;-22.14;-15.179999;8.538023;1.5490485;3.775656;
0.1385137;0.02076942;-0.06849326;-39.66;-22.08;-15.839999;8.942642;1.9536686;2.5617957;
-0.15225816;0.03848451;-0.048334714;-39.84;-21.84;-15.66;9.000103;1.8004397;3.3494883;
-0.11804971;-0.03848451;-0.13935363;-39.54;-22.199999;-15.839999;9.373599;1.9249382;3.667917;
-0.16875152;0.04337143;-0.17783815;-40.559998;-22.56;-15.54;9.105449;1.8148049;3.7325604;
-0.22678372;0.06536258;-0.13202325;-39.899998;-22.439999;-16.38;9.081507;1.7046716;3.8259344;
