gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.13255776;0.44936773;0.37125334;-16.14;-28.199999;-17.279999;6.146215;5.770325;4.0653543;
0.44898596;0.26122126;0.9210321;-15.839999;-27.599998;-17.76;7.1350203;6.052841;6.0193224;
0.18875736;0.16103935;0.10980303;-15.78;-27.96;-17.52;7.762301;4.908413;5.7152586;
-0.5216789;0.73097664;0.77625704;-16.26;-28.199999;-17.46;1.2114661;2.858677;12.577041;
2.557082;0.8818603;0.8538369;-17.76;-28.56;-16.98;3.8402996;4.367024;14.756063;
2.3151793;2.6619217;1.0939069;-17.34;-29.82;-15.48;7.678504;7.448661;13.673585;
2.584571;3.1836007;0.5288566;-16.619999;-30.359999;-14.34;8.41113;5.758354;13.302484;
2.7256808;3.7034469;0.5936083;-15.9;-32.28;-13.559999;11.576264;4.4939165;11.027992;
2.552195;4.0864596;1.0432051;-14.4;-34.14;-11.28;10.721535;0.5386954;6.04087;
3.5686748;2.9807932;1.0896308;-15.54;-35.7;-6.18;16.906057;2.087744;-2.846706;
0.6719518;2.0956495;0.23319781;-17.94;-34.559998;-2.82;11.686398;2.2744915;-5.3561287;
0.61941737;1.0040334;0.22892176;-18.9;-33.96;-3.12;9.20361;2.822764;-0.33758244;
0.6994407;0.21357377;0.05299256;-19.56;-35.219997;-1.62;7.0200987;5.897218;-1.6998832;
0.3378085;-0.35025486;-0.1498147;-19.859999;-33.84;-0.59999996;6.230012;10.941801;-0.4141969;
0.38240165;-0.9189704;-0.43997568;-18.539999;-34.38;-0.06;6.6753335;17.490242;1.7788919;
0.5546656;-0.6520223;-1.5230398;-17.88;-36.0;2.6399999;7.913136;23.075914;6.01214;
1.5790867;-0.4198935;-2.26463;-14.759999;-36.54;4.74;5.988198;18.546085;10.58746;
2.1801782;-0.060704734;-2.315332;-10.2;-37.32;7.2;5.59076;14.138061;8.9402485;
2.6859746;-0.40278926;-2.2389739;-4.2599998;-38.1;12.0;4.7644615;8.763078;6.289867;
1.8472565;-0.55245125;-1.7020233;1.0799999;-37.14;18.9;1.7788919;3.0382419;3.9959226;
1.8637499;-0.60376394;-0.9097311;4.5;-34.559998;23.82;0.17717093;-0.9600749;0.9648633;
1.930945;-0.3844633;-0.46563202;7.8599997;-32.88;27.0;1.0319009;-1.292869;0.21068975;
1.5143349;-0.5927684;0.13729197;10.5;-30.119999;30.3;-0.019153614;-0.39264908;-5.171775;
0.6401868;-0.73571086;0.762818;11.7;-28.32;32.88;1.982399;1.721431;-7.6114664;
0.42638394;-1.5994743;1.32909;10.74;-26.76;34.26;2.6839;3.9839516;-9.555558;
-0.51923543;-2.0918317;1.3211488;11.34;-26.16;33.96;5.2244473;7.714417;-10.659286;
