gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.63407815;0.56909734;-0.06246097;-34.5;-27.359999;-1.4399999;6.100725;5.897218;4.7261543;
-0.12767084;0.07429648;0.322995;-34.68;-26.82;-3.9599998;4.6112323;5.4040127;5.430349;
0.51251596;-0.018555032;0.35414913;-34.98;-26.099998;-4.38;5.4399257;5.6290674;6.0815716;
0.729984;0.02359467;0.35170567;-35.46;-25.68;-2.28;5.1765633;5.954679;7.568371;
1.215011;0.35773796;0.5019785;-35.34;-25.08;-2.22;4.4915223;6.402395;9.129391;
-0.26633725;0.90262973;0.6382015;-36.48;-27.66;-2.58;6.1917048;6.905177;11.200375;
1.7470746;2.7089584;1.1873693;-38.28;-28.26;-7.2;4.405331;2.1739352;14.8590145;
3.6370916;2.8427377;1.4866933;-39.36;-26.039999;-8.34;8.722376;2.8682537;13.424588;
3.3982434;3.263624;0.8733846;-39.719997;-23.939999;-10.92;10.711958;4.355053;9.10066;
3.2302554;3.1603878;0.1049161;-40.02;-23.64;-13.38;12.660838;3.394978;6.3114147;
1.9278907;2.5873961;0.1947133;-38.52;-25.32;-16.619999;11.446978;0.82360536;1.3431472;
1.8698585;1.5867988;0.41829;-37.32;-25.32;-18.96;12.098201;2.111686;-0.6943185;
2.1245892;1.382159;0.767094;-37.079998;-26.82;-19.619999;12.004827;5.732018;-3.311181;
2.0702224;-0.100410976;-0.72036284;-36.719997;-26.16;-18.18;14.243405;19.099146;-4.876989;
0.2321288;-0.6184247;-2.042886;-35.04;-29.34;-16.199999;10.647314;19.388844;0.11492168;
2.1539109;-1.7491363;-2.1058052;-33.3;-32.46;-13.679999;5.552453;15.244481;4.4196963;
1.8979583;-2.240272;-2.0502164;-29.76;-36.42;-9.42;4.8937483;13.668797;1.8004397;
1.3420709;-2.2066743;-1.7001907;-25.5;-39.96;-1.62;2.1068976;10.175656;3.5098996;
1.0830641;-2.3526711;-1.0532844;-21.359999;-42.18;4.56;4.781221;5.23163;1.0630256;
0.8741482;-2.3636668;-1.8968893;-17.279999;-43.32;8.28;3.5051112;1.8626889;3.371036;
0.40133846;-0.685009;-1.0978775;-11.7;-44.579998;12.42;2.3798366;-0.4357447;5.9977746;
1.7898352;-0.295277;0.44700065;-7.7999997;-43.379997;14.5199995;-3.0909145;-2.360683;-1.103727;
1.2052372;-0.23357959;1.0706941;-7.56;-40.98;18.24;-0.5363012;2.755726;-6.476615;
0.27550024;-1.3123677;1.1995866;-10.2;-39.3;21.359999;0.545878;5.315427;-11.36318;
-0.07880162;-1.8144989;1.3180945;-10.5;-38.1;22.68;1.99437;6.7256117;-8.427889;
0.01160644;-2.5676956;1.1800389;-9.78;-38.82;22.439999;3.7205894;8.401553;-9.419088;
-0.7501425;-2.8896217;1.1971432;-9.48;-36.42;25.019999;3.7972038;8.542811;-6.9219365;
-0.86070913;-3.3654857;1.0951287;-7.3199997;-37.079998;24.3;4.1659107;9.675268;-5.0329113;
-1.4080443;-5.389893;2.004707;-4.08;-37.98;24.119999;2.3247697;8.243536;-5.624279;
-0.72143185;-4.0594287;2.1458168;-1.38;-40.32;22.68;6.8501105;9.292196;7.285855;
0.4728097;-2.7198012;0.9253081;1.26;-40.92;21.66;5.6673746;11.485285;9.708787;
-0.10262536;-0.25373816;0.100029185;2.82;-40.559998;22.38;2.432509;10.752659;9.43106;
0.6835582;0.42248967;-0.3294091;3.6599998;-40.5;22.56;0.02873042;8.978556;3.4045548;
0.2687807;1.2190579;-0.3715588;3.1799998;-39.42;23.76;0.6392518;6.3114147;1.5370775;
-0.122783914;1.2520447;-0.14248432;1.56;-38.94;24.96;-1.7405846;0.6440403;1.7501614;
0.53023106;1.3674982;1.1232284;-0.24;-37.98;24.66;-1.6783354;-1.1851299;0.62009823;
