gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.35162932;0.52106804;0.082161374;-1.62;-34.44;-25.68;2.6288335;6.01214;5.255572;
0.05459608;0.004276057;0.43218717;-1.3199999;-34.32;-26.76;2.6288335;5.281908;8.51408;
0.25923595;0.9089675;0.80848014;-2.9399998;-33.66;-27.599998;1.328782;4.7405195;8.688857;
0.7729736;0.539394;1.1291844;-3.54;-33.6;-26.82;0.5315128;5.0376997;10.762236;
0.6886742;1.5467108;1.0754282;-4.56;-35.28;-26.039999;2.1691468;6.807015;11.770195;
0.61964643;2.3988678;0.59956425;-4.2599998;-36.12;-24.66;2.2744915;6.5532293;11.130943;
0.81634504;2.3280075;0.91538155;-3.06;-36.54;-24.24;2.4372973;5.150227;11.851598;
1.3038155;2.5332582;1.1847731;-3.06;-36.54;-23.1;5.0448823;5.2771196;10.807726;
0.9916634;2.2455406;1.1560625;-3.3;-37.62;-20.699999;4.9539027;4.280833;9.859622;
1.4363732;2.3335052;1.3051136;-4.68;-38.52;-19.199999;6.2826843;4.0174704;9.110237;
1.2433399;1.9511036;1.1346822;-7.08;-39.18;-17.52;7.2595186;4.4939165;6.4861917;
0.4339434;1.7592919;0.8237518;-8.46;-38.04;-17.76;7.879617;4.7764325;3.7660792;
0.65446573;0.13072516;0.90194255;-9.78;-38.82;-17.76;7.230788;4.747702;1.7884687;
0.64041585;-0.44898596;0.9056077;-10.08;-38.64;-16.56;7.1517797;4.891354;1.7788919;
0.7430412;-0.58093286;1.003957;-12.84;-39.239998;-15.36;5.087978;7.400777;2.291251;
0.4376086;-0.35430184;0.22632557;-14.88;-39.3;-13.139999;6.7567363;10.678439;2.195483;
-0.1952478;-0.36468655;-0.18784106;-15.9;-39.42;-12.48;5.3561287;10.8029375;5.2771196;
0.22075143;-0.29932398;-0.35460728;-16.02;-39.84;-11.639999;4.232949;11.810896;6.2156467;
0.83528185;-0.4746423;-0.6062838;-15.24;-40.14;-11.5199995;4.343082;12.917017;5.1191025;
0.71310884;-0.41538838;-0.98440933;-13.92;-40.98;-9.179999;3.5242648;12.191574;5.976227;
1.0991757;-0.31581733;-1.1023064;-11.34;-42.899998;-5.8199997;2.7126305;10.513239;6.0552354;
1.351463;-0.3726278;-0.8530733;-9.599999;-43.379997;-4.2;2.1164744;9.584289;5.717653;
1.3618478;-0.4166101;-0.7968737;-6.8999996;-43.62;-0.78;1.5873557;8.849269;3.916914;
1.3251958;-0.19303341;-0.8402451;-6.24;-44.46;3.12;1.7070658;8.715194;4.3766007;
1.6471218;-0.49174652;-0.61483586;-3.84;-43.44;5.4;1.0654198;8.990526;1.733402;
