gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.18012889;-0.11690433;0.5012149;9.42;-1.8;-44.879997;-5.1813517;4.757279;7.7790604;
-0.033673946;0.2587778;0.4541783;9.36;-3.6599998;-46.02;-4.3885717;5.0975547;6.562806;
-0.10209085;0.14026994;0.66614854;10.32;-3.6;-44.879997;-6.2731075;4.7046065;7.0560117;
0.020082194;0.27038422;0.6068946;9.9;-3.8999999;-44.52;-7.4582376;4.982633;4.9371433;
-0.30062205;1.2111167;0.3454443;11.219999;-4.92;-44.579998;-11.976096;5.0257287;5.858911;
0.08116872;1.5006669;2.0271564;12.84;-4.38;-43.739998;-13.53951;3.41892;6.763919;
-0.28962648;2.56907;1.9000963;15.96;-5.4;-43.559998;-12.067076;3.596091;7.5994954;
-0.5669593;3.095025;2.6972754;20.039999;-6.24;-40.739998;-12.318467;1.9991584;9.900323;
-0.8827766;3.6643515;2.7418687;24.24;-7.3199997;-38.399998;-5.2627544;3.1004913;12.265795;
-0.6836346;3.4419966;2.8426614;29.34;-9.36;-32.82;-6.6609683;-0.021547815;15.826272;
-0.76793396;2.7792077;3.4168746;32.64;-12.42;-28.619999;-0.9959879;-0.7038953;12.014403;
-0.58956134;1.8879554;2.3344216;33.0;-17.88;-25.619999;3.6583402;1.4532804;11.849203;
-0.18333593;1.2306644;1.3338243;32.1;-20.22;-23.22;4.747702;3.4045548;9.5292225;
-0.1521818;0.48846313;0.34116822;31.859999;-22.859999;-20.76;5.114314;8.387188;9.1389675;
0.43180537;-0.4003458;0.51159966;32.76;-23.34;-21.24;2.4995465;14.909292;10.34325;
0.92049754;-1.1046734;1.0461067;30.96;-25.619999;-20.699999;-3.3997664;16.645088;9.591472;
1.3316098;-1.8114445;2.1474967;28.08;-28.14;-21.0;-1.1228806;16.271593;9.62499;
1.9400316;-1.8163315;1.3582588;23.58;-31.019999;-20.939999;-0.91697925;15.148713;10.71914;
2.4977517;-1.7680731;0.9801333;18.72;-35.76;-19.08;-3.0478187;11.451766;8.794202;
2.079309;-1.5212835;0.79809546;15.78;-38.879997;-14.94;-5.734412;5.873276;4.9778447;
1.6718618;-1.5982525;1.5146403;13.0199995;-41.34;-12.54;-4.7500963;1.4939818;1.661576;
0.55214584;-1.727756;1.933083;8.58;-43.379997;-10.26;-0.16998832;0.9888053;1.0486604;
0.40920335;-1.2256248;1.1743884;3.84;-45.12;-8.94;3.040636;1.0486604;-0.08619126;
-0.0061850105;-1.5267813;1.1756102;0.06;-45.6;-8.22;6.8165917;2.44448;0.009576807;
-0.38125628;-1.7747926;0.49205196;-2.7;-45.36;-8.82;11.523592;4.000711;0.581791;
-0.8821658;-2.433916;0.0571159;-5.22;-45.239998;-8.82;11.700763;4.9491143;2.0925324;
-1.0373255;-2.6538277;-0.9483683;-5.8199997;-45.12;-10.559999;9.404723;6.5819597;4.2401314;
-1.0861948;-3.314173;-1.1676689;-4.2599998;-44.34;-12.9;3.4213142;8.236353;5.80145;
-0.7624362;-3.2023847;-1.2140946;-3.06;-43.26;-15.599999;-5.4135895;10.529999;7.7814546;
0.061621033;-2.6416104;-0.46944994;-2.9399998;-43.079998;-15.42;-11.861175;10.541969;1.8028339;
-0.23953554;-1.6990453;0.49510628;-3.72;-43.5;-14.759999;-11.753435;9.062353;-1.6831238;
-0.6683629;-0.14928019;0.38087448;-5.52;-43.559998;-14.82;-8.334516;7.7814546;-2.0159178;
-0.43317983;0.3009275;0.6918049;-6.18;-42.84;-16.859999;-3.3039982;4.27365;-2.825158;
-1.166829;0.7627416;0.30940324;-8.22;-42.12;-18.9;1.1827357;0.8403648;-3.6272156;
-1.8241199;0.8580366;-0.54458636;-8.28;-40.379997;-21.779999;2.89459;0.6440403;-0.08619126;
-2.0709095;1.2715924;-1.8298469;-5.46;-38.28;-25.199999;0.29209262;0.9768343;0.9504981;
-3.0666199;0.7945066;-1.3252722;-0.12;-34.32;-29.64;-1.6160861;2.8275523;4.3981485;
-3.1814625;0.44081563;-0.9611965;2.04;-29.46;-34.2;-2.3798366;7.8484926;9.95539;
-2.9499447;0.74869174;-1.7150042;5.04;-23.16;-39.059998;-3.0023289;11.466131;13.766959;
-2.2052999;0.39133555;-1.4810427;7.98;-17.279999;-41.76;-3.6487634;13.642461;13.280936;
-1.180268;0.50251305;-1.6832392;10.26;-12.9;-43.02;-3.7804444;13.855544;13.496414;
-0.71417785;0.25083655;-1.0522153;12.179999;-8.04;-43.44;-5.06643;11.217134;10.573094;
-0.2560289;0.026648996;-0.74372846;14.04;-5.4;-43.379997;-3.1962593;10.245089;10.10383;
-0.36231944;0.26061037;-0.7315111;13.5;-5.04;-43.44;-4.5753193;8.53084;7.8820114;
-0.015958855;0.08407033;-0.3313944;15.42;-5.1;-43.379997;-3.6655228;7.6018896;9.093477;
0.43180537;0.37789652;-0.6044512;16.32;-4.44;-43.5;-4.55856;6.218041;8.075942;
0.5277112;0.47441322;-0.5751296;17.22;-4.3199997;-42.84;-5.63625;4.9251723;7.0081277;
0.5997933;1.676596;-1.8212948;18.539999;-5.1;-42.36;-3.145981;6.6657567;8.925883;
1.3548228;3.5372915;-3.9464948;23.22;-4.92;-40.62;-4.189853;4.012682;4.8937483;
0.7751116;2.8366292;-3.2971451;30.06;-4.08;-35.1;-8.605061;2.4181437;1.9800048;
