gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.12347114;-0.32276592;0.19272798;-33.84;5.22;-25.74;3.7014358;4.060566;7.3504987;
-0.2590832;0.20868684;0.16768251;-33.0;5.7599998;-25.5;4.050989;4.1060557;8.370428;
0.24121541;-0.021609358;0.18417588;-32.16;5.46;-25.98;3.7301662;4.0294414;8.8684225;
0.102549;-0.05093089;0.28252518;-32.64;5.8199997;-26.279999;2.6647465;4.3382936;8.5739355;
-0.21571179;0.21357377;0.183565;-31.92;6.24;-25.68;1.697489;4.1012673;11.423036;
-0.08071057;-0.072922036;0.05100725;-32.579998;5.64;-27.06;-2.72939;2.3774424;14.938023;
0.71891207;1.1634692;0.9447031;-31.98;4.14;-27.539999;-2.006341;-0.79008657;18.859726;
2.17888;1.2434926;1.7718146;-30.359999;2.28;-29.46;0.24420857;-2.5809495;17.600376;
2.8276188;2.239203;2.8554895;-28.859999;1.02;-31.019999;6.7351885;-3.7660792;14.830284;
3.5740962;2.9227612;2.6123652;-24.779999;-0.65999997;-33.899998;12.045528;-2.8514943;9.785401;
2.972394;2.560518;2.0986276;-20.22;-4.92;-35.82;12.39987;-1.3982137;5.0353055;
2.2778401;2.5855634;1.3454307;-15.66;-8.5199995;-36.48;12.8332205;1.661576;0.60094464;
1.0420598;1.2074515;0.6209445;-12.84;-11.16;-36.78;9.179668;3.5338416;-2.432509;
-0.2541963;1.1335368;0.754724;-9.24;-12.179999;-36.48;9.354445;4.994604;2.6647465;
2.0939696;-0.26229027;0.99112886;-7.74;-11.639999;-36.719997;9.00968;8.9187;-0.009576807;
0.15935947;-0.76564324;0.18234327;-9.719999;-15.24;-35.1;9.165303;18.186954;0.19871874;
0.868574;-1.2231812;-0.9642508;-10.86;-17.22;-34.02;8.612243;22.039225;8.952219;
2.1715496;-1.2005793;-2.1798725;-12.059999;-19.02;-32.82;8.672098;20.19569;12.1005945;
2.6840656;-1.4522557;-2.741258;-11.639999;-24.18;-29.22;6.7974377;15.072098;9.184457;
1.838628;-1.2463942;-2.6410758;-9.66;-30.24;-24.72;5.2651486;8.8205385;10.017639;
1.7977;-0.73082393;-1.7479908;-6.48;-35.34;-20.699999;3.0430303;3.2704794;7.9179244;
2.1501694;-0.6007096;-1.2281445;-3.48;-38.64;-16.32;3.7732618;0.48841715;3.8953662;
3.1611512;-0.6147595;-1.5861117;-1.3199999;-41.64;-11.16;2.3223755;-0.9504981;-0.4165911;
1.68469;-0.51030153;-0.6795876;1.14;-43.739998;-5.16;0.6536171;0.59136784;-10.49648;
1.07749;-0.984333;0.61300325;2.8799999;-44.94;0.42;1.364695;2.183512;-5.686528;
1.7958674;-2.6892579;0.95264435;1.1999999;-45.36;2.76;3.205836;4.537012;-12.584224;
0.41103595;-3.8340194;1.0503827;-0.59999996;-45.48;6.8399997;4.1706996;6.194099;-8.281843;
-1.3452016;-3.7711003;1.185384;-1.92;-45.059998;8.5199995;3.643975;7.8580694;-3.110068;
-0.85284424;-3.885332;0.6954701;-3.54;-45.18;6.7799997;3.2561142;10.043976;7.156568;
-0.10392345;-2.6507733;0.54458636;-5.22;-44.76;4.8599997;-0.8379706;11.918635;8.88997;
-0.20960313;-1.5854244;0.3313944;-6.2999997;-44.34;5.8199997;-3.2872388;10.592248;8.2315645;
-0.29084823;-0.38873938;0.2593123;-7.98;-43.44;6.3599997;-4.220978;7.0081277;5.44232;
-0.1521818;0.40355286;0.80970186;-7.3799996;-44.579998;5.3399997;-4.0533834;4.0581717;4.084508;
0.15997034;0.23189972;0.94714653;-10.62;-43.32;4.74;-1.0390835;2.6264393;-0.05267244;
-0.6133851;0.40477458;1.3142766;-12.42;-42.3;4.92;-1.6519991;0.16280572;-0.18435353;
-1.2627348;0.45120034;1.8915442;-16.14;-41.04;3.06;1.1109096;0.17956513;-0.6823475;
-1.629254;0.0016035213;2.7821858;-20.22;-38.04;-0.53999996;0.94570965;-0.91697925;1.4772224;
-1.9841666;0.096898496;3.7168095;-26.58;-34.86;-3.6;7.4678144;2.621651;1.8986019;
-2.127109;-0.5811619;3.9910882;-33.6;-27.96;-6.24;10.932224;6.304232;6.7304;
-1.7758616;-0.07414377;3.016758;-38.52;-18.72;-9.66;14.6169;11.346421;6.926725;
-3.0140855;1.1976776;2.2928827;-41.1;-11.94;-10.5;15.385738;12.421417;9.845257;
-1.9291888;-0.22014056;1.5048665;-42.0;-3.9599998;-14.4;14.047081;12.622531;11.348815;
-1.0416017;0.1109484;0.49388456;-42.78;1.8;-14.219999;11.518804;11.339238;8.866028;
-0.337274;0.09201158;0.21471913;-42.48;3.54;-14.7;9.615414;9.349657;8.174104;
-0.099647395;0.07002043;-0.08155051;-42.18;4.2;-15.24;8.456619;7.7862434;4.853047;
-0.21265747;0.1286635;-0.10170906;-42.96;4.56;-14.58;8.427889;5.9379196;5.5452704;
-0.038560867;-0.08819367;-0.3820962;-42.0;4.14;-15.48;8.269872;5.090372;4.6375685;
-0.43928847;-0.0045051314;-0.61178154;-42.18;3.24;-15.24;8.004115;4.024653;5.2388124;
-0.6915758;0.4554764;-0.4718934;-41.94;1.74;-15.059999;7.7694836;2.7341783;5.6290674;
-0.3458261;0.4377613;-0.48899764;-41.219997;2.76;-15.9;6.218041;2.791639;6.244377;
