gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.2972623;0.14844026;-0.054061573;-25.26;-32.1;-16.32;6.586748;4.355053;5.880459;
0.09735665;0.07880162;0.13103059;-23.76;-32.219997;-17.22;6.0456586;4.3478703;7.9298954;
0.78580177;-0.27122417;0.11759156;-23.88;-32.1;-16.92;5.904401;4.747702;6.3856354;
0.7784714;-0.27916542;0.2764165;-24.66;-31.98;-15.54;5.585972;5.3010616;7.5180926;
0.9226356;0.40866885;0.20799962;-25.5;-32.94;-14.28;4.010288;4.944326;10.19481;
1.3520739;0.9578367;0.42119157;-26.58;-34.44;-13.679999;5.0975547;4.7165775;9.112631;
1.5310574;1.6670512;0.64965516;-27.359999;-35.219997;-12.059999;5.5476646;4.015076;9.809343;
1.3459653;1.8771889;0.47616947;-28.859999;-35.82;-12.059999;5.729624;4.4580035;8.095096;
1.2225704;2.357329;0.68019843;-29.4;-34.5;-12.54;5.621885;2.7868507;11.329661;
1.9091829;2.266921;0.8689558;-30.599998;-34.44;-13.86;7.1589622;2.956839;9.335292;
1.8242728;2.6004534;0.9947941;-30.48;-33.78;-14.5199995;6.4454904;1.328782;10.47972;
2.6513844;2.388483;1.063211;-30.3;-32.82;-14.759999;10.635344;2.2098482;9.378387;
2.8694632;1.8545868;0.19639318;-31.56;-32.94;-14.82;11.11179;4.608838;1.0462662;
0.46509752;1.6823229;-0.026572637;-30.06;-34.2;-13.92;8.590695;3.5242648;-1.6950948;
0.52129716;0.95905846;1.1029172;-30.3;-34.2;-16.02;7.4797854;4.9155955;3.5075054;
1.3423;0.70005155;0.6252206;-30.539999;-33.36;-16.38;8.370428;9.80695;-0.45489833;
0.037491854;0.43799037;-0.076052725;-31.619999;-32.7;-15.24;6.5221047;12.780548;2.8514943;
1.2702179;0.32375857;-0.25809056;-31.92;-33.239998;-15.299999;5.18614;13.908216;6.751948;
1.323974;0.3567453;-0.9306532;-30.48;-34.62;-14.099999;4.213795;15.328278;3.3446999;
1.8554268;-0.050701816;-1.3246613;-29.22;-36.239998;-13.259999;6.134244;15.99626;4.4699745;
1.6929367;-0.1459968;-1.8958203;-25.619999;-39.84;-8.88;6.088754;14.20031;3.9360676;
1.9574413;-0.32498032;-1.8322903;-21.06;-42.36;-5.7599998;4.3478703;10.858004;5.1334677;
2.3526711;-0.5992588;-1.4792101;-17.22;-44.219997;0.12;5.0736127;8.978556;3.064578;
1.6666695;-0.49235737;-1.2568552;-14.5199995;-44.64;5.1;5.612308;6.5532293;-1.4389153;
1.0948995;-0.67011917;-0.93554014;-11.04;-44.34;8.7;5.4159837;3.6032736;-1.8866309;
1.8297704;-1.1924089;-0.35216382;-9.059999;-42.96;12.3;4.453215;2.2529438;-7.1637506;
1.6379588;-2.792876;0.40958515;-5.58;-42.48;16.32;5.8636994;4.879383;-9.002498;
0.22747095;-3.5729508;0.5708536;-4.02;-40.559998;20.279999;8.052;6.7734957;-5.930737;
-0.3375794;-4.605924;-0.07422013;-1.0799999;-39.719997;20.4;9.036016;7.1254435;-1.5825673;
-0.49396092;-4.3377542;-0.023518313;5.7;-40.02;19.98;2.992752;5.243601;8.719982;
1.0955105;-4.5081854;0.5299256;9.84;-41.399998;18.84;-0.62728083;7.606678;9.914688;
-0.434707;-2.4947736;0.12492194;16.68;-41.34;17.76;-3.6631286;9.261071;11.209951;
0.38751763;-1.67316;0.16768251;18.9;-42.42;16.859999;-5.418378;9.229947;7.4103537;
0.48403436;-1.0012082;0.3436117;19.8;-41.82;15.36;-5.293879;8.763078;7.120655;
0.381409;-0.32803464;0.2855795;20.88;-40.86;16.02;-4.237737;8.128614;3.0502129;
0.17310394;0.14294247;0.4034765;20.699999;-40.739998;17.1;-3.9456444;6.5556235;1.6567876;
0.0613156;0.20708331;0.6068946;19.56;-40.8;17.1;-3.2321723;4.1706996;2.0111294;
-0.10361802;0.50946164;1.1206323;17.16;-40.98;18.0;-2.066196;2.6240451;0.49799395;
-0.22456934;0.5852089;1.525636;15.0;-42.12;17.88;-0.32561144;1.5634137;1.8339585;
-0.67538786;0.77518797;1.674687;11.46;-42.96;17.039999;1.757344;1.7741034;-0.31124622;
-0.73097664;0.43554693;2.8231137;6.42;-43.8;15.42;3.0789435;0.6464345;4.3263226;
-1.3754394;0.82344633;3.0466905;0.24;-44.76;13.98;5.930737;4.220978;1.6879122;
-1.6301702;0.5320636;3.4419203;-6.6;-45.66;11.7;9.395146;8.636185;3.3087866;
-1.9288833;0.26083946;3.0192015;-14.88;-44.64;6.06;12.572252;14.396634;2.717419;
-2.4914904;0.45753807;1.9526308;-20.22;-41.16;2.46;15.218144;18.435951;5.803844;
-1.4420238;-0.26328292;1.1395692;-25.619999;-38.1;-4.5;10.92983;16.319477;6.5436525;
-1.1274282;0.2846632;0.48349985;-27.0;-37.92;-6.24;9.519646;13.759776;6.9817915;
0.118126065;-0.0580322;0.34300083;-28.8;-36.3;-9.179999;7.463026;9.948207;4.321534;
-0.43165267;0.08246681;0.064446285;-29.039999;-35.64;-8.76;7.5516114;8.368034;2.4157495;
-0.35040757;-0.092240654;-0.12736541;-28.98;-36.239998;-9.12;6.9578495;6.0193224;5.0688243;
-0.13538301;0.25289822;0.18784106;-29.16;-36.0;-9.42;7.0512233;5.1454387;6.110302;
0.55794907;0.18570304;0.20189096;-29.039999;-35.579998;-9.719999;6.914754;5.06643;4.3406878;
0.26900977;0.32375857;0.2959642;-28.74;-34.86;-9.0;6.1773396;4.994604;2.8754363;
0.18532124;-0.06352998;-0.27885997;-29.46;-34.32;-8.76;7.525275;5.6649804;3.2561142;
