gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.107741356;0.22785273;0.21288654;-34.44;-25.38;-15.54;4.9251723;6.0791774;5.746383;
0.14439327;0.14905111;0.18906279;-34.559998;-25.32;-15.839999;4.6950297;6.16058;6.728006;
0.11323915;0.27183503;0.2574797;-34.38;-25.5;-15.78;3.596091;6.122273;7.230788;
0.41317397;0.5705481;0.10781772;-35.28;-25.199999;-16.68;2.15957;6.184522;9.672874;
0.42905647;1.2064588;0.36010507;-34.079998;-25.859999;-17.4;0.58897364;6.5675945;12.440571;
0.67401344;1.5937474;0.2507602;-34.92;-24.3;-17.88;0.6823475;6.4981627;12.675203;
1.3111459;2.2204952;0.90377516;-32.88;-25.019999;-20.58;0.8523358;3.904943;16.05851;
2.2482133;2.6187794;1.452943;-32.16;-24.6;-22.56;4.6136265;4.012682;13.331214;
1.7473037;2.7531698;1.217149;-31.38;-24.18;-24.539999;6.9458785;3.9264908;11.396699;
2.3050237;3.1111367;1.4523321;-29.64;-23.939999;-26.4;9.86441;0.9888053;9.718364;
2.5463154;2.7733283;1.3588698;-28.199999;-24.18;-28.439999;13.67598;3.1675289;-1.1013328;
0.2757293;1.568091;0.25381452;-26.58;-24.9;-29.519999;11.693581;5.064036;-5.245995;
-0.11339186;0.7257079;0.15790866;-24.359999;-25.26;-31.32;9.153333;5.3513403;0.110133275;
1.2317334;-0.11056661;0.3191771;-24.119999;-25.14;-32.399998;8.708011;12.596194;-0.29209262;
0.9134726;-0.5534439;-0.07544186;-24.42;-26.099998;-31.14;5.978621;16.8055;3.229778;
1.6129134;-0.7452556;-0.795652;-23.939999;-27.779999;-29.039999;4.4340615;17.37532;6.3138094;
2.7265208;-0.71837753;-0.95264435;-24.48;-32.34;-24.359999;5.4399257;16.829443;6.392818;
2.0759492;-0.7147123;-1.7754798;-22.8;-35.1;-18.72;4.381389;13.505991;4.429273;
2.4100924;-0.92057395;-1.57084;-20.16;-39.12;-14.639999;2.4636335;9.639356;5.430349;
2.2433262;-0.97310835;-1.1749994;-17.1;-41.76;-7.8599997;1.1611878;6.6729393;1.9632454;
1.641624;-1.0256428;-1.1798862;-13.86;-42.899998;-2.7;1.6927006;3.9193082;1.0869676;
1.2665527;-0.59131753;-0.33200526;-11.34;-44.28;1.3199999;-0.521936;0.62009823;1.5586253;
1.0527499;-0.30970868;-0.08277224;-10.08;-43.92;5.58;-0.1364695;0.61770403;-1.7884687;
0.60498565;-0.37018433;0.42241332;-10.2;-43.739998;8.58;0.095768064;2.2649148;-6.9434843;
0.22502749;-1.0800097;0.7058548;-10.559999;-42.6;10.2;1.1971009;4.5178585;-8.3824;
-0.03153592;-1.668273;1.1633929;-11.16;-42.059998;11.7;3.0358477;6.136638;-7.680898;
-0.25328;-2.1777346;1.2012665;-12.54;-41.46;13.139999;3.311181;7.723994;-6.158186;
-0.36323574;-2.4446826;1.2556335;-13.86;-40.62;13.259999;4.2784386;9.330503;-5.9474964;
-0.4023311;-2.8258626;1.0064005;-13.92;-40.2;14.4;5.0568533;10.759842;-3.301604;
-0.81955206;-2.7580566;0.47678033;-13.32;-38.76;15.9;4.51307;11.571476;-2.4779987;
-1.0394635;-2.8643472;-0.109650314;-11.28;-40.44;16.26;1.3910311;10.340857;1.2306197;
-0.47563496;-2.3041837;-0.09987647;-7.62;-40.079998;15.9;-0.49320555;10.69041;6.0217166;
-0.14026994;-1.7079792;-0.048563786;-5.2799997;-40.86;15.96;-3.169923;9.766248;5.933131;
-0.22823453;-0.79412484;0.116980694;-3.24;-40.5;15.839999;-4.6136265;7.7431474;6.01214;
0.36858082;-0.25473082;0.505491;-3.06;-41.219997;15.9;-3.1004913;7.996933;2.1499932;
-0.11461359;0.014049901;0.3100141;-4.08;-40.079998;16.92;-2.3942018;6.6609683;-0.20590134;
-0.15920675;0.20463985;0.6282749;-4.44;-39.84;16.02;-2.7509377;5.456685;0.41180268;
-0.19036089;0.4709771;0.68325275;-6.48;-40.079998;16.859999;-0.320823;6.3162036;-2.2002714;
-0.87269735;0.25228736;0.8011498;-8.16;-39.42;15.179999;0.17956513;6.08636;-0.34715924;
-1.1720214;0.37995818;0.9294315;-9.9;-39.719997;13.92;-0.04309563;5.894824;0.17238252;
-0.7401396;0.16371189;1.3008375;-12.0;-41.219997;12.12;2.9017725;7.522881;1.292869;
-0.69676816;0.34574974;1.2568552;-15.54;-40.86;8.94;2.72939;8.169315;3.7924154;
-1.1353694;0.32070425;1.1951579;-16.02;-40.26;8.16;4.9371433;9.792584;0.38067806;
-0.8281042;0.036651913;1.611768;-21.0;-38.64;4.7999997;3.0190883;7.982568;6.04087;
-1.2392166;0.30909783;1.1774428;-23.22;-37.98;3.24;5.3010616;10.513239;-0.20590134;
-0.85559314;-0.22785273;1.7492126;-26.519999;-35.76;-0.65999997;5.8780646;10.558729;4.1036615;
-1.7828866;0.30176744;1.2116512;-29.58;-33.48;-1.3199999;7.51091;12.38311;1.1587936;
