gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.026267206;0.0016035213;-1.5271631E-4;-25.98;-9.599999;-42.059998;7.4702086;4.795586;4.685453;
0.05681047;-0.22747095;0.13362677;-26.519999;-10.26;-41.04;6.799832;4.910807;4.3047748;
6.1086525E-4;-0.01366811;0.14462234;-26.46;-9.0;-41.46;6.646603;4.697424;5.6769514;
0.5467244;0.17264579;0.33215797;-26.82;-9.059999;-40.68;6.4861917;5.741595;6.8141975;
0.63163465;0.3497967;0.11224649;-25.199999;-10.74;-40.32;6.34254;6.2348003;6.977003;
0.675617;0.7523569;0.20937407;-25.56;-11.16;-41.219997;5.4518967;5.765537;9.22037;
1.1691961;1.1628584;0.29611692;-23.279999;-12.24;-41.16;4.5513773;5.3633113;9.71597;
1.3817772;1.7743344;0.59605175;-20.46;-14.88;-41.16;5.317821;5.346552;12.883498;
2.0152445;2.1145864;0.36147952;-17.64;-17.16;-40.92;6.869264;5.779902;11.236288;
2.2272146;2.6301568;0.16966783;-13.92;-20.76;-39.78;7.9562316;4.7405195;10.355222;
2.0109684;2.7498863;0.11957687;-9.96;-24.359999;-38.34;7.226;2.6264393;10.206781;
1.8209893;2.7792077;0.58383447;-6.0;-28.14;-35.76;6.7950435;1.6232687;7.204452;
1.9566014;2.398028;0.97173387;-2.76;-31.08;-33.059998;7.132626;1.1180922;5.3776765;
2.1245892;2.0284543;0.9295842;-1.26;-35.34;-28.98;10.077495;3.0597897;3.4500446;
0.47952923;1.7004198;0.49953505;-0.59999996;-38.04;-26.46;9.347262;3.9145198;0.5482722;
0.43554693;1.2202797;0.48915035;-0.17999999;-38.879997;-24.9;9.036016;3.8283286;0.39743748;
0.4447099;0.53611064;0.6418667;0.59999996;-38.76;-24.3;7.513304;4.620809;-0.641646;
-0.1337795;0.07857254;0.5019785;-1.0799999;-40.02;-22.8;8.27466;9.040805;-0.6991069;
-0.689056;-0.35269833;-0.19379699;-1.26;-39.78;-23.4;6.4814034;10.300155;4.0533834;
0.54550266;-0.6202573;-0.124769226;-1.5;-39.719997;-24.539999;4.450821;11.602601;5.7248354;
1.3231341;-0.8316167;-0.31719178;-1.14;-39.96;-24.0;6.107908;14.552258;4.000711;
0.7837401;-0.7198283;-1.1125383;-1.86;-40.44;-20.699999;6.467038;14.748881;4.9754505;
1.5448782;-0.7155523;-1.2035573;0.17999999;-40.5;-18.539999;4.795586;12.553099;6.7567363;
1.4776831;-0.54451;-1.5150986;2.7;-40.68;-16.02;6.1174846;12.102989;3.6008794;
1.350623;-0.8853728;-1.3153456;6.48;-41.52;-13.62;3.4524388;9.285013;4.4005427;
1.8845193;-0.63919413;-1.5285375;8.22;-40.86;-9.78;3.6631286;8.880393;3.6032736;
1.7250835;-0.63919413;-1.05023;11.5199995;-40.559998;-6.96;2.3511062;8.025663;1.7908629;
1.459357;-0.71249795;-1.1369729;14.5199995;-40.379997;-3.12;1.9249382;7.8700404;0.6607997;
1.3494014;-0.72838044;-0.8535315;17.82;-40.379997;-0.42;1.5059528;7.352893;0.28491;
0.9602802;-0.49808425;-0.83459467;19.02;-40.14;0.9;0.80924016;6.98658;-0.79966336;
0.98349303;-0.6642396;-0.5694791;21.18;-39.0;2.28;-0.47165772;6.49098;-1.2330139;
0.72326446;-0.55794907;-0.43386704;22.56;-37.98;3.72;0.866701;6.443096;-3.655946;
0.6542367;-0.5927684;-0.31474832;24.18;-37.739998;4.3199997;-0.46686932;5.332186;-5.358523;
0.7263188;-1.0600803;0.107359566;25.439999;-37.5;5.58;-0.7062895;5.59076;-6.2707133;
0.5900958;-1.2121857;0.517861;26.099998;-37.32;5.04;0.12928689;6.7016697;-6.61069;
0.62980205;-1.818164;0.6785186;25.859999;-38.219997;3.24;0.59615624;7.549217;-5.662586;
0.56016344;-1.890857;0.6620252;23.939999;-38.64;2.6399999;0.7206547;8.17171;-5.7368064;
0.31031954;-2.099162;0.7133379;23.699999;-39.6;0.53999996;0.41180268;8.260295;-5.7487774;
0.1441642;-2.1663573;0.7622071;21.359999;-40.68;-1.92;0.82360536;8.652945;-5.0736127;
-0.24617869;-2.2317197;0.62781674;19.32;-41.76;-5.52;0.15322891;7.7431474;-3.193865;
0.06536258;-2.2323308;0.7096727;17.22;-41.46;-8.76;-0.021547815;8.380005;-3.5553896;
-0.24007004;-2.2115612;0.63209283;13.0199995;-41.579998;-11.099999;-0.4237737;8.32015;-2.633622;
-0.28893927;-1.9659934;0.5740606;9.48;-41.879997;-13.0199995;-0.7182605;8.612243;-0.5554548;
-0.45631635;-1.7344755;0.7328856;5.16;-41.399998;-13.62;-1.4820108;8.317756;1.2785037;
0.080634214;-1.5255595;0.76342887;1.92;-41.399998;-13.08;-2.741361;7.726388;3.0334535;
0.111177474;-0.9201921;0.8526152;0.96;-40.079998;-11.219999;-1.5729905;9.237129;1.8076223;
