gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.07941248;0.07979427;0.4622723;-13.0199995;-18.06;-34.02;3.8067808;5.502175;5.490204;
0.10995574;-0.027107146;0.41340306;-12.599999;-18.24;-33.12;4.1539397;5.68174;7.5300636;
0.05497787;0.5941428;0.399964;-12.96;-18.779999;-32.16;4.5633483;5.7032876;9.67048;
0.45875978;0.98082054;0.15867224;-13.139999;-18.9;-32.64;3.8666358;5.734412;13.541904;
0.81000733;2.1811707;0.45982882;-11.34;-21.0;-33.12;3.8857894;4.84347;14.770429;
1.5143349;3.07731;0.5551238;-8.4;-22.26;-33.66;7.5420346;3.2992098;17.274763;
2.28036;3.3381495;0.93935806;-4.08;-23.4;-30.72;10.070312;2.7629087;14.88535;
2.4080307;3.6735146;1.2863295;-3.72;-27.119999;-26.76;10.989685;1.5753847;12.11496;
1.9486601;3.4187837;1.5318973;-0.71999997;-29.519999;-25.019999;11.801319;2.873042;5.7631426;
2.0635028;2.697352;1.084744;-1.0799999;-33.12;-21.84;13.130101;3.1890767;2.0470424;
1.8161024;1.9661461;0.20754147;-0.65999997;-36.0;-17.76;11.28896;4.0294414;-3.2010477;
1.4569136;1.232497;0.4738787;1.38;-36.42;-14.46;7.448661;5.672163;-2.7150247;
2.3157902;0.20807597;0.11652254;0.71999997;-38.52;-9.54;5.894824;10.369587;-1.0151415;
1.6542231;-0.03932445;0.36147952;0.29999998;-38.219997;-6.3599997;5.0975547;15.840637;-1.1228806;
1.6633861;-0.7552585;-0.83459467;1.14;-39.899998;-0.78;6.110302;17.679384;3.3662477;
1.4789047;-0.52129716;-1.3367258;3.48;-39.36;2.6399999;4.6830587;16.123154;5.2388124;
2.2021692;-0.81634504;-1.5822937;6.66;-38.64;6.7799997;4.0916905;13.424588;4.6232033;
2.3890939;-0.9879982;-1.6439911;10.86;-36.96;11.94;3.1244333;11.621755;7.319374;
4.3463063;-1.0246501;-1.9830213;15.96;-34.32;18.3;2.5258827;8.135797;0.5410896;
2.0793853;-0.716774;-1.5829046;20.039999;-28.439999;25.26;-1.400608;4.024653;-1.3120226;
1.9199494;-0.8627708;-0.56581396;24.24;-24.24;28.199999;-1.6807296;1.400608;-3.3375173;
0.7703011;-0.6379724;-0.25244007;26.22;-21.779999;30.24;-1.9680338;0.4141969;-3.1364043;
0.33108896;-0.28183794;0.14095716;27.84;-20.699999;30.359999;-0.533907;0.8882488;-4.474763;
0.46181414;-0.3215442;0.59421915;28.439999;-19.68;30.0;-0.60333884;0.40940848;-5.4040127;
-0.13500121;-0.60315305;1.4622587;27.9;-19.859999;31.14;-0.19871874;1.8076223;-9.189245;
-0.21868975;-1.2995394;1.9906571;26.279999;-22.08;28.439999;2.5713725;4.414908;-10.61619;
-0.61086524;-1.9446131;2.0383046;25.8;-23.58;27.3;4.4843397;6.807015;-9.675268;
-1.056186;-2.6104562;2.0706804;25.74;-28.199999;23.1;5.528511;8.767866;-7.96102;
-0.34025195;-3.4125223;1.7377589;25.26;-30.539999;17.039999;6.5652003;11.006445;-4.805163;
-0.54183745;-3.5982254;1.0267117;25.32;-32.52;11.58;6.6729393;13.259388;-0.92895025;
-0.49663344;-3.953138;0.11224649;24.06;-33.18;3.9599998;2.0685902;12.54831;0.7661445;
-1.205848;-3.0783792;0.082924955;22.74;-33.0;-1.5;-0.45010993;10.697593;8.181287;
0.37201694;-1.6819412;0.21426098;21.24;-32.34;-9.36;-1.8626889;9.754277;9.033623;
-0.32375857;-0.43211082;0.26007587;19.439999;-31.859999;-10.92;-4.9299607;6.5795655;5.3800707;
0.86742866;0.009544769;0.55878896;18.24;-31.859999;-10.86;-2.3630772;6.6059017;0.34476504;
-0.6963864;0.33819026;0.82940227;16.44;-32.28;-8.7;-2.7030537;3.7924154;0.89064306;
0.6218608;0.41393757;1.1232284;14.28;-33.059998;-9.78;0.78769237;2.8323407;-0.59376204;
-1.9407189;0.6161339;1.3663528;13.38;-33.059998;-7.3199997;-1.5251064;0.82599956;-1.9512744;
-1.061073;0.36262488;2.0602958;10.8;-33.239998;-9.9;4.4484267;4.280833;1.8195933;
-1.890017;0.5312237;3.061504;7.9199996;-34.38;-10.86;4.8267107;4.072537;4.7620673;
-1.9370537;0.3992768;3.1659617;2.8799999;-34.14;-15.36;7.692869;7.537246;3.3255463;
-1.541213;0.29298624;3.1616857;-4.7999997;-31.74;-18.6;12.502821;12.553099;2.7964275;
-1.7464638;0.2392301;2.6455047;-9.48;-30.779999;-21.539999;13.443742;15.02182;4.429273;
-1.5008959;0.08345947;1.8361082;-13.86;-26.939999;-25.199999;12.854768;15.677832;3.6367924;
-0.9841039;0.0846812;1.116509;-17.1;-23.76;-28.26;11.11179;13.498809;5.5835776;
-0.66950834;0.0052687125;0.38163805;-18.72;-20.039999;-29.46;9.531616;10.793361;4.247314;
-0.11178834;0.22273675;-0.1693624;-18.9;-19.74;-30.72;9.366416;8.425495;3.3255463;
0.059864793;0.31192306;-0.13576481;-18.72;-19.32;-31.32;6.694487;6.9913683;3.3997664;
0.16676621;-0.17004961;-0.058184914;-18.359999;-19.5;-30.84;7.204452;6.4502788;2.147599;
-0.42760566;-0.18165605;-0.15225816;-18.779999;-19.98;-30.359999;6.65618;5.5069633;2.7461493;
-0.048258353;-0.09246973;-0.113162786;-18.119999;-19.619999;-31.26;7.1948752;4.958691;5.040094;
0.22785273;0.12988523;0.15134187;-18.42;-18.84;-31.38;6.8046207;4.865018;4.4603977;
0.39767328;-0.02405282;-0.06246097;-19.14;-19.68;-31.619999;7.9562316;5.633856;3.8977604;
