gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.11415544;-0.055817813;0.21166481;13.38;19.02;-41.219997;-3.7373488;1.2904748;8.470984;
0.010308351;-0.009392053;-0.027794369;15.54;18.539999;-42.66;-4.036624;1.7836803;9.057565;
0.034742963;-0.036270123;-0.009468411;15.599999;17.52;-42.54;-4.6710877;2.492364;8.490138;
-0.05138904;-0.4553237;0.17379116;14.88;17.46;-42.18;-7.4773912;4.1395745;9.225159;
0.0603993;0.5697082;-0.768163;14.04;17.1;-42.0;-14.281713;3.6032736;6.5221047;
-1.3464234;1.0040334;3.0143147;14.88;17.1;-43.2;-28.518234;-4.1012673;-0.6775591;
-1.8907043;0.65706193;5.8151317;19.26;17.76;-40.32;-16.831837;-5.135862;12.584224;
-0.650037;1.6662114;5.3447657;24.779999;14.82;-39.719997;-7.1637506;-5.042488;13.877092;
-0.5315291;2.7767644;3.8670824;29.16;8.7;-36.3;-5.39683;-7.364864;11.209951;
-1.0935252;1.6350572;3.6935966;34.38;5.64;-33.12;-4.4364557;-8.085519;12.177209;
-1.0660362;1.3528374;3.3997705;37.559998;0.84;-29.64;-0.2681506;-7.534852;10.36001;
-0.76426876;0.3412446;2.8005116;37.559998;-4.38;-28.68;5.028123;-3.4644098;10.089465;
-0.55535287;0.62285346;0.90194255;37.68;-8.099999;-27.72;5.978621;-1.388637;9.778219;
-0.4796056;0.44936773;0.1255328;37.8;-8.28;-27.84;2.8538885;0.021547815;11.71034;
-0.23892467;0.6369034;-0.6942484;38.94;-7.8599997;-26.82;1.2880806;5.198111;17.059286;
0.96142554;0.09873109;-0.83291477;39.48;-6.24;-25.14;-3.1986535;8.219594;14.842255;
0.62606055;-2.0985513;0.91538155;40.44;-6.3599997;-25.5;-8.827721;11.731888;16.458342;
2.0237203;-3.2927928;1.7229455;35.46;-10.5;-29.88;-4.733337;12.7135105;19.22125;
2.9559007;-2.1645246;0.65209866;30.179998;-15.599999;-33.12;-8.315362;9.696816;17.547703;
3.2472832;-2.7876072;1.3600914;25.5;-21.779999;-32.04;-9.306561;4.8482585;10.242694;
2.451326;-2.630004;1.3130548;19.32;-28.8;-31.32;-6.182128;2.5187001;2.60968;
0.6663776;-2.9708667;0.8005389;14.219999;-32.46;-29.279999;-1.9991584;0.33279404;2.753332;
0.5613088;-2.1327596;0.30757064;8.46;-34.8;-29.88;-1.3910311;-1.484405;0.16759412;
-0.6017786;-1.6611717;0.029626964;4.14;-35.46;-30.179998;0.29448682;-1.7884687;-1.0271125;
-1.0477103;-1.927509;0.48166725;1.9799999;-35.82;-31.56;4.110844;0.78529817;1.7788919;
-0.7233408;-1.0936779;-0.071776666;-2.82;-34.26;-34.559998;8.26269;2.207454;2.4109612;
-0.87178105;-1.3282502;-0.41996986;-4.2599998;-33.3;-35.76;12.249035;2.2146366;1.3838485;
-1.7092773;-2.0399082;-1.3283265;-6.12;-31.26;-36.12;9.620202;2.777274;2.7341783;
-1.4185054;-1.8603138;-2.0393736;-6.3599997;-28.619999;-37.68;7.738359;5.657798;12.000038;
-0.12224941;-0.24274258;-3.723529;-4.74;-27.42;-40.02;1.6448165;6.5819597;11.674427;
0.90950197;-0.9183595;-3.061351;0.35999998;-28.439999;-39.12;-7.51091;5.945102;6.2587423;
0.4275293;-1.8615354;-1.1646146;4.38;-28.439999;-37.14;-9.206005;7.264307;3.4644098;
-0.24503332;-0.5622251;-0.5519168;3.1799998;-29.76;-36.54;-9.325715;7.218817;0.36391866;
-0.29145908;-0.37957639;0.6209445;3.3;-29.699999;-35.94;-7.226;7.1876926;2.7964275;
-0.43256894;0.05841399;1.0027353;1.1999999;-29.519999;-37.559998;-4.048595;4.1036615;0.2753332;
-1.3769666;1.3510048;0.25381452;0.12;-27.9;-38.34;-1.9680338;2.0757728;1.1228806;
-1.7557031;1.7370716;-0.043676864;2.1599998;-25.019999;-40.2;-1.3120226;0.90740246;-0.50038815;
-2.3793964;1.3632221;-0.56596667;5.2799997;-21.24;-42.059998;-0.39025488;0.30885202;3.169923;
-3.8589122;0.942336;-0.6020077;9.0;-16.26;-43.559998;-1.6041151;-0.82121116;3.0310593;
-5.1362314;1.8073212;-0.76083267;10.5;-7.44;-46.14;-8.097489;-2.3247697;9.256283;
-5.0623164;0.6081927;1.0888673;13.5;4.2599998;-46.739998;-0.91937345;2.0566192;25.379436;
-1.0385473;2.9704087;-1.6612481;15.059999;15.0;-43.32;-5.602731;3.0885203;22.673689;
-0.8326857;1.6570483;-1.7571539;19.56;18.42;-39.6;-5.5093575;1.30484;15.084069;
-0.8571203;0.7645742;-1.0729848;21.9;22.92;-37.2;-4.4125137;1.412579;14.530709;
-0.80092067;0.8482627;-1.1609493;22.859999;25.08;-35.219997;-4.237737;0.4333505;12.567464;
-0.49609894;0.55199313;-1.1163563;22.14;27.72;-33.059998;-5.3441577;0.29448682;12.663232;
-0.22365303;0.5293911;-1.0693196;22.32;29.699999;-31.619999;-5.767931;0.1388637;12.29213;
0.3591124;0.6906595;-0.95203346;21.72;30.96;-31.8;-6.7734957;-0.38067806;10.695198;
0.24915667;0.20379992;-0.16462818;22.5;31.38;-31.74;-6.2515597;-1.0007763;8.767866;
0.70119697;-0.025885414;-0.063224554;23.699999;30.42;-31.26;-4.8506527;-0.60573304;9.684845;
