gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.065973446;0.32841644;0.029168816;-19.56;-27.72;-16.02;6.3281746;5.3250036;4.980239;
0.38606682;0.37362045;0.024281893;-18.96;-28.32;-17.34;6.3090205;5.6673746;6.0432644;
-0.052534413;0.81771946;0.08964448;-19.38;-27.84;-16.619999;5.1909285;5.818209;7.3337393;
0.83016586;0.8317694;0.18921551;-18.18;-27.359999;-17.1;4.1683054;5.856517;13.295301;
1.8240436;1.9973003;0.6107125;-18.48;-28.68;-17.46;4.132392;5.578789;15.354614;
2.0726657;2.4560602;0.19532417;-17.76;-30.119999;-16.68;6.3856354;6.7830725;11.801319;
1.9792033;3.1054099;0.107359566;-15.78;-32.04;-14.46;6.0097456;4.2880154;13.752594;
2.973692;3.4230597;0.5410739;-13.2;-34.32;-13.139999;7.716811;2.882619;10.807726;
1.17897;3.6991708;0.7322747;-13.679999;-36.0;-7.68;6.8501105;3.632004;4.405331;
1.4752395;3.4145076;0.84650654;-13.559999;-34.92;-6.24;11.8779335;1.8579005;8.463802;
2.4269676;2.3051763;0.67057735;-15.66;-34.559998;-6.2999997;10.144532;1.5801731;-2.27928;
0.70554936;1.4389695;0.6064365;-16.44;-35.399998;-3.0;9.794978;3.8355112;-4.232949;
0.70921457;0.6692792;0.18493946;-18.24;-35.46;-1.74;9.256283;8.837297;-1.3192052;
1.1753048;0.120111376;0.28084528;-18.359999;-34.739998;-1.14;6.8860235;14.573805;-1.3838485;
1.7030923;-0.59154665;-0.38621956;-18.539999;-34.739998;1.14;6.965032;19.63784;0.5722142;
1.5234979;-1.1358275;-1.0367911;-17.22;-35.16;5.1;6.9339075;19.082386;2.7102363;
1.5167783;-1.0490847;-1.9591975;-13.679999;-36.0;9.599999;4.5992613;13.8363905;5.803844;
1.8258762;-1.174923;-1.8718438;-9.059999;-36.719997;14.639999;3.9743748;10.295366;3.8857894;
0.25045475;-0.6336963;-1.5951219;-4.02;-36.12;17.4;2.8993783;6.4119716;1.8124107;
-0.44409904;0.23251058;-1.3990341;-1.02;-35.94;18.24;1.5897499;1.3192052;4.0222588;
1.9517145;-0.37957639;-0.08506299;2.58;-35.94;18.42;-0.093373865;0.36391866;0.8403648;
2.4037547;-1.3032047;0.3810272;2.9399998;-33.84;22.56;1.757344;2.1883004;-5.9259486;
0.37507126;-1.5396096;0.34498614;4.02;-31.619999;27.42;1.7980455;4.331111;-7.7192054;
0.10629055;-2.2818108;0.6058256;5.8799996;-30.3;28.38;3.1747115;6.268319;-5.9594674;
0.19242255;-3.1077006;0.9466884;7.62;-31.019999;28.019999;3.3135753;8.435072;-5.2388124;
-0.08857546;-3.6012797;0.7890852;10.8;-31.08;26.46;4.8482585;11.001657;-3.98874;
0.16493362;-4.0331616;0.7890852;13.5;-31.619999;24.9;4.185065;12.141296;0.6344634;
-0.09040806;-3.8963275;0.1611157;18.119999;-32.219997;21.48;3.892972;12.735058;4.122815;
-0.5131268;-2.5829673;-0.19379699;20.699999;-31.56;17.88;-0.8523358;10.087071;7.084742;
-0.20463985;-1.5939765;-0.07345655;23.699999;-32.28;14.88;-1.8650831;7.925107;6.359299;
-0.39095375;-1.0124328;0.100029185;25.5;-32.219997;12.9;-3.2130187;6.414366;5.8900356;
-0.032986723;-0.18837558;0.13118331;25.619999;-31.92;10.08;-3.0214825;5.308244;3.0190883;
0.5864306;-0.3355941;0.6962337;25.38;-32.52;9.84;-3.1435869;4.807557;1.9249382;
0.03726278;-0.0075594573;1.111622;24.66;-32.46;9.599999;-2.9616275;3.9983168;-0.7469909;
0.38973203;-0.05093089;1.6357445;21.779999;-32.04;10.2;0.12689269;4.6375685;1.1731589;
-0.7031059;0.62041;1.9100229;18.359999;-34.62;11.5199995;1.2761095;5.4399257;0.9648633;
-0.68661255;0.28871018;1.5972599;14.099999;-36.96;9.36;2.6264393;7.0081277;0.079008654;
-1.2675453;0.58864504;2.0291417;10.26;-36.78;8.4;5.3130326;8.564359;1.508347;
-1.1484267;0.41454843;2.0328069;3.84;-38.219997;6.0;5.981015;8.983344;3.2465374;
-1.5222762;0.35285103;1.6143641;0.96;-39.66;3.72;6.706458;10.5323925;0.770933;
-1.5454891;0.2551126;1.8434386;-5.8799996;-38.34;-1.56;8.911518;11.332056;5.648221;
-1.310306;0.07735081;1.4604261;-8.82;-38.28;-5.22;7.6737156;11.509227;3.2106245;
-1.0519099;0.13355042;1.3981178;-14.219999;-34.38;-9.24;8.528446;11.221923;5.978621;
-0.61575216;-0.025274549;0.9418015;-17.279999;-32.16;-10.74;9.074324;11.466131;3.4739866;
-1.1765264;0.024816401;0.38163805;-18.3;-30.72;-11.639999;7.8700404;9.897929;3.9121256;
-0.44409904;0.01198823;0.42928556;-17.34;-29.64;-13.679999;6.9674263;7.9801736;5.7032876;
-0.20769419;-0.07475463;0.25396723;-18.66;-29.039999;-14.94;7.544429;7.7575126;3.6894648;
-0.39278635;0.004046982;0.088422745;-19.02;-28.08;-15.42;7.156568;6.742371;4.570531;
-0.06414085;-0.1877647;0.020005837;-18.48;-28.38;-15.599999;7.216423;6.359299;3.8977604;
-0.2938262;0.09506591;0.027947085;-18.6;-28.14;-15.66;6.833351;5.4878097;4.7860093;
0.17165314;0.026648996;0.010842858;-19.439999;-27.66;-15.9;6.8644757;5.39683;4.4939165;
0.032986723;-0.07780896;0.205098;-19.08;-27.42;-16.199999;7.616255;5.6649804;5.076007;
