gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.593761;1.0199159;0.4915938;-33.12;-28.14;1.56;5.789479;5.6051254;5.7272296;
0.63163465;0.7957283;0.2350304;-33.6;-27.06;0.35999998;5.6889224;5.456685;6.658574;
0.7458665;1.7889953;0.6711882;-34.68;-26.46;0.42;4.474763;4.7429137;10.932224;
1.9785925;1.676596;0.626595;-36.719997;-25.26;-0.42;6.16058;6.0097456;10.125379;
1.2986995;2.7315602;0.47326785;-38.879997;-23.939999;-1.74;6.5292873;4.994604;10.431836;
2.320677;2.6857455;0.52641314;-39.059998;-22.74;-4.2599998;9.428665;5.384859;9.534011;
1.7562376;3.3424256;0.399964;-38.579998;-22.26;-7.7999997;9.354445;4.197036;9.538799;
3.1716123;3.0577624;0.9137017;-39.18;-22.08;-11.099999;10.549152;4.6375685;7.520487;
2.0024164;2.401693;-0.06001751;-38.46;-22.08;-12.059999;10.6042185;7.1134725;0.94331545;
0.61269784;2.6979628;-0.082619525;-37.32;-21.84;-15.059999;8.490138;4.2999864;6.34254;
1.9456058;1.7889953;0.38530326;-35.1;-23.939999;-18.359999;8.178892;3.3207579;2.858677;
1.3396275;1.7382934;0.5508477;-34.38;-24.24;-17.76;9.184457;4.1180267;0.59376204;
0.84849185;1.023581;0.32238412;-33.66;-24.9;-19.32;6.8165917;4.6950297;-1.1587936;
0.8924741;0.78351104;0.3743077;-33.12;-24.66;-20.039999;6.9961567;7.803003;0.59615624;
1.4165965;-0.030772336;0.1470658;-33.12;-25.199999;-20.039999;6.074389;12.294525;-1.1013328;
1.3897184;-0.26656634;-0.22128594;-33.54;-26.099998;-17.52;6.407183;16.312294;-2.396596;
1.1575897;-1.1309407;-0.7441866;-32.82;-27.42;-14.16;6.2276177;18.72565;-1.2354081;
0.9059132;-1.1956923;-1.5774068;-33.18;-28.98;-12.12;6.170157;16.575657;4.663905;
1.9468275;-1.2824352;-1.9567541;-29.34;-31.92;-8.5199995;5.870882;13.2546;5.1789575;
2.271197;-0.8432231;-1.9060522;-26.82;-35.94;-1.62;4.2760444;9.433454;3.751714;
1.813659;-1.0411434;-1.1632402;-22.619999;-37.2;2.04;2.3630772;7.597101;0.6631939;
1.4618006;-0.83711445;-1.4289665;-18.24;-37.559998;8.16;1.8938135;5.9115834;-1.0366893;
0.09162979;-0.53290355;-0.6409504;-15.179999;-38.46;11.28;-1.091756;3.6607344;-0.2657564;
1.2479976;-1.0197631;-0.13332134;-13.08;-39.239998;12.719999;0.36631286;3.5529952;-0.17238252;
1.2675453;-0.490143;-0.18829921;-11.759999;-37.5;15.78;0.46686932;3.0885203;-4.7524905;
1.3713925;-1.0044916;0.043218717;-10.92;-37.5;18.72;0.6584055;2.7964275;-5.806238;
0.915687;-1.0319805;0.59605175;-11.4;-35.52;22.38;-0.4261679;2.5737667;-8.6936455;
0.23945917;-1.6318501;1.1904236;-10.0199995;-33.48;24.0;0.40222588;3.775656;-9.229947;
0.18081611;-1.8896353;1.6088663;-10.679999;-33.239998;25.619999;0.8810662;4.956297;-9.206005;
0.029932396;-2.44369;1.8269452;-10.5;-31.74;26.46;3.9360676;7.901165;-7.862858;
-0.5833763;-2.8780153;1.727985;-10.44;-31.5;28.14;4.88896;9.38557;-4.745308;
-0.91629785;-2.9665906;1.2111931;-7.98;-31.439999;27.24;3.359065;9.332897;-0.51475334;
0.03970624;-2.5909085;1.7169895;-7.2;-32.04;26.88;1.8483237;10.2618475;4.175488;
0.08002335;-2.0032563;1.1806498;-6.18;-31.08;28.199999;1.1587936;12.928988;2.360683;
-0.9370673;-0.8975901;0.78786343;-5.8799996;-31.14;28.439999;-0.30885202;11.707946;3.6966474;
-1.028697;-0.29222265;0.236863;-4.92;-31.98;27.3;-0.6727707;8.674492;4.2066126;
-1.0445796;0.50190216;0.45921794;-5.7599998;-34.38;25.5;-2.8658595;5.150227;3.2920272;
-0.057421334;0.371177;0.66996646;-6.8399997;-34.62;23.4;-0.50757074;4.9371433;1.9560628;
-0.5821546;0.629573;1.3199271;-8.16;-34.26;22.92;-0.80684596;4.5322237;1.4077905;
0.26328292;0.36995527;1.3877331;-11.5199995;-35.04;22.74;1.8243817;6.3138094;0.7134721;
-0.65484756;1.1952342;1.9668334;-14.759999;-33.899998;21.84;4.3239284;8.217199;0.10295067;
-0.9407325;0.8671996;1.7053831;-20.52;-32.94;19.98;7.0177045;9.917083;-0.7541735;
-1.7183639;0.7554112;1.5795448;-24.06;-32.16;16.92;6.2395887;10.043976;-0.81163436;
-1.7996091;0.53733236;1.7151569;-28.08;-30.9;13.139999;8.032846;10.647314;2.3511062;
-1.6994271;0.32230777;1.356579;-31.859999;-29.519999;8.76;8.00651;12.02398;0.7565677;
-1.5430456;3.8179077E-4;1.2405146;-33.78;-28.56;5.1;8.3991585;11.789349;2.042254;
-1.201572;0.28199068;0.97112304;-35.7;-26.4;2.58;7.803003;11.509227;4.2185836;
-0.7684685;0.022983804;0.6058256;-37.26;-25.32;1.0799999;8.535628;10.965743;3.9145198;
-0.42455134;0.28443414;0.36147952;-38.219997;-24.119999;-1.4399999;7.288249;9.560347;4.4580035;
-0.10323623;0.112780996;0.29184088;-38.399998;-23.4;-0.84;5.8421516;8.092701;3.1771057;
0.1020145;0.25450173;0.021227567;-39.059998;-23.039999;-1.56;5.976227;7.1038957;3.9264908;
0.24678956;-0.08575021;0.2863431;-38.82;-23.46;-2.46;6.622661;6.704064;3.8067808;
0.24190263;-0.1596649;0.12873985;-39.96;-21.72;-1.5;7.285855;7.0272813;3.13401;
-0.34208453;-0.019165898;-0.100334615;-39.719997;-22.02;-1.14;7.228394;6.6059017;3.2010477;
-0.3830125;0.015042556;-0.11438452;-39.36;-21.72;-1.68;6.962638;5.7008934;4.0198646;
-0.172264;0.016875152;-0.0032070426;-40.2;-22.26;-2.1599998;7.2571244;5.5572414;4.3047748;
-0.30115658;-0.21525364;0.18616119;-39.899998;-21.779999;-2.82;6.0336876;5.1933227;3.6391866;
0.18753563;0.11217013;-0.012370021;-39.66;-22.14;-2.7;6.8118033;5.514146;3.86903;
