gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.037797287;-0.25862506;0.08093964;9.54;24.3;-40.86;-4.237737;-0.29448682;10.089465;
-0.047112983;0.16470455;-0.0143553335;9.54;24.72;-40.739998;-3.5194764;-0.074220255;8.731953;
-0.14118622;0.13538301;0.101098195;9.36;24.66;-40.8;-4.426879;0.14844051;9.512463;
-0.013515393;-0.27939448;0.528093;10.32;24.72;-40.92;-6.390424;0.6392518;9.1629095;
-0.16012305;0.22395848;0.3717115;9.36;24.66;-42.12;-8.190864;2.528277;8.978556;
0.03596469;0.7767915;0.8677341;10.139999;24.72;-41.34;-15.874156;1.1731589;6.6992755;
-0.5920048;0.856204;3.021034;12.9;23.22;-40.26;-17.183784;-1.3335704;5.5237226;
-1.0122801;0.72914404;4.9171596;17.34;22.68;-39.719997;-14.657602;-3.0454245;9.455002;
-0.48876855;1.0724503;5.069876;23.58;19.32;-37.62;-9.859622;-3.58412;11.63612;
-0.31467196;1.6026813;4.7320676;28.26;14.7;-36.239998;-8.449437;-5.540482;12.665627;
-0.18089247;1.1207087;4.520708;32.34;8.099999;-33.0;-4.060566;-7.352893;11.944971;
0.33712125;1.6338354;2.8371637;34.2;0.84;-31.92;2.1571758;-6.3856354;9.979332;
-0.1643991;1.1671344;1.5048665;35.64;-3.84;-29.22;2.5330653;-4.9395375;5.92116;
-0.40446916;0.58620155;0.91354895;36.36;-6.66;-27.599998;3.2321723;-2.4277205;8.887576;
-0.7777078;-0.58727056;0.98807454;36.36;-7.8599997;-25.98;4.498705;2.7389667;13.424588;
0.6724863;-0.52129716;-0.8738427;34.44;-8.639999;-27.779999;7.2116346;11.456554;17.37532;
1.213102;-1.1242211;-0.8781188;34.559998;-8.4;-28.859999;-7.6856866;14.8829565;17.099987;
2.038992;-2.7155252;1.9013181;32.82;-8.88;-29.46;-8.990526;14.583382;19.731215;
2.6571875;-2.4143686;1.529912;27.9;-14.7;-31.619999;-5.813421;11.382334;18.285116;
3.3236415;-2.330069;1.1114693;22.08;-21.0;-31.619999;-8.176498;5.7368064;14.391846;
3.216129;-1.7039323;0.926988;18.66;-27.3;-30.3;-8.193257;0.8283938;8.238748;
2.191708;-1.6739999;1.2947289;13.86;-32.94;-26.46;-4.8243165;-1.8579005;1.1659763;
0.8276461;-2.117488;1.5793921;9.36;-36.18;-21.96;-0.24420857;-1.6831238;-1.4628572;
0.4311945;-2.1681898;1.5916094;4.02;-38.34;-22.02;1.7357962;-1.1540052;-0.46447513;
-0.26946792;-1.746082;1.1010846;-2.28;-39.239998;-21.0;6.0791774;-0.6560113;-1.99437;
-1.3366495;-1.7418059;0.51159966;-5.3399997;-39.12;-21.84;7.1637506;-0.18435353;-1.484405;
-0.8308531;-2.3972642;0.21777347;-8.82;-38.219997;-24.24;13.424588;3.478775;3.8786068;
-1.9731711;-2.2152264;-1.4077389;-12.24;-36.96;-25.32;12.227488;3.596091;3.9360676;
-1.7642552;-1.9653826;-2.5848763;-11.099999;-34.739998;-28.199999;7.2930374;6.2874727;9.5292225;
-0.4863251;-1.7497472;-3.0246992;-7.9199996;-33.42;-30.06;0.7254431;8.183681;10.8987055;
0.021914791;-2.363056;-1.8493946;-5.22;-34.62;-30.06;-8.00651;8.564359;4.110844;
0.17768542;-0.50113857;-2.5237896;-3.6599998;-35.04;-29.039999;-8.875605;8.346486;1.163582;
-0.5602398;-0.55489475;-0.66737026;0.42;-33.78;-29.22;-15.036185;7.4917564;0.08619126;
-0.6353762;-0.4547128;1.0974194;0.84;-33.6;-29.4;-5.8756704;6.988974;-0.49081135;
-0.60605466;0.43104178;0.75411314;-1.62;-32.7;-30.9;-0.80924016;3.9863458;-0.11252748;
-0.7196756;1.1707996;-0.34605515;-2.58;-31.019999;-32.28;0.11492168;0.32321724;-0.2681506;
-1.7416532;1.6827047;-0.7370089;-0.59999996;-29.039999;-32.34;-1.0462662;-0.1316811;-0.7613561;
-2.0531945;0.83787805;-1.02717;2.6399999;-26.099998;-35.34;1.2569559;-0.17477672;4.333505;
-3.8460839;1.7224109;-2.2122486;6.12;-21.3;-38.28;-2.4301147;-1.2449849;4.920384;
-4.3506584;-0.07964156;-0.99112886;10.679999;-12.9;-41.94;-3.8307228;-0.24899697;13.185168;
-5.419673;0.55138224;-1.0913107;11.7;-3.1799998;-43.86;-4.2425256;1.9033904;19.273922;
-3.6402223;1.3540592;-2.844494;12.96;9.78;-44.34;-7.568371;3.5194764;21.91712;
-2.0819051;0.65706193;-1.7540996;15.299999;20.039999;-40.26;-8.087913;7.0991073;25.479992;
-0.73128206;0.88980156;-1.3570372;14.94;25.38;-39.3;-8.001721;5.686528;15.871761;
0.00908662;0.24533875;-0.79443026;14.94;28.439999;-37.559998;-6.004957;4.1036615;13.443742;
0.09644035;0.027259862;-0.5354234;13.799999;28.8;-37.559998;-6.905177;1.5059528;9.634567;
-0.10147999;-0.40706533;0.45662177;13.38;29.58;-37.68;-5.102343;0.39264908;9.742306;
-0.027565295;-0.18287778;0.21960606;14.099999;28.56;-36.6;-3.6535518;0.2873042;9.390358;
0.16363552;-0.0081703225;-0.04428773;13.559999;28.74;-37.68;-3.3734303;-1.0893618;9.237129;
0.20334177;-0.3600287;0.015577064;12.54;28.5;-37.86;-4.489128;-1.3311762;10.288184;
