gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.010155635;-0.52412236;-0.21227567;-29.039999;-23.58;-16.14;1.0989386;4.8458643;9.876381;
-0.07185303;0.17959438;-0.18173242;-28.859999;-24.24;-15.179999;0.89303726;5.633856;8.011298;
-0.05963572;0.4636467;-0.20555615;-28.38;-24.539999;-15.719999;0.24660277;5.281908;8.710405;
0.1333977;0.4905248;-0.09437868;-28.019999;-25.439999;-17.699999;0.4309563;5.4495025;8.538023;
0.06498079;0.7867944;0.23487769;-27.119999;-28.68;-17.94;-0.08379706;4.970662;9.572318;
0.40340012;1.2730432;0.47983465;-26.64;-29.16;-21.18;0.272939;4.3263226;9.998486;
0.42966735;1.8686367;1.2409728;-26.58;-29.4;-21.72;0.11971009;3.6703112;12.01201;
0.9837221;2.2516494;1.6954565;-27.359999;-28.56;-25.5;2.1212628;4.429273;12.7374525;
0.6269768;3.0384438;1.2904528;-27.24;-27.3;-28.32;5.686528;5.279514;13.752594;
1.0515282;3.2516358;1.5219707;-25.74;-25.92;-31.8;3.7780502;2.5953147;15.086464;
0.66179615;3.119078;1.5586227;-22.92;-24.9;-35.94;3.394978;2.0254946;10.925041;
1.7980055;2.833193;2.191479;-19.92;-24.9;-39.239998;7.7670894;1.0199299;14.710574;
2.0509038;2.7776043;1.8408424;-17.279999;-24.539999;-39.059998;12.04074;4.06296;3.6703112;
0.93729633;2.0433443;1.2733486;-14.82;-25.68;-39.96;10.95856;5.0089693;1.9895816;
0.7412086;1.3109168;0.81092364;-13.38;-26.16;-40.02;8.676887;5.480627;0.81163436;
0.4565454;0.7849618;0.9764681;-11.219999;-27.96;-40.079998;7.2571244;7.266701;0.9648633;
0.5249623;-0.13439035;0.6814202;-10.62;-27.9;-40.079998;6.3090205;9.493309;1.5011644;
-0.28260154;0.0061086523;0.0033597588;-12.0;-27.779999;-39.78;4.6016555;9.610625;2.789245;
0.16455182;-0.516792;-0.1853976;-11.5199995;-27.84;-40.02;3.1244333;12.074259;3.787627;
0.5054146;-0.5919284;-0.3491095;-13.08;-27.9;-38.76;4.027047;15.15829;7.3457103;
1.4962381;-0.675617;-0.7021896;-14.04;-28.98;-37.26;3.4165258;16.13273;7.776666;
